Survey Sheet Name,Ecosystem,Substrate,"Government, nonprofit, or academic?",Location,URL,Trash Survey
5 Gyres Plastic Beach Microplastic Protocol,Marine,,Research,Global,,Y
AAAS Water Diplomacy Symposium List,Marine,,Research,Global,,Y
Abandoned and Derelict Vessels,Both,,Research,Global,,N
Bald Head Island Conservancy,Marine,,Non-profit,US,,Y
Blue Ocean Society for Marine Conservation,Marine,,Non-profit,US,,Y
Clean Ocean Access,Marine,,Non-profit,US,,Y
Cordeiro,Marine,Beach,Academic,Brazil,https://paperpile.com/shared/qlwaO6,Y
Corpus Christi Storm Water Runoff,Both,,Government,US,,Y
CRESSIDA List- Albanian,,,,Albania,,Y
CRESSIDA List- English,,,,UK,,Y
Debris Items of Local Concern,Both,,Research,Global,,N
Deciduous Trees,Both,,Research,Global,,N
Derelict Crab Trap List,Both,,Research,Global,,Y
Derwent Estuary List,Estuary,,Non-profit,Australia,,Y
Dumping Activities,Both,,Research,Global,,N
eXXpedition,Marine,,Research,Global,,Y
Fernandino,Marine,Underwater,Academic,Brazil,https://paperpile.com/shared/oJOW8l,Y
Fish Aggregating Devices,Both,,Research,Global,,Y
Fullbright Vietnam Project,Both,,Non-profit,Vietnam,,Y
GA Sea Turtle Center,Marine,,Non-profit,,,Y
Ganga Prahari,Freshwater,,Non-profit,India,,Y
Goal- Clean Seas Florida Keys,Marine,,Research,US,,Y
Gracia,Marine,Beach,Academic,Colombia,https://paperpile.com/shared/8q5KYc,Y
ICC Data Card,Marine,,Research,Global,,Y
Indonesian Waste Platform,Both,,"Government, research, nonprofit, and academic",Indonesia,,Y
Internacional Coastal Cleanup Lista en espanol,Marine,,Research,Global,,Y
Jordan Royal Marine Conservation Society,Marine,,Non-profit,Jordan,,Y
JRC,Marine,Beach + surface water + underwater,Government,Europe,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC83985/lb-na-26113-en-n.pdf,Y
Keep America Beautiful,Inland,Roads,Non-profit,US,https://www.sciencedirect.com/science/article/abs/pii/S0140196312002625?via%3Dihub#appseca1,Y
Keep Tampa Bay Beautiful,Both,,"Research, academic",US,,Y
Lee,Marine,Underwater,Academic,Korea,https://paperpile.com/shared/DEzmlI,Y
Lets Do It World,Both,,Non-profit,Estonia,,Y
Marine Conservation Society,Marine,Beach + surface water,Non-profit,UK,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716325918-gr11.jpg,Y
Marine Debris Items,Both,,Research,Global,,Y
Marine Debris List,Both,,Research,Global,,Y
Marine Debris Tracker,Both,,Research,Global,,Y
Maryland Department of the Environment,Riverine,Storm drains,Government,US,https://doee.dc.gov/sites/default/files/dc/sites/ddoe/publication/attachments/Final_Anacostia_Trash_TMDL.pdf,Y
McCormick,Riverine,Underwater,Academic,US,https://paperpile.com/shared/B0CJeq,Y
Medical and Personal Hygiene,Both,,Research,Global,,Y
Microplastics,Both,,Research,Global,,Y
Nat Geo Source to Sea Expedition List,Freshwater,,Academic,Global,,Y
Nelms,Marine,Beach,Academic,UK,https://www.sciencedirect.com/science/article/pii/S0048969716325918?via%3Dihub,Y
NOAA,Marine,Beach,Government,US,https://drive.google.com/open?id=1fnq-5GOPWFkYc6dx3eOQECYmhTuvs3vb,Y
Ocean and Waterway Activities,Both,,Research,Global,,Y
Ocean Conservancy ICC List,Marine,,Research,Global,,Y
Ocean Conservancy,Marine,Beach,Non-profit,Global,https://oceanconservancy.org/wp-content/uploads/2017/04/OC-DataCards_volunteerFINAL_ENG.pdf,Y
Oigman,Marine,Beach,Academic,Brazil,https://paperpile.com/shared/DEzmlI,Y
Open Litter Map,Non-specific,Non-specific,Research,Global,,Y
