"","Brand","ItemDescription"
"1","Coca Cola","Soft Drink Bottles"
"2","7-Up","Soft Drink Bottles"
"3","Coca Cola","Plastic bottle"
"4","Rabina","Soft Drink Bottles"
"5","Royal Crown","Soft Drink Bottles"
"6","Fearless","Soft Drink Bottles"
"7","Five Live","Soft Drink Bottles"
"8","Mangero","Plastic bottle"
"9","Smoov Champan","Soft Drink Bottles"
"10","Aqud","Plastic bottle"
"11","Linkmor","Plastic bottle"
"12","Nestle","Plastic bottle"
"13","Event","Plastic bottle"
"14","Crystle","Plastic bottle"
"15","Constance","Plastic bottle"
"16","Aque Rapha","Plastic bottle"
"17","Pax","Plastic bottle"
"18","Unknown","Plastic bottle"
"19","La Cassara","Soft Drink Bottles"
"20","Sachet Water","Water Sachets"
"21","Nestle","Coffee"
"22","Take Way Packa","Take Way"
"23","Foils","Take Way"
"24","Dubic","Malt Drink"
"25","Grand Ma;T","Malt Drink"
"26","Beta","Malt Drink"
"27","Bullet","Drink"
"28","33","Beer"
"29","Amstle","Malt Drink"
"30","Maltina","Malt Drink"
"31","Coca Cola","Soft Drink"
"32","Hero","Beer"
"33","Action Bitter","Hot Drink"
"34","Squad 5","Hot Drink"
"35","De Rocl","Hot Drink"
"36","Gala","Sauage"
"37","Rite","Sauage"
"38","Bigi","Sauage"
"39","Disposable Cups","Sauage"
"40","Dorchaster","Cigar"
"41","Benson & Hedges","Cigar"
"42","Spoons","Disposable Spoons"
"43","Cup","Disposable Cups"
"44","Bottled Covers","Covers"
"45","Straw","strew"
"46","Oxford","Biscuit"
"47","Rich Biscuit","Biscuit"
"48","Short Bread","Biscuit"
"49","Fan Milk","Ice Cream"
"50","Lucozada","Soft Drink Bottles"
"51","Peak","Milk"
"52","Milp","Milo"
"53","Tom Tom","Sweet"
"54","Marks","Marks"
"55","Unknown","Nylon"
"56","Sea Oil","Can"
"57","Flex","Banners"
"58","Stickers","Stickers"
"59","My Clear Bags","files"
"60","Apex Folders","Office folders"
"61","Bic","Pen Cover/Used Pens"
"62","Cd","CD Plates"
"63","Watsons","Plastic bottle"
"64","Coca-Cola","Plastic bottle"
"65","Vita","Plastic bottle"
"66","Jun Lu","Plastic bottle"
"67","Hung Fook Tong","Plastic bottle"
"68","Nestle","Plastic bottle"
"69","Tao Ti","Plastic bottle"
"70","Ito En","Plastic bottle"
"71","Coca Cola (Hong Kong) Tea","Plastic bottle"
"72","Pocari Sweat","Plastic bottle"
"73","Cr C'Estbon","Plastic bottle"
"74","Ganten","Plastic bottle"
"75","Nongfu Spring","Plastic bottle"
"76","Master Kong","Plastic bottle"
"77","Yun Lian","Plastic bottle"
"78","Xian Ren Zhang","Plastic bottle"
"79","Yuan Shen Tai","Plastic bottle"
"80","Smile","Plastic bottle"
"81","Dong Peng","Plastic bottle"
"82","Da Li Yuan","Plastic bottle"
"83","Master Kong","Plastic bottle"
"84","He Qi Zheng","Plastic bottle"
"85","Aquanyna","Plastic bottle"
"86","Bao Ge Li","Plastic bottle"
"87","Mei Zhi Yuan","Plastic bottle"
"88","Unidentified Brands","Plastic bottle"
"89","Watsons","bottle cap"
"90","Coca-Cola","bottle cap"
"91","Vita","bottle cap"
"92","Pocari Sweat","bottle cap"
"93","Nongfu Spring","bottle cap"
"94","Dong Peng","bottle cap"
"95","Hua Di Shan","bottle cap"
"96","Cr C'Estbon","bottle cap"
"97","Master Kong","bottle cap"
"98","Smile","bottle cap"
"99","Vita Tea","bottle cap"
"100","Wahaha","bottle cap"
"101","Ri Kang","bottle cap"
"102","Minute Maid","bottle cap"
"103","Ake","bottle cap"
"104","Qing Sha Jiang","bottle cap"
"105","Season 5","bottle cap"
"106","Aquanyna","bottle cap"
"107","Unidentified Brands","bottle cap"
"108","Unidentified Brands","bottle cap"
"109","Vita","tetrapak"
"110","An Mu Xi","tetrapak"
"111","Wahaha","tetrapak"
"112","Danone","tetrapak"
"113","Jin Wei","tetrapak"
"114","Ri Kang","tetrapak"
"115","Wei Dong Li","tetrapak"
"116","Chuang Kang","tetrapak"
"117","Unidentified Brands","tetrapak"
"118","Master Shuang","tetrapak"
"119","Watsons","tetrapak"
"120","Coca Cola (Hong Kong) Drink","tetrapak"
"121","Skol Beer","tetrapak"
"122","Guo Tian","packing"
"123","Long Gu","packing"
"124","Cr C'Estbon","packing"
"125","Vita","packing"
"126","Café De Coral","packing"
"127","Jack Will","packing"
"128","Unidentified Brands","packing"
"129","Flu Pill","packing"
"130","Garden","packing"
"131","Yi Pin Grass Jelly","packing"
"132","Xue Fang Cake","packing"
"133","Hua Yuan","packing"
"134","Disney Pixar","packing"
"135","Four Seasons","packing"
"136","Guo Zhi Wei","packing"
"137","Bu Yi Udon","packing"
"138","Jia Hua Waffle","packing"
"139","No Frills","packing"
"140","Bai Fu","packing"
"141","Thai Rice Unknown","packing"
"142","Sao Tao","packing"
"143","Da Fa","packing"
"144","Pacific","packing"
"145","Kimberly","packing"
"146","Golden Elephant Brand Rice","packing"
"147","Calbee","packing"
"148","Knorr","packing"
"149","Wan De Fu","packing"
"150","Da Li Yuan","packing"
"151","Julie'S Lemond Puff Sandwich","packing"
"152","Li Zhu","packing"
"153","Mei Dun","packing"
"154","Goldilocks Cashew Polvoron","packing"
"155","Hikari Wheat Germ","packing"
"156","Unknown","packing"
"157","Barritas De Surimi","packing"
"158","Edo Pack","packing"
"159","Unknown","packing"
"160","Flower Rband","packing"
"161","Pot Poht","packing"
"162","Unknown","packing"
"163","Jin Yu Shan","packing"
"164","Watsons","packing"
"165","Unknown","underside of bottle cap"
"166","Hong Shuang Xi","packing"
"167","Marlboro","packing"
"168","Lighter Unknown","packing"
"169","Lighter Unknown","packing"
"170","Gao Bang Condom","packing"
"171","Rejoyce","packing"
"172","Johnson","packing"
