Manufacturer,Brand
3M,Scotch
3M,3M
3M,Scotch Brite
7-Eleven,7-11
7-Eleven,Seven-eleven
7-Eleven,7-Eleven
A&W,A&W
Abbott Laboratories,Pedialyte
Abbott Laboratories,pediasure
Abbott Laboratories,Abbott Nutrition
Abbott Laboratories,Ensure
Abbott Laboratories,ensure gold
Agrokor,Jamnica
Agrokor,Zvijezda
Agrokor,Konzum
Agrokor,Ledo
Agrokor,PIK Vrbovec
Agrokor,Belje
Agrokor,Agrolaguna
Agrokor,Tisak
Agrokor,Frikom
Agrokor,Sarajevski kiseljak
Agrokor,Fonyodi
Agrokor,Goda
Agrokor,Jana
Agrokor,Sky Cola
Albertsons-Safeway,Albertson's
Albertsons-Safeway,Refreshe
Albertsons-Safeway,Safeway Inc.
Albertsons-Safeway,Acme Markets
Albertsons-Safeway,Shaw's and Star Market
Albertsons-Safeway,Vons
Albertsons-Safeway,Tom Thumb
Albertsons-Safeway,Randalls
Albertsons-Safeway,Jewel-Osco
Albertsons-Safeway,Albertsons
Albertsons-Safeway,Safeway
Albertsons-Safeway,Signature Select
Albertsons-Safeway,Better Living
Aldi,Pur Aqua
Alfred Ritter GmbH&Co,Ritter
Alfred Ritter GmbH&Co,Ritter Sport
Amazon / Whole Foods,Amazon
Amazon / Whole Foods,365
American Licorice Company,Sour Punch Straws
American Sugar Refining,DOminO
Anheuser-Busch InBev,Bud Light
Anheuser-Busch InBev,Budweiser
Anheuser-Busch InBev,Busch
Anheuser-Busch InBev,Bud
Anheuser-Busch InBev,Natural Ice
Anheuser-Busch InBev,Bud Ice
Anheuser-Busch InBev,Bud Light
Anheuser-Busch InBev,Michelob
Anheuser-Busch InBev,Michelob Light
Anheuser-Busch InBev,Michelob Ultra
Anheuser-Busch InBev,Natty Daddy
Anheuser-Busch InBev,Natural Light
Anheuser-Busch InBev,Stella
Apple,Apple
AriZona Beverages,Arizona
Aryzta,La Brea Bakery
Aryzta,Otis Spunkmeyer
Aryzta,Oakrun Farm
Aryzta,Shamrock
Aryzta,Delice de France
Aryzta,Groupe Hubert
Associated Wholesale Grocers,Best Choice
August Storck KG,Werther's Original
B&G Foods,Grandma’s Molasses
B&G Foods,Cream of Wheat
B&G Foods,Sclafani
B&G Foods,Don Pepino
B&G Foods,Mrs. Dash
B&G Foods,Molly McButter
B&G Foods,Spice Islands
B&G Foods,Sugar Twin
B&G Foods,Baker’s Joy
B&G Foods,Static Guard and Kleen Guard furniture polish
B&G Foods,Mrs. Fanning’s
B&G Foods,Chipita
B&G Foods,Green Giant
B&G Foods,Snackwells
B&G Foods,Ortega
B&G Foods,Brer Rabbit Molasses
Bacardi,Grey Goose
Bacardi,Bacardi
Barilla Group,Barilla
Barilla Group,Mulino Bianco
Barilla Group,Pavesi
Barilla Group,Voiello
Barilla Group,Alixirand Academia Barilla
Barilla Group,Wasabröd
Barilla Group,Misko
Barilla Group,Filiz
Barilla Group,Yemina
Barilla Group,Vesta
Bausch Health,Bausch & lomb
Bausch Health,ReNu
Bayer,Aleve
Bayer,Coppertone
Beiersdorf Global AG,Nivea
Beiersdorf Global AG,Elastoplast
Beiersdorf Global AG,Eucerin
Beiersdorf Global AG,Aquaphor
Beiersdorf Global AG,Labello
Beiersdorf Global AG,La Prairie
Beiersdorf Global AG,Tesa
Bel Group,Adler-Edelcrème
Bel Group,Apéricube
Bel Group,Babybel
Bel Group,Bonbel
Bel Group,Boursin
Bel Group,Cantadou
Bel Group,Cousteron
Bel Group,Karicka
Bel Group,Karper
Bel Group,Kaukauna
Bel Group,Kiri
Bel Group,Leerdammer
Bel Group,Limiano
Bel Group,Maredsous
Bel Group,Merkts
Bel Group,Picon
Bel Group,Port Salut
Bel Group,Price's
Bel Group,Régal Picon
Bel Group,Smetanito
Bel Group,Želatava
Bel Group,Sylphide
Bel Group,Syrokrém
Bel Group,Terra Nostra
Bel Group,Toastinette
Bel Group,The Laughing Cow
Bel Group,Le Véritable Port Salut
Bel Group,Wispride
Bel Group,Safilait
Bel Group,Laughing Cow
Bel Group,Jibal
Bel Group,La Vache qui rit
Bel Group,Moranguete
Bereacasa,Acqua Alpi Cozie
Bimbo,Bimbo
Bimbo,Marinela
Bimbo,Ricolino
Bimbo,Tia Rosa
Bimbo,Ideal
Bimbo,Barcel
Bimbo,Sara Lee
Bimbo,Mrs Baird's
Bimbo,Oroweat
Bimbo,Wonder Bread
Bimbo,Pan Blanco Bimbo
Bimbo,Takis
British American Tobacco,Dunhill
British American Tobacco,Matterhorn
British American Tobacco,Rothmans
Buena Vista Foods,Buena Vista Foods
Buena Vista Foods,Linda's
Campbell Soup Company,Pepperidge Farm
Campbell Soup Company,Campbell's Soup
Campbell Soup Company,Campbells
Campbell Soup Company,Campbell
Campbell Soup Company,Goldfish
Campbell Soup Company,V8
Campbell Soup Company,Garden Fresh Gourmet
Campbell Soup Company,Pace Foods
Campbell Soup Company,Prego
Campbell Soup Company,Arnott's Biscuits
Campbell Soup Company,Swanson
Campbell Soup Company,Blå Band
Campbell Soup Company,Bolthouse Farms
Campbell Soup Company,Devos Lemmens
Campbell Soup Company,Franco-American
Campbell Soup Company,Erasco
Campbell Soup Company,Heisse Tasse
Campbell Soup Company,Kimball
Campbell Soup Company,Liebig
Campbell Soup Company,Plum Baby
Campbell Soup Company,Raguletto
Campbell Soup Company,Royco
Campbell Soup Company,StockPot
Campbell Soup Company,Kettle Chips
Campbell Soup Company,Kettle
Campbell Soup Company,Snyder's of Hanover
Campbell Soup Company,Snyders
Campbell Soup Company,Lance
Campbell Soup Company,Cape Cod Potato Chips
Campbell Soup Company,Late July Snacks
Campbell Soup Company,Emerald Nuts
Campbell Soup Company,Jays
Campbell Soup Company,Grande
Campbell Soup Company,Tom’s
Campbell Soup Company,Snack Factory
Campbell Soup Company,EatSmart Snacks
Campbell Soup Company,Archway
Campbell Soup Company,O-Ke-Doke
Campbell Soup Company,Pop-Secret
Campbell Soup Company,Padrinos
Campbell Soup Company,Krunchers!
Campbell Soup Company,Stella D'oro
Campbell Soup Company,Krunchers
Campbell Soup Company,Tom's
Canada Dry Motts,Orangina
Chemicotex,Whitedent
Clif Bar & Company,Luna
Clif Bar & Company,Clif Bar
Colgate-Palmolive,Colgate
Colgate-Palmolive,Palmolive
Colgate-Palmolive,Speedstick
Colgate-Palmolive,Softsoap
Colgate-Palmolive,Hills
Colgate-Palmolive,Irish Spring
Colgate-Palmolive,Fleecy
Colgate-Palmolive,Sanex
Colgate-Palmolive,Speed Stick
Conagra,Aylmer
Conagra,Chef Boyrdee
Conagra,Health Choice
Conagra,Hunts
Conagra,Pogo
Conagra,Angie's Boom Chicka Pop
Conagra,Frontera
Conagra,Dukes
Conagra,Pam
Conagra,Bigs
Conagra,Orville Redenbacher
Conagra,VH
Conagra,Snack pack
Conagra,Act II
Conagra,Marie Callender's
Conagra,RoTel
Conagra,Act II
Conagra,Alexia
Conagra,Andy Capp's fries
Conagra,Angela Mia
Conagra,Angie's
Conagra,Award Cuisine
Conagra,Banquet
Conagra,Bertolli
Conagra,Big Mama Sausage
Conagra,Blue Bonnet
Conagra,Chef Boyardee
Conagra,Chiffon margarine
Conagra,Chun King
Conagra,ConAgra Mills
Conagra,Crunch 'n Munch
Conagra,David Sunflower Seeds
Conagra,Dennison's
Conagra,Eagle Mills with Ultragrain
Conagra,Egg Beaters
Conagra,Fernando's
Conagra,Fiddle Faddle
Conagra,Fleischmann's
Conagra,Frontera Foods
Conagra,Gebhardt
Conagra,Golden Cuisine
Conagra,Gulden's
Conagra,Healthy Choice
Conagra,Hebrew National
Conagra,Hunt's
Conagra,Hunt's Snack Pack
Conagra,J. Hungerford Smith
Conagra,J.M. Swank
Conagra,Jiffy Pop
Conagra,Kid Cuisine
Conagra,La Choy
Conagra,Lamb Weston
Conagra,Lamb Weston Inland Valley
Conagra,Lightlife
Conagra,Luck's Incorporated
Conagra,Mama Ginellis
Conagra,Manwich
Conagra,Margherita
Conagra,Marie Callender's
Conagra,The MAX
Conagra,Move Over Butter
Conagra,Orville Redenbacher's
Conagra,PAM
Conagra,Parkay
Conagra,Patio
Conagra,Pemmican
Conagra,Penrose
Conagra,Peter Pan
Conagra,Pogo
Conagra,Poppycock
Conagra,Puritan
Conagra,Ranch Style
Conagra,Reddi
Conagra,Ro
Conagra,Rosarita
Conagra,Screaming Yellow Zonkers
Conagra,Slim Jim
Conagra,Squeez 'N Go
Conagra,Swiss Miss
Conagra,Van Camp's
Conagra,VH
Conagra,Vogel Popcorn
Conagra,Wesson
Conagra,Wolf Brand Chili
Conagra,Conagra
Coors Brewing Company,Keystone Light
Coors Brewing Company,Coors
Coors Brewing Company,Coors Light
Coors Brewing Company,Miller Lite
Coors Brewing Company,Miller Steel Reserve
CostCo,Kirkland
CostCo,CostCo
Cumberland Packing Corp.,Sweet'N Low
CVS,Gold Emblem
CVS,Just the Basics
Danone,Danone
Danone,Activia
Danone,Actimel
Danone,Danimals
Danone,Yocrunch
Danone,Evian
Danone,Aqua
Danone,Aptamil
Danone,Badoit
Danone,Font Vella
Danone,Damavand
Danone,Mizone
Danone,Jamila
Danone,Lait Centrale
Danone,Moufid
Danone,PANACHE
Danone,So Delicious
Danone,Volvic
Del Monte Pacific,Del Monte
De'Longhi,Pinguino
Diageo,Smirnoff
Diageo,Smirnoff Ice
Dollar General,Clover Valley
Domino's Pizza,Domino's Pizza
Dongwon Industries,Starkist
Dosal Tobacco,305
Dunkin' Brands,Dunkin Donuts
Dunkin' Brands,Baskin Robbins
E&J Gallo Winery,New Amsterdam
Edgewell Personal Care,Banana Boat
Eurospin,Acqua Blues
Eurospin,DOLCIANDO
Excelo,Momo
Excelo,Petit blé
Excelo,Silvia
Excelo,Top cookies
FAGE,FAGE
Ferrero,Ferrero Rocher
Ferrero,Nutella
Ferrero,Raffaello
Ferrero,Tic Tac
Ferrero,Kinder Surprise
Ferrero,Kinder Chocolate
Ferrero,Kinder Bueno
Ferrero,Ferrero Küsschen
Ferrero,Mon Chéri
Ferrero,Kinder Joy
Ferrero,Kinder
Ferrero,Pocket Coffee
Ferrero,Mon Chéri
Ferrero,Confetteria Raffaello
Ferrero,Ferrero Küsschen
Ferrero,Butterfinger 
Ferrero,Nerds
Ferrero,Baby Ruth
Ferrero,Jawbreaker
Ferrero,Estathé
Ferrero,Kinder Joy
Ferrero,Lemonhead
Ferrero,NOw and Later
Ferrero,Ovetto Kinder
General Mills,General Mills
General Mills,Yoplait
General Mills,Betty Crocker
General Mills,Bisquick
General Mills,Pillsbury
General Mills,Chex Mix
General Mills,Nature Valley
General Mills,Gardetto's
General Mills,Cascadian Farms
General Mills,Old El Paso
General Mills,Annie's
General Mills,Totino's
General Mills,Progresso
General Mills,Fruit By The Foot
General Mills,Fruit Roll Up
General Mills,General Mills
General Mills,Go-Gurt
General Mills,Yoplait tubes
General Mills,Frubes
General Mills,Haagen Dazs
General Mills,Larabar
General Mills,Lucky Charms
GlaxoSmithKline,Abreva
GlaxoSmithKline,alli
GlaxoSmithKline,Aquafresh
GlaxoSmithKline,AstringOSol
GlaxoSmithKline,Beechams
GlaxoSmithKline,Binaca
GlaxoSmithKline,Biotene
GlaxoSmithKline,Boost
GlaxoSmithKline,Breathe Right
GlaxoSmithKline,Cetebe
GlaxoSmithKline,Chlorhexamed
GlaxoSmithKline,Cholinex
GlaxoSmithKline,Citrucel
GlaxoSmithKline,Coldrex
GlaxoSmithKline,Commit Lozenge
GlaxoSmithKline,Committed Quitters
GlaxoSmithKline,Corega
GlaxoSmithKline,Corsodyl
GlaxoSmithKline,Crocin
GlaxoSmithKline,Dr. Best
GlaxoSmithKline,ENO
GlaxoSmithKline,Eumovate
GlaxoSmithKline,Fenbid
GlaxoSmithKline,Flonase
GlaxoSmithKline,Formigran
GlaxoSmithKline,Grand-PA
GlaxoSmithKline,Hinds
GlaxoSmithKline,Horlicks
GlaxoSmithKline,Horlicks Promind
GlaxoSmithKline,Junior Horlicks
GlaxoSmithKline,Iodex
GlaxoSmithKline,Iodosan
GlaxoSmithKline,Macleans
GlaxoSmithKline,Maltova
GlaxoSmithKline,Maxinutrition
GlaxoSmithKline,Medacalm
GlaxoSmithKline,Nicorette
GlaxoSmithKline,NiQuitin CQ/ Nicoderm CQ/ Nicabate 
GlaxoSmithKline,Odol
GlaxoSmithKline,Odol-med3
GlaxoSmithKline,Os-cal
GlaxoSmithKline,Panadeine
GlaxoSmithKline,Panadol
GlaxoSmithKline,Parodontax
GlaxoSmithKline,Piriton/Piriteze
GlaxoSmithKline,Polident
GlaxoSmithKline,Poligrip Ultra
GlaxoSmithKline,Rutinoscorbin
GlaxoSmithKline,Scott's Emulsion
GlaxoSmithKline,Sensodyne
GlaxoSmithKline,Shumitect
GlaxoSmithKline,Solpadeine
GlaxoSmithKline,Super Poligrip
GlaxoSmithKline,Super Wernet's
GlaxoSmithKline,Synthol
GlaxoSmithKline,Theraflu
GlaxoSmithKline,Tums
GlaxoSmithKline,Viva
GlaxoSmithKline,Zovirax
GlaxoSmithKline,HOrlicks
