Level.1,Level.2,Level.3,Level.4,Level.5,Level.6
pottery or ceramic,flower pots,,,,
auto products,batteries: car or boat,,,,
auto products,car OR boat parts,car parts,fenders,,
auto products,car OR boat parts,car parts,tyres and belts,tires,tyres without holes OR wheels
auto products,car OR boat parts,car parts,tyres and belts,tires,tyres with holes
auto products,car OR boat parts,car parts,wheels,,
auto products,car OR boat parts,boat parts,,,
auto products,motorbikes OR parts,,,,
auto products,"vehicle debris, large",,,,
auto products,"vehicle debris, small",,,,
bags,backpacks & bags,,,,
bags,bag (grocery),shopping bags incl. pieces,bag ends,,
bags,bag (trash),,,,
bags,"bag (zip-lock, produce, other)","small plastic bags, e.g., freezer bags",,,
bags,bulk bags,,,,
bags,degraded bag,,,,
bags,dog waste bags,,,,
bags,mesh vegetable bags,,,,
bags,sacking,,,,
bags,take-out food bags,single use plastic carryout bags,,,
batteries,batteries (acidic and alkaline),,,,
"bolts, nails, and screws",,,,,
cable ties,,,,,
clothing OR towels OR gloves OR shoes,"clothing, hats, gloves & towels",clothing OR towel OR gloves,clothing OR rags,clothing,thongs
clothing OR towels OR gloves OR shoes,"clothing, hats, gloves & towels",clothing OR towel OR gloves,clothing OR rags,towels OR rags,
clothing OR towels OR gloves OR shoes,"clothing, hats, gloves & towels",clothing OR towel OR gloves,gloves,,
clothing OR towels OR gloves OR shoes,"clothing, hats, gloves & towels",hard hats,,,
clothing OR towels OR gloves OR shoes,clothing OR shoes OR beach towels,clothing & shoes,shoes OR sandals,boots,
clothing OR towels OR gloves OR shoes,clothing OR shoes OR beach towels,clothing & shoes,shoes OR sandals,flip-flops,
clothing OR towels OR gloves OR shoes,clothing OR shoes OR beach towels,clothing & shoes,shoes OR sandals,shoe,
clothing OR towels OR gloves OR shoes,clothing OR shoes OR beach towels,cloth fragments,,,
computer equiptment & other electronic devices,"cd, cd-box",,,,
computer equiptment & other electronic devices,small electronic items,e-waste fragments,,,
computer equiptment & other electronic devices,small electronic items,telephone(incl.parts),,,
corks,,,,,
"cups, food trays, food wrappers, drink containers",beverage conatiners,bottles & jars,beverage bottles,drink bottles>0.5l,
"cups, food trays, food wrappers, drink containers",beverage conatiners,bottles & jars,beverage bottles,water bottles,
"cups, food trays, food wrappers, drink containers",beverage conatiners,bottles & jars,beverage bottles,sport drink bottles,
