"materials","items","organization"
"PLASTIC","Fragment","5 Gyres Plastic Beach Microplastics Protocol "
"PLASTIC","Pellet","5 Gyres Plastic Beach Microplastics Protocol "
"PLASTIC","Line","5 Gyres Plastic Beach Microplastics Protocol "
"PLASTIC","Thin Film","5 Gyres Plastic Beach Microplastics Protocol "
"PLASTIC","Foam","5 Gyres Plastic Beach Microplastics Protocol "
"PLASTIC","Other Plastic Items","5 Gyres Plastic Beach Microplastics Protocol "
"OTHER ITEMS","Non-Plastic Items","5 Gyres Plastic Beach Microplastics Protocol "
"OTHER ITEMS","Test","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Beach Name","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Quadrat #","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Location on the Beach","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Human use of beach","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Beach type","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Volunteer names (optional)","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Other notes","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Nearest city/town","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","State/province/county","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Recent rain/storms","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Date of Sampling","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Time of day","5 Gyres Plastic Beach Microplastics Protocol "
"SITE DATA","Organization/group name","5 Gyres Plastic Beach Microplastics Protocol "
