"materials","items","organization"
"METAL","Aerosol cans","AAAS Water Diplomacy Symposium List "
"METAL","Aluminum or tin cans","AAAS Water Diplomacy Symposium List "
"PAPER & LUMBER","Paper Bags","AAAS Water Diplomacy Symposium List "
"PLASTIC","Plastic Bags","AAAS Water Diplomacy Symposium List "
"PLASTIC","Balloons and/or string","AAAS Water Diplomacy Symposium List "
"PLASTIC","Plastic Bottle","AAAS Water Diplomacy Symposium List "
"GLASS","Glass Bottle","AAAS Water Diplomacy Symposium List "
"PLASTIC","Plastic Bottle or Container Caps","AAAS Water Diplomacy Symposium List "
"METAL","Metal Bottle Caps","AAAS Water Diplomacy Symposium List "
"PAPER & LUMBER","Lumber/Building Materials","AAAS Water Diplomacy Symposium List "
"FISHING GEAR","Buoys and floats","AAAS Water Diplomacy Symposium List "
"PLASTIC","Cigarette lighters/tobacco packaging","AAAS Water Diplomacy Symposium List "
"PLASTIC","Cigarette or tobacco packaging","AAAS Water Diplomacy Symposium List "
"PLASTIC","Cigarettes","AAAS Water Diplomacy Symposium List "
"CLOTH","Clothing and Shoes","AAAS Water Diplomacy Symposium List "
"PLASTIC","Foam or Plastic Cups","AAAS Water Diplomacy Symposium List "
"PAPER & LUMBER","Paper Cups","AAAS Water Diplomacy Symposium List "
"CLOTH","Fabric pieces","AAAS Water Diplomacy Symposium List "
"FISHING GEAR","Fishing lures and lines","AAAS Water Diplomacy Symposium List "
"RUBBER","Flip-flops","AAAS Water Diplomacy Symposium List "
"PAPER & LUMBER","Food wrappers (paper)","AAAS Water Diplomacy Symposium List "
"PLASTIC","Plastic Food Wrappers","AAAS Water Diplomacy Symposium List "
"PLASTIC","Rubber Gloves","AAAS Water Diplomacy Symposium List "
"CLOTH","Gloves (non-rubber)","AAAS Water Diplomacy Symposium List "
"GLASS","Glass Jars","AAAS Water Diplomacy Symposium List "
"PLASTIC","Other Plastic Jugs or Containers","AAAS Water Diplomacy Symposium List "
"PAPER & LUMBER","Paper and Cardboard","AAAS Water Diplomacy Symposium List "
"PLASTIC","Personal care products","AAAS Water Diplomacy Symposium List "
"PLASTIC","Plastic or Foam Fragments","AAAS Water Diplomacy Symposium List "
"FISHING GEAR","Plastic rope / Small Net Pieces","AAAS Water Diplomacy Symposium List "
"FISHING GEAR","Rope or Net Pieces (non-nylon)","AAAS Water Diplomacy Symposium List "
"PLASTIC","Plastic Utensils","AAAS Water Diplomacy Symposium List "
"PLASTIC","Six-pack rings","AAAS Water Diplomacy Symposium List "
"PLASTIC","Straws","AAAS Water Diplomacy Symposium List "
"PLASTIC","Styrofoam packaging","AAAS Water Diplomacy Symposium List "
"RUBBER","Tires","AAAS Water Diplomacy Symposium List "
"CLOTH","Towels or rags","AAAS Water Diplomacy Symposium List "
"PLASTIC","Toys (plastic)","AAAS Water Diplomacy Symposium List "
"OTHER ITEMS","Other","AAAS Water Diplomacy Symposium List "
"METAL","Batteries (acidic and alkaline)","AAAS Water Diplomacy Symposium List "
"PLASTIC","Chemicals and chemical containers","AAAS Water Diplomacy Symposium List "
"FISHING GEAR","Crab/Lobster/Fish trap parts","AAAS Water Diplomacy Symposium List "
"PLASTIC","Fireworks","AAAS Water Diplomacy Symposium List "
"FISHING GEAR","Fishing nets","AAAS Water Diplomacy Symposium List "
"PLASTIC","Non-food related plastic packaging","AAAS Water Diplomacy Symposium List "
"PAPER & LUMBER","Pallets","AAAS Water Diplomacy Symposium List "
"OTHER ITEMS","Test Item","AAAS Water Diplomacy Symposium List "
