"materials","items","organization"
"METAL","Aerosol cans","Bald Head Island Conservancy"
"METAL","Aluminum or tin cans","Bald Head Island Conservancy"
"PAPER & LUMBER","Paper Bags","Bald Head Island Conservancy"
"PLASTIC","Plastic Bags","Bald Head Island Conservancy"
"PLASTIC","Balloons and/or string","Bald Head Island Conservancy"
"PLASTIC","Plastic Bottle","Bald Head Island Conservancy"
"GLASS","Glass Bottle","Bald Head Island Conservancy"
"PLASTIC","Plastic Bottle or Container Caps","Bald Head Island Conservancy"
"METAL","Metal Bottle Caps","Bald Head Island Conservancy"
"PAPER & LUMBER","Lumber/Building Materials","Bald Head Island Conservancy"
"FISHING GEAR","Buoys and floats","Bald Head Island Conservancy"
"PLASTIC","Cigarette lighters/tobacco packaging","Bald Head Island Conservancy"
"PLASTIC","Cigarette or tobacco packaging","Bald Head Island Conservancy"
"PLASTIC","Cigarettes","Bald Head Island Conservancy"
"CLOTH","Clothing and Shoes","Bald Head Island Conservancy"
"PLASTIC","Foam or Plastic Cups","Bald Head Island Conservancy"
"PAPER & LUMBER","Paper Cups","Bald Head Island Conservancy"
"CLOTH","Fabric pieces","Bald Head Island Conservancy"
"FISHING GEAR","Fishing lures and lines","Bald Head Island Conservancy"
"RUBBER","Flip-flops","Bald Head Island Conservancy"
"PAPER & LUMBER","Food wrappers (paper)","Bald Head Island Conservancy"
"PLASTIC","Plastic Food Wrappers","Bald Head Island Conservancy"
"PLASTIC","Rubber Gloves","Bald Head Island Conservancy"
"CLOTH","Gloves (non-rubber)","Bald Head Island Conservancy"
"GLASS","Glass Jars","Bald Head Island Conservancy"
"PLASTIC","Other Plastic Jugs or Containers","Bald Head Island Conservancy"
"PAPER & LUMBER","Paper and Cardboard","Bald Head Island Conservancy"
"PLASTIC","Personal care products","Bald Head Island Conservancy"
"PLASTIC","Plastic or Foam Fragments","Bald Head Island Conservancy"
"FISHING GEAR","Plastic rope / Small Net Pieces","Bald Head Island Conservancy"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Bald Head Island Conservancy"
"PLASTIC","Plastic Utensils","Bald Head Island Conservancy"
"PLASTIC","Six-pack rings","Bald Head Island Conservancy"
"PLASTIC","Straws","Bald Head Island Conservancy"
"PLASTIC","Styrofoam packaging","Bald Head Island Conservancy"
"RUBBER","Tires","Bald Head Island Conservancy"
"CLOTH","Towels or rags","Bald Head Island Conservancy"
"PLASTIC","Toys (plastic)","Bald Head Island Conservancy"
"OTHER ITEMS","Other","Bald Head Island Conservancy"
"METAL","Batteries (acidic and alkaline)","Bald Head Island Conservancy"
"PLASTIC","Chemicals and chemical containers","Bald Head Island Conservancy"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Bald Head Island Conservancy"
"PLASTIC","Fireworks","Bald Head Island Conservancy"
"FISHING GEAR","Fishing nets","Bald Head Island Conservancy"
"PLASTIC","Non-food related plastic packaging","Bald Head Island Conservancy"
"PAPER & LUMBER","Pallets","Bald Head Island Conservancy"
"OTHER ITEMS","Test Item","Bald Head Island Conservancy"
