"materials","items","organization"
"INFORMACIONE FAQE","Gjendja e pikës: legale / ilegale","CRESSIDA List - Albanian"
"INFORMACIONE FAQE","Lloji i mbetjes në pikë","CRESSIDA List - Albanian"
"INFORMACIONE FAQE","Afërsia me trupat ujore","CRESSIDA List - Albanian"
"INFORMACIONE FAQE","Afërsia me zonat e banuara","CRESSIDA List - Albanian"
"INFORMACIONE FAQE","Sipërfaqja","CRESSIDA List - Albanian"
"INFORMACIONE FAQE","Shkalla e rrezikut","CRESSIDA List - Albanian"
"INFORMACIONE FAQE","Masat","CRESSIDA List - Albanian"
"MBETJE URBANE","Organike dhe mikse","CRESSIDA List - Albanian"
"MBETJE URBANE","Plastikë (të gjitha llojet)","CRESSIDA List - Albanian"
"MBETJE URBANE","Qelq (të gjitha llojet)","CRESSIDA List - Albanian"
"MBETJE URBANE","Kartona dhe letër","CRESSIDA List - Albanian"
"MBETJE URBANE","Metale (të gjitha llojet)","CRESSIDA List - Albanian"
"MBETJE URBANE","Alumin (të gjitha llojet)","CRESSIDA List - Albanian"
"MBETJE URBANE","Elektronike dhe elektrike","CRESSIDA List - Albanian"
"MBETJE URBANE","Bateri ","CRESSIDA List - Albanian"
"MBETJE URBANE","Makina","CRESSIDA List - Albanian"
"MBETJE URBANE","Mbetje ndërtimore","CRESSIDA List - Albanian"
"MBETJE URBANE","Mbetje voluminoze dhe fibra","CRESSIDA List - Albanian"
"MBETJE URBANE","Të tjera","CRESSIDA List - Albanian"
