"materials","items","organization"
"SITE DATA","Type of site: Legal / Illegal","CRESSIDA List - English"
"SITE DATA","Type of waste on site","CRESSIDA List - English"
"SITE DATA","Vicinity to water bodies","CRESSIDA List - English"
"SITE DATA","Vicinity with settlements","CRESSIDA List - English"
"SITE DATA","Size","CRESSIDA List - English"
"SITE DATA","Risk","CRESSIDA List - English"
"SITE DATA","Remediation Measure","CRESSIDA List - English"
"URBAN LITTER","Organic and mixed waste","CRESSIDA List - English"
"URBAN LITTER","Plastics (all kinds)","CRESSIDA List - English"
"URBAN LITTER","Glass (bottle, jar)","CRESSIDA List - English"
"URBAN LITTER","Cardboard and paper","CRESSIDA List - English"
"URBAN LITTER","Metals (all kinds)","CRESSIDA List - English"
"URBAN LITTER","Aluminum (all kinds)","CRESSIDA List - English"
"URBAN LITTER","Electronic and electric waste","CRESSIDA List - English"
"URBAN LITTER","Batteries","CRESSIDA List - English"
"URBAN LITTER","End of life vehicles","CRESSIDA List - English"
"URBAN LITTER","Construction waste ","CRESSIDA List - English"
"URBAN LITTER","Bulky waste and fabrics ","CRESSIDA List - English"
"URBAN LITTER","Other waste","CRESSIDA List - English"
