"materials","items","organization"
"SHORELINE AND RECREATIONAL ACTIVITES","Bags (paper)","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Bags (plastic)","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Balloons","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Bev. Bottles (plastic)","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Bev. Bottles (glass)","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Bev. Cans","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Caps & Lids","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Clothes & Shoes","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Cups, Plates, Utensils","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Food Wrappers/ Containers","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Pull Tabs","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","6-Pack Holder","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Gun Shells","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Straws & Stirs","Clean Ocean Access"
"SHORELINE AND RECREATIONAL ACTIVITES","Toys","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Bait Containers","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Beach & Clean Bottles","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Buoys & Floats","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Crab/ Lobster/ Fish Traps","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Crates","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Fishing Line","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Fishing Lures/ Light Sticks","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Fishing Net","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Light Bulbs/Tubes","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Oil/Lube Bottles","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Pallets","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Plastic Sheets/ Tarps","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Rope","Clean Ocean Access"
"OCEAN/WATERWAY ACTIVITIES","Strap Bands","Clean Ocean Access"
"SMOKING-RELATED ACTIVITIES","Cigs & Cig Filters","Clean Ocean Access"
"SMOKING-RELATED ACTIVITIES","Cig Lghtrs","Clean Ocean Access"
"SMOKING-RELATED ACTIVITIES","Cigar Tips","Clean Ocean Access"
"SMOKING-RELATED ACTIVITIES","Tobacco Pkging","Clean Ocean Access"
"DUMPING ACTIVITES","Appliances ","Clean Ocean Access"
"DUMPING ACTIVITES","Battery","Clean Ocean Access"
"DUMPING ACTIVITES","Build Materials","Clean Ocean Access"
"DUMPING ACTIVITES","Car Parts","Clean Ocean Access"
"DUMPING ACTIVITES","55-Gallon Drums","Clean Ocean Access"
"DUMPING ACTIVITES","Tires","Clean Ocean Access"
"MEDICAL/PERSONAL HYGIENE","Condoms","Clean Ocean Access"
"MEDICAL/PERSONAL HYGIENE","Diapers","Clean Ocean Access"
"MEDICAL/PERSONAL HYGIENE","Syringes","Clean Ocean Access"
"MEDICAL/PERSONAL HYGIENE","Tampons","Clean Ocean Access"
"DEBRIS ITEMS OF LOCAL CONCERN","Misc. Plastic","Clean Ocean Access"
"DEBRIS ITEMS OF LOCAL CONCERN","Misc. Paper","Clean Ocean Access"
"DEBRIS ITEMS OF LOCAL CONCERN","Misc. Foam","Clean Ocean Access"
"DEBRIS ITEMS OF LOCAL CONCERN","Other Items of Conern/ Peculiar Items/ Animals","Clean Ocean Access"
"DEBRIS ITEMS OF LOCAL CONCERN","Other Count","Clean Ocean Access"
"DEBRIS ITEMS OF LOCAL CONCERN","Dog Waste Bags","Clean Ocean Access"
