"materials","items","organization"
"METAL","Aerosol cans","Corpus Christi Storm Water Runoff"
"METAL","Aluminum or tin cans","Corpus Christi Storm Water Runoff"
"PAPER & LUMBER","Paper Bags","Corpus Christi Storm Water Runoff"
"PLASTIC","Plastic Bags","Corpus Christi Storm Water Runoff"
"PLASTIC","Balloons and/or string","Corpus Christi Storm Water Runoff"
"PLASTIC","Plastic Bottle","Corpus Christi Storm Water Runoff"
"GLASS","Glass Bottle","Corpus Christi Storm Water Runoff"
"PLASTIC","Plastic Bottle or Container Caps","Corpus Christi Storm Water Runoff"
"METAL","Metal Bottle Caps","Corpus Christi Storm Water Runoff"
"PAPER & LUMBER","Lumber/Building Materials","Corpus Christi Storm Water Runoff"
"FISHING GEAR","Buoys and floats","Corpus Christi Storm Water Runoff"
"PLASTIC","Cigarette lighters/tobacco packaging","Corpus Christi Storm Water Runoff"
"PLASTIC","Cigarette or tobacco packaging","Corpus Christi Storm Water Runoff"
"PLASTIC","Cigarettes","Corpus Christi Storm Water Runoff"
"CLOTH","Clothing and Shoes","Corpus Christi Storm Water Runoff"
"PLASTIC","Foam or Plastic Cups","Corpus Christi Storm Water Runoff"
"PAPER & LUMBER","Paper Cups","Corpus Christi Storm Water Runoff"
"CLOTH","Fabric pieces","Corpus Christi Storm Water Runoff"
"FISHING GEAR","Fishing lures and lines","Corpus Christi Storm Water Runoff"
"RUBBER","Flip-flops","Corpus Christi Storm Water Runoff"
"PAPER & LUMBER","Food wrappers (paper)","Corpus Christi Storm Water Runoff"
"PLASTIC","Plastic Food Wrappers","Corpus Christi Storm Water Runoff"
"PLASTIC","Rubber Gloves","Corpus Christi Storm Water Runoff"
"CLOTH","Gloves (non-rubber)","Corpus Christi Storm Water Runoff"
"GLASS","Glass Jars","Corpus Christi Storm Water Runoff"
"PLASTIC","Other Plastic Jugs or Containers","Corpus Christi Storm Water Runoff"
"PAPER & LUMBER","Paper and Cardboard","Corpus Christi Storm Water Runoff"
"PLASTIC","Personal care products","Corpus Christi Storm Water Runoff"
"PLASTIC","Plastic or Foam Fragments","Corpus Christi Storm Water Runoff"
"FISHING GEAR","Plastic rope / Small Net Pieces","Corpus Christi Storm Water Runoff"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Corpus Christi Storm Water Runoff"
"PLASTIC","Plastic Utensils","Corpus Christi Storm Water Runoff"
"PLASTIC","Six-pack rings","Corpus Christi Storm Water Runoff"
"PLASTIC","Straws","Corpus Christi Storm Water Runoff"
"PLASTIC","Styrofoam packaging","Corpus Christi Storm Water Runoff"
"RUBBER","Tires","Corpus Christi Storm Water Runoff"
"CLOTH","Towels or rags","Corpus Christi Storm Water Runoff"
"PLASTIC","Toys (plastic)","Corpus Christi Storm Water Runoff"
"OTHER ITEMS","Other","Corpus Christi Storm Water Runoff"
"METAL","Batteries (acidic and alkaline)","Corpus Christi Storm Water Runoff"
"PLASTIC","Chemicals and chemical containers","Corpus Christi Storm Water Runoff"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Corpus Christi Storm Water Runoff"
"PLASTIC","Fireworks","Corpus Christi Storm Water Runoff"
"FISHING GEAR","Fishing nets","Corpus Christi Storm Water Runoff"
"PLASTIC","Non-food related plastic packaging","Corpus Christi Storm Water Runoff"
"PAPER & LUMBER","Pallets","Corpus Christi Storm Water Runoff"
"OTHER ITEMS","Test Item","Corpus Christi Storm Water Runoff"
