"materials","items","organization"
"PLASTIC","Plastic Bags","Derwent Estuary List"
"PLASTIC","Plastic Bottle","Derwent Estuary List"
"PLASTIC","Plastic Bottle or Container Caps","Derwent Estuary List"
"PLASTIC","Cigaretts, Butts, Lighters, Packaging","Derwent Estuary List"
"PLASTIC","Balloons and/or String","Derwent Estuary List"
"PLASTIC","Foam or Plastic Cups","Derwent Estuary List"
"PLASTIC","Plastic Food Wrappers","Derwent Estuary List"
"PLASTIC","Other Plastic Jugs or Containers","Derwent Estuary List"
"PLASTIC","Personal Care Products","Derwent Estuary List"
"FISHING GEAR","Plastic Rope / Small Net Pieces","Derwent Estuary List"
"PLASTIC","Plastic Utensils","Derwent Estuary List"
"PLASTIC","Six-pack rings","Derwent Estuary List"
"PLASTIC","Straws","Derwent Estuary List"
"PLASTIC","Coffee Cup Lid","Derwent Estuary List"
"PLASTIC","Plastic or Foam Fragments","Derwent Estuary List"
"METAL","Aerosol Cans","Derwent Estuary List"
"METAL","Aluminum or Tin Cans","Derwent Estuary List"
"METAL","Metal Bottle Caps","Derwent Estuary List"
"GLASS","Glass Bottle","Derwent Estuary List"
"GLASS","Glass Jars","Derwent Estuary List"
"PLASTIC","Rubber Gloves","Derwent Estuary List"
"RUBBER","Thongs","Derwent Estuary List"
"RUBBER","Tires","Derwent Estuary List"
"CLOTH","Clothing and Shoes","Derwent Estuary List"
"CLOTH","Fabric Pieces","Derwent Estuary List"
"CLOTH","Gloves (non-rubber/cloth)","Derwent Estuary List"
"CLOTH","Towels or rags","Derwent Estuary List"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Derwent Estuary List"
"WOOD AND PAPER","Paper Bags","Derwent Estuary List"
"WOOD AND PAPER","Food Wrappers","Derwent Estuary List"
"WOOD AND PAPER","Paper and cardboard","Derwent Estuary List"
"WOOD AND PAPER","Lumber/Building Materials","Derwent Estuary List"
"WOOD AND PAPER","Palletts","Derwent Estuary List"
"FISHING GEAR","Buoys and Floats","Derwent Estuary List"
"FISHING GEAR","Fishing Lures and Lines","Derwent Estuary List"
"OTHER ITEMS","Other","Derwent Estuary List"
"OTHER ITEMS","Test Item","Derwent Estuary List"
"METAL","Oil or Petrol Can","Derwent Estuary List"
"METAL","Shopping Trolleys","Derwent Estuary List"
"WOOD AND PAPER","Coffee Cup","Derwent Estuary List"
