"materials","items","organization"
"PLASTIC","Cigarette Butt","Fulbright Vietnam Project"
"PLASTIC","Plastic Straw","Fulbright Vietnam Project"
"PLASTIC","Plastic Bottle Cap","Fulbright Vietnam Project"
"PLASTIC","Plastic Bag","Fulbright Vietnam Project"
"PLASTIC","Plastic Cup","Fulbright Vietnam Project"
"PLASTIC","Plastic Lid","Fulbright Vietnam Project"
"PLASTIC","Plastic Bottle","Fulbright Vietnam Project"
"PLASTIC","Blister Pack","Fulbright Vietnam Project"
"CLOTH","Face Mask","Fulbright Vietnam Project"
"PLASTIC","Foam Cup or Container","Fulbright Vietnam Project"
"PLASTIC","Plastic Film, Wrapper or Tape","Fulbright Vietnam Project"
"PLASTIC","Plastic or Foam Pieces","Fulbright Vietnam Project"
"PLASTIC","Plastic Container or Jug","Fulbright Vietnam Project"
"PLASTIC","Plastic Utensil","Fulbright Vietnam Project"
"PLASTIC","Flip Flop","Fulbright Vietnam Project"
"PLASTIC","Hard Plastic Packaging","Fulbright Vietnam Project"
"PLASTIC","Plastic Pipe or Tube","Fulbright Vietnam Project"
"PLASTIC","Personal Care Product","Fulbright Vietnam Project"
"PLASTIC","Syringe","Fulbright Vietnam Project"
"PLASTIC","Cigarette Lighter","Fulbright Vietnam Project"
"PLASTIC","Diaper/Nappy","Fulbright Vietnam Project"
"PLASTIC","Miscellaneous Plastic Debris","Fulbright Vietnam Project"
"METAL","Aluminum Can","Fulbright Vietnam Project"
"METAL","Tin Can","Fulbright Vietnam Project"
"METAL","Metal Bottle Cap","Fulbright Vietnam Project"
"METAL","Metal Bar, Pipe, or Wire","Fulbright Vietnam Project"
"METAL","Metal Piping ","Fulbright Vietnam Project"
"METAL","Wire Piece","Fulbright Vietnam Project"
"METAL","Aerosol Can","Fulbright Vietnam Project"
"GLASS","Glass Bottle","Fulbright Vietnam Project"
"GLASS","Glass Container","Fulbright Vietnam Project"
"GLASS","Glass Pieces","Fulbright Vietnam Project"
"RUBBER","Rubber Boot or Shoe","Fulbright Vietnam Project"
"RUBBER","Rubber Tire","Fulbright Vietnam Project"
"RUBBER","Rubber Glove","Fulbright Vietnam Project"
"RUBBER","Rubber Band","Fulbright Vietnam Project"
"CLOTH","Articles of Clothing","Fulbright Vietnam Project"
"CLOTH","Towel or Rag","Fulbright Vietnam Project"
"CLOTH","Shoe","Fulbright Vietnam Project"
"CLOTH","Burlap Sack","Fulbright Vietnam Project"
"PAPER & LUMBER","Paper Bag","Fulbright Vietnam Project"
"PAPER & LUMBER","Lumber","Fulbright Vietnam Project"
"PAPER & LUMBER","Cardboard","Fulbright Vietnam Project"
"PAPER & LUMBER","Paper Debris","Fulbright Vietnam Project"
"FISHING GEAR","Buoys and Floats","Fulbright Vietnam Project"
"FISHING GEAR","Fishing Lures and Lines","Fulbright Vietnam Project"
"FISHING GEAR","Plastic Rope and Netting","Fulbright Vietnam Project"
"FISHING GEAR","Non-plastic Rope and Netting","Fulbright Vietnam Project"
"LANDMARKS","Cafe/Coffee Shop","Fulbright Vietnam Project"
"LANDMARKS","Bubble Tea Shop","Fulbright Vietnam Project"
"LANDMARKS","Street Market","Fulbright Vietnam Project"
"LANDMARKS","Super Market","Fulbright Vietnam Project"
"LANDMARKS","Street Food Vendor","Fulbright Vietnam Project"
"LANDMARKS","Restaurant","Fulbright Vietnam Project"
"LANDMARKS","Motorbike or Car Repair Shop","Fulbright Vietnam Project"
"LANDMARKS","Junk Shop","Fulbright Vietnam Project"
"POINTS OF INTEREST","Recycling Bin","Fulbright Vietnam Project"
"POINTS OF INTEREST","Trash Bin","Fulbright Vietnam Project"
"POINTS OF INTEREST","Large Trash Accumulation Site","Fulbright Vietnam Project"
"POINTS OF INTEREST","Group of Empty Waste Carts","Fulbright Vietnam Project"
"POINTS OF INTEREST","Group of Full Waste Carts","Fulbright Vietnam Project"
"POINTS OF INTEREST","Sidewalk Tree with Surrounding Trash","Fulbright Vietnam Project"
"PAPER & LUMBER","Cigarette Box","Fulbright Vietnam Project"
"RUBBER","Rubber Debris","Fulbright Vietnam Project"
"METAL","Metal Debris","Fulbright Vietnam Project"
