"materials","items","organization"
"METAL","Aerosol cans","GA Sea Turtle Center"
"METAL","Aluminum or tin cans","GA Sea Turtle Center"
"PAPER","Paper Bags","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic Bags","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Balloons and/or string","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic Bottle","GA Sea Turtle Center"
"GLASS","Glass Bottle","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic Bottle or Container Caps","GA Sea Turtle Center"
"METAL","Metal Bottle Caps","GA Sea Turtle Center"
"MISCELLANEOUS","Lumber/Building Materials","GA Sea Turtle Center"
"FISHING GEAR","Buoys and floats","GA Sea Turtle Center"
"CIGARETTE","Cigarette lighters/tobacco packaging","GA Sea Turtle Center"
"CIGARETTE","Cigarette or tobacco packaging","GA Sea Turtle Center"
"CIGARETTE","Cigarettes","GA Sea Turtle Center"
"CLOTHES/FABRIC","Clothing and Shoes","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Foam or Plastic Cups and Plates","GA Sea Turtle Center"
"PAPER","Paper Cups","GA Sea Turtle Center"
"CLOTHES/FABRIC","Fabric pieces","GA Sea Turtle Center"
"FISHING GEAR","Fishing lures and lines","GA Sea Turtle Center"
"CLOTHES/FABRIC","Flip-flops","GA Sea Turtle Center"
"PAPER","Food wrappers (paper)","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic Food Wrappers","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Rubber Gloves","GA Sea Turtle Center"
"CLOTHES/FABRIC","Gloves (non-rubber)","GA Sea Turtle Center"
"GLASS","Glass Jars","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Other Plastic Jugs or Containers","GA Sea Turtle Center"
"PAPER","Paper and Cardboard","GA Sea Turtle Center"
"MISCELLANEOUS","Personal care products","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic or Foam Fragments","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic rope / Small Net Pieces","GA Sea Turtle Center"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic Utensils","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Six-pack rings","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Straws","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Styrofoam packaging","GA Sea Turtle Center"
"MISCELLANEOUS","Tires","GA Sea Turtle Center"
"CLOTHES/FABRIC","Towels or rags","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Toys (plastic)","GA Sea Turtle Center"
"MISCELLANEOUS","Other","GA Sea Turtle Center"
"METAL","Batteries (acidic and alkaline)","GA Sea Turtle Center"
"PLASTIC","Chemicals and chemical containers","GA Sea Turtle Center"
"FISHING GEAR","Crab/Lobster/Fish trap parts","GA Sea Turtle Center"
"PLASTIC","Fireworks","GA Sea Turtle Center"
"FISHING GEAR","Fishing nets","GA Sea Turtle Center"
"PLASTIC","Non-food related plastic packaging","GA Sea Turtle Center"
"PAPER","Pallets","GA Sea Turtle Center"
"MISCELLANEOUS","Test Item","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Take Out/Away Containers","GA Sea Turtle Center"
"CIGARETTE","Cigar Tips","GA Sea Turtle Center"
"GLASS","Glass pieces","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Nonfood related packaging","GA Sea Turtle Center"
"PAPER","Paper Cups/Plates","GA Sea Turtle Center"
"PLASTIC/STYROFOAM","Plastic Lids","GA Sea Turtle Center"
"MISCELLANEOUS","Bandages","GA Sea Turtle Center"
"PAPER","Napkins/Wipes","GA Sea Turtle Center"
"MISCELLANEOUS","Fireworks","GA Sea Turtle Center"
