"materials","items","organization"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","पोलीथिन का थैला","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","प्लास्टिक का धागा","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","प्लास्टिक की बोतल","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","प्लास्टिक का ढक्कन","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","प्लास्टिक के पैकेट","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","जूस के डब्बे","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","प्लास्टिक या थर्माकोल/फोम से बने कप/ढक्कन","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","थर्माकोल/फोम के बने कटोरे/थाली/पात्र","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","खाना घर ले जाने वाले प्लास्टिक के बर्तन","Ganga Prahari"
"प्लास्टिक (खाने में इस्तेमाल आने वाले)","दोना/कागज़ के चमकीले कटोरे/पात्र","Ganga Prahari"
"धातु ","जस्ते एवं टिन के डब्बे","Ganga Prahari"
"धातु ","धातु के ढक्कन","Ganga Prahari"
"धातु ","जस्ते/एलुमिनम के पन्ने ","Ganga Prahari"
"काँच","काँच की बोतल","Ganga Prahari"
"काँच","काँच के टुकड़े","Ganga Prahari"
"कपड़े","पहनने वाले कपड़े ","Ganga Prahari"
"कपड़े","कपड़े के टुकड़ा","Ganga Prahari"
"कागज़","गत्ता","Ganga Prahari"
"कागज़","कागज़","Ganga Prahari"
"कागज़","कागज़ का डब्बा","Ganga Prahari"
"मछली पकड़ने के औज़ार/सामान","रांगा एवं तैराक","Ganga Prahari"
"मछली पकड़ने के औज़ार/सामान","प्लास्टिक की रस्सी","Ganga Prahari"
"मछली पकड़ने के औज़ार/सामान","प्लास्टिक की जाली या उसके टुकड़े","Ganga Prahari"
"इलेक्ट्रॉनिक कचरा ","तार","Ganga Prahari"
"इलेक्ट्रॉनिक कचरा ","बैटरी","Ganga Prahari"
"इलेक्ट्रॉनिक कचरा ","इलेक्ट्रॉनिक के टूटे टुकड़े","Ganga Prahari"
"अपने देखभाल में आने वाले उत्पाद","शैम्पू/ तेल के छोटे पैकेट","Ganga Prahari"
"अपने देखभाल में आने वाले उत्पाद","दवाईयों के पैकेट ","Ganga Prahari"
"अपने देखभाल में आने वाले उत्पाद","प्लास्टिक के ट्यूब","Ganga Prahari"
"तम्बाकू/गुटखा के पैकेट ","सिगरेट के डब्बे/पैकेट","Ganga Prahari"
"तम्बाकू/गुटखा के पैकेट ","तम्बाकू के पैकेट","Ganga Prahari"
"तम्बाकू/गुटखा के पैकेट ","सिगरेट","Ganga Prahari"
"टुकड़े","प्लास्टिक पन्नी के टुकड़े","Ganga Prahari"
"टुकड़े","फोम/थर्माकोल के टुकड़े","Ganga Prahari"
"टुकड़े","सख्त प्लास्टिक के टुकड़े","Ganga Prahari"
"प्लास्टिक के अन्य उत्पाद","प्लास्टिक की चप्पलें/जूते","Ganga Prahari"
"प्लास्टिक के अन्य उत्पाद","टायर/रब्बर के पहिये","Ganga Prahari"
"प्लास्टिक के अन्य उत्पाद","सीमेंट का बैग/बोरा/कट्टा","Ganga Prahari"
"प्लास्टिक के अन्य उत्पाद","रबर बैंड","Ganga Prahari"
"अन्य वस्तुएं","टेस्ट की चीजें","Ganga Prahari"
"अन्य वस्तुएं","अन्य","Ganga Prahari"
