"materials","items","organization"
"METAL","Aerosol cans","Goal: Clean Seas Florida Keys"
"METAL","Aluminum or tin cans","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Paper Bags","Goal: Clean Seas Florida Keys"
"PLASTIC","Plastic Grocery Bags","Goal: Clean Seas Florida Keys"
"PLASTIC","Balloons and/or string","Goal: Clean Seas Florida Keys"
"PLASTIC","Plastic Bottle","Goal: Clean Seas Florida Keys"
"GLASS","Glass Bottle","Goal: Clean Seas Florida Keys"
"PLASTIC","Plastic Bottle or Container Caps","Goal: Clean Seas Florida Keys"
"METAL","Metal Bottle Caps","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Lumber/Building Materials","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Buoys and floats","Goal: Clean Seas Florida Keys"
"PLASTIC","Cigarette lighters/tobacco packaging","Goal: Clean Seas Florida Keys"
"PLASTIC","Cigarette or tobacco packaging","Goal: Clean Seas Florida Keys"
"PLASTIC","Cigarettes","Goal: Clean Seas Florida Keys"
"CLOTH","Clothing","Goal: Clean Seas Florida Keys"
"PLASTIC","Foam or Plastic Cups","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Paper Cups","Goal: Clean Seas Florida Keys"
"CLOTH","Fabric pieces","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Fishing line","Goal: Clean Seas Florida Keys"
"RUBBER","Flip-flops","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Food wrappers (paper)","Goal: Clean Seas Florida Keys"
"PLASTIC","Plastic Food Wrappers","Goal: Clean Seas Florida Keys"
"PLASTIC","Rubber Gloves","Goal: Clean Seas Florida Keys"
"CLOTH","Gloves (non-rubber)","Goal: Clean Seas Florida Keys"
"GLASS","Glass Jars","Goal: Clean Seas Florida Keys"
"PLASTIC","Other Plastic Jugs or Containers","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Paper and Cardboard","Goal: Clean Seas Florida Keys"
"PLASTIC","Personal care products","Goal: Clean Seas Florida Keys"
"PLASTIC","Plastic or Foam Fragments","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Other Plastic Rope","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Plastic net","Goal: Clean Seas Florida Keys"
"PLASTIC","Plastic Utensils","Goal: Clean Seas Florida Keys"
"PLASTIC","Six-pack rings","Goal: Clean Seas Florida Keys"
"PLASTIC","Straws","Goal: Clean Seas Florida Keys"
"PLASTIC","Styrofoam packaging","Goal: Clean Seas Florida Keys"
"RUBBER","Tires","Goal: Clean Seas Florida Keys"
"CLOTH","Towels or rags","Goal: Clean Seas Florida Keys"
"PLASTIC","Toys (plastic)","Goal: Clean Seas Florida Keys"
"OTHER ITEMS","Other","Goal: Clean Seas Florida Keys"
"METAL","Batteries (acidic and alkaline)","Goal: Clean Seas Florida Keys"
"PLASTIC","Chemicals and chemical containers","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Goal: Clean Seas Florida Keys"
"PLASTIC","Fireworks","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Fishing hook","Goal: Clean Seas Florida Keys"
"PLASTIC","Non-food related plastic packaging","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Pallets","Goal: Clean Seas Florida Keys"
"OTHER ITEMS","Test Item","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Wooden Trap","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Metal Trap","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Plastic Trap","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Fishing Hook","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Non-nylon rope","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Non-nylon net","Goal: Clean Seas Florida Keys"
"SURVEY SITE INFO","GPS Coordinates","Goal: Clean Seas Florida Keys"
"SURVEY SITE INFO","Name of site","Goal: Clean Seas Florida Keys"
"SURVEY SITE INFO","Survey duration","Goal: Clean Seas Florida Keys"
"SURVEY SITE INFO","Date of survey","Goal: Clean Seas Florida Keys"
"SURVEY SITE INFO","Total weight of debris removed","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Plastic Trap Rope","Goal: Clean Seas Florida Keys"
"METAL","Anchor","Goal: Clean Seas Florida Keys"
"METAL","Metal Fragments","Goal: Clean Seas Florida Keys"
"CLOTH","Shoes","Goal: Clean Seas Florida Keys"
"PLASTIC","Other Plastic Bags","Goal: Clean Seas Florida Keys"
"GLASS","Glass Fragments","Goal: Clean Seas Florida Keys"
"RUBBER","Rubber Fragments","Goal: Clean Seas Florida Keys"
"METAL","Other Metal","Goal: Clean Seas Florida Keys"
"FISHING GEAR","Other Fishing Gear","Goal: Clean Seas Florida Keys"
"PLASTIC","Other Plastic","Goal: Clean Seas Florida Keys"
"GLASS","Other Glass","Goal: Clean Seas Florida Keys"
"RUBBER","Other Rubber","Goal: Clean Seas Florida Keys"
"CLOTH","Other Cloth","Goal: Clean Seas Florida Keys"
"PAPER & LUMBER","Other Paper or Lumber","Goal: Clean Seas Florida Keys"
