"materials","items","organization"
"GENERAL","Bags","ICC  Data Card"
"GENERAL","Balloons","ICC  Data Card"
"GENERAL","Beverage Bottles (plastic) 2 liters or less","ICC  Data Card"
"GENERAL","Beverage Bottles (glass)","ICC  Data Card"
"GENERAL","Beverage Cans","ICC  Data Card"
"GENERAL","Caps Lids","ICC  Data Card"
"GENERAL","Clothing Shoes","ICC  Data Card"
"GENERAL","Cups or Plates or Forks or Knives or Spoons","ICC  Data Card"
"GENERAL","Food Wrappers or Containers","ICC  Data Card"
"GENERAL","Pull Tabs","ICC  Data Card"
"GENERAL","6-Pack Holders","ICC  Data Card"
"GENERAL","Shotgun Shells or Wadding","ICC  Data Card"
"GENERAL","Straws or Stirrers","ICC  Data Card"
"GENERAL","Toys","ICC  Data Card"
"GENERAL","Bait Containers or Packaging","ICC  Data Card"
"GENERAL","Bleach or Cleaner Bottles","ICC  Data Card"
"GENERAL","Buoys or Floats","ICC  Data Card"
"GENERAL","Crab or Lobster or Fish Traps","ICC  Data Card"
"GENERAL","Crates","ICC  Data Card"
"GENERAL","Fishing Line","ICC  Data Card"
"GENERAL","Fishing Lures or Light Sticks","ICC  Data Card"
"GENERAL","Fishing Nets","ICC  Data Card"
"GENERAL","Light Bulbs orTubes","ICC  Data Card"
"GENERAL","Oil or Lube Bottles","ICC  Data Card"
"GENERAL","Pallets","ICC  Data Card"
"GENERAL","Plastic Sheeting orTarps","ICC  Data Card"
"GENERAL","Rope","ICC  Data Card"
"GENERAL","Strapping Bands","ICC  Data Card"
"GENERAL","Cigarettes or Cigarette filters","ICC  Data Card"
"GENERAL","Cigarette Lighters","ICC  Data Card"
"GENERAL","Cigar Tips","ICC  Data Card"
"GENERAL","Tobacco Packaging or Wrappers","ICC  Data Card"
"GENERAL","Appliances (refigerators or washers etc)","ICC  Data Card"
"GENERAL","Batteries","ICC  Data Card"
"GENERAL","Building Materials","ICC  Data Card"
"GENERAL","Cars Car Parts","ICC  Data Card"
"GENERAL","55-Gal Drums","ICC  Data Card"
"GENERAL","Tires","ICC  Data Card"
"GENERAL","Condoms","ICC  Data Card"
"GENERAL","Diapers","ICC  Data Card"
"GENERAL","Syringes","ICC  Data Card"
"GENERAL","Tampons or Tampon Applicators","ICC  Data Card"
"GENERAL","Other","ICC  Data Card"
