"materials","items","organization"
"Plastik","Tas Plastik","Indonesian Waste Platform"
"Plastik","Botol Plastik","Indonesian Waste Platform"
"Plastik","Tutup Botol Plastik atau Tutup Botol","Indonesian Waste Platform"
"Plastik","Rokok","Indonesian Waste Platform"
"Plastik","Kemasan Rokok","Indonesian Waste Platform"
"Plastik","Balon dan/atau Tali","Indonesian Waste Platform"
"Plastik","Wadah gelas dari Styrofoam atau Plastik","Indonesian Waste Platform"
"Plastik","Pembungkus Makanan Plastik","Indonesian Waste Platform"
"Plastik","Tempat Minum Plastik Lainnya atau Wadah","Indonesian Waste Platform"
"Plastik","Produk Perawatan Pribadi","Indonesian Waste Platform"
"Plastik","Tali Plastik / Potongan potongan kecil dari jaring ","Indonesian Waste Platform"
"Plastik","Peralatan Plastik","Indonesian Waste Platform"
"Plastik","Ring pengikat kemasan enam kaleng dari plastik","Indonesian Waste Platform"
"Plastik","Sedotan","Indonesian Waste Platform"
"Plastik","Potongan potongan Plastik atau Styrofoam","Indonesian Waste Platform"
"Logam","Kaleng Aerosol","Indonesian Waste Platform"
"Logam","Kaleng Aluminium atau Kaleng Timah ","Indonesian Waste Platform"
"Logam","Tutup Botol Logam","Indonesian Waste Platform"
"Gelas / Kaca ","Botol Kaca","Indonesian Waste Platform"
"Gelas / Kaca ","Toples Kaca","Indonesian Waste Platform"
"Karet","Sarung Tangan Karet","Indonesian Waste Platform"
"Karet","Sandal Jepit","Indonesian Waste Platform"
"Karet","Ban","Indonesian Waste Platform"
"Kain","Pakaian dan Sepatu","Indonesian Waste Platform"
"Kain","Potongan Kain","Indonesian Waste Platform"
"Kain","Sarung Tangan (bukan karet / kain)","Indonesian Waste Platform"
"Kain","Handuk atau Keset Kaki","Indonesian Waste Platform"
"Kain","Tali atau Potongan Jaring (bukan nilon)","Indonesian Waste Platform"
"Kertas dan Kayu","Tas Kertas","Indonesian Waste Platform"
"Kertas dan Kayu","Pembungkus Makanan (kertas)","Indonesian Waste Platform"
"Kertas dan Kayu","Kertas dan Karton","Indonesian Waste Platform"
"Kertas dan Kayu","Kayu/ Bahan bahan Bangunan","Indonesian Waste Platform"
"Kertas dan Kayu","Palet","Indonesian Waste Platform"
"Alat pancing","Pelampung dan Benda yang mengapung","Indonesian Waste Platform"
"Alat pancing","Umpan dan Tali Pancing","Indonesian Waste Platform"
"Barang lainnya","Lainnya","Indonesian Waste Platform"
"Barang lainnya","Bahan Uji","Indonesian Waste Platform"
"Plastik","Popok bayi","Indonesian Waste Platform"
"Plastik","Plastik Pembungkus Es","Indonesian Waste Platform"
"Plastik","Pita Karet","Indonesian Waste Platform"
"Plastik","Pembungkus / Kemasan untuk perlengkapan mandi hotel","Indonesian Waste Platform"
"Plastik","Korek kuping kapas","Indonesian Waste Platform"
"Logam","Alat suntik /jarum medis","Indonesian Waste Platform"
"Plastik","Kondom","Indonesian Waste Platform"
"Plastik","Mainan anak-anak","Indonesian Waste Platform"
"Logam","Paku / sekrup","Indonesian Waste Platform"
"Logam","Pisau cukur dan silet","Indonesian Waste Platform"
"Plastik","Spanduk","Indonesian Waste Platform"
"Logam","Peniti","Indonesian Waste Platform"
"Plastik","Terpal","Indonesian Waste Platform"
