"materials","items","organization"
"PLASTIC","Colillas de cigarrilos","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Envoltorios de comida","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Contenedores Desechables (Plástico)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Contenedores Desechables (poliestireno)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Tapas de botella (plástico)","Internacional Coastal Cleanup Lista en espanol"
"METAL","Tapas de botella (metal)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Tapas (plástico)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Pajilla / Agitadores","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Tenedores, cuchillos, cucharas","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Botellas de bebidas (Plástico)","Internacional Coastal Cleanup Lista en espanol"
"GLASS","Botellas de bebidas (Glass)","Internacional Coastal Cleanup Lista en espanol"
"METAL","Latas de bebidas","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Bolsas de mercado (Plástico)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Otras bolsas de plástico","Internacional Coastal Cleanup Lista en espanol"
"PAPER & LUMBER","Bolsas de papel","Internacional Coastal Cleanup Lista en espanol"
"PAPER & LUMBER","Tazas y platos (Papel)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Tazas y platos (plástico)","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Tazas y platos (espuma)","Internacional Coastal Cleanup Lista en espanol"
"FISHING GEAR","Boyas de pesca, Ollas y Trampas","Internacional Coastal Cleanup Lista en espanol"
"FISHING GEAR","Red de pesca y Piezas","Internacional Coastal Cleanup Lista en espanol"
"FISHING GEAR","Cuerda","Internacional Coastal Cleanup Lista en espanol"
"FISHING GEAR","Sedal","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Anillos de plastico para bebidas en lata","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Otros Empaques de Plástico / poliestireno","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Otras Botellas plásticas","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Bandas para sujetar","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Empaque/Envoltorio de tabaco","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Condones","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Pañales","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Jeringas","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Tampones / Aplicadores de Tampon","Internacional Coastal Cleanup Lista en espanol"
"OTHER ITEMS","Electrodomésticos","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Globos","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Puntas de Cigarros","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Encendedores","Internacional Coastal Cleanup Lista en espanol"
"OTHER ITEMS","Materiales de construcción","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Fuegos artificiales","Internacional Coastal Cleanup Lista en espanol"
"RUBBER","Llantas","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Piezas de poliestireno","Internacional Coastal Cleanup Lista en espanol"
"GLASS","Pedazos de cristal","Internacional Coastal Cleanup Lista en espanol"
"PLASTIC","Piezas de plástico","Internacional Coastal Cleanup Lista en espanol"
"OTHER ITEMS","Animal muerto o herido","Internacional Coastal Cleanup Lista en espanol"
"OTHER ITEMS","Otros","Internacional Coastal Cleanup Lista en espanol"
"OTHER ITEMS","Elemento de prueba","Internacional Coastal Cleanup Lista en espanol"
