"materials","items","organization"
" بلاستيك ","أكياس بلاستيكية ","Jordan Royal Marine Conservation Society "
" بلاستيك ","علب بلاستيكية ","Jordan Royal Marine Conservation Society "
" بلاستيك ","علب بلاستيكية أو أغطية بلاستيكية ","Jordan Royal Marine Conservation Society "
" بلاستيك ","اعقاب سجائر ","Jordan Royal Marine Conservation Society "
" بلاستيك ","بكيت سجائر ","Jordan Royal Marine Conservation Society "
" بلاستيك ","بالونات و/أو خيوط","Jordan Royal Marine Conservation Society "
" بلاستيك ","أكواب فلين او بلاستيك","Jordan Royal Marine Conservation Society "
" بلاستيك ","أغلفة طعام بلاستيكية","Jordan Royal Marine Conservation Society "
" بلاستيك ","أباريق أو حاويات بلاستيكية ","Jordan Royal Marine Conservation Society "
" بلاستيك ","منتجات العناية الشخصية ","Jordan Royal Marine Conservation Society "
" بلاستيك ","حبل بلاستيك / قطع شباك صيد صغيرة ","Jordan Royal Marine Conservation Society "
" بلاستيك ","أواني بلاستيكية","Jordan Royal Marine Conservation Society "
" بلاستيك ","حلقات حاملة للأكواب","Jordan Royal Marine Conservation Society "
" بلاستيك ","قشة / ماصة","Jordan Royal Marine Conservation Society "
" بلاستيك ","قطع بلاستيكية أو فلينية","Jordan Royal Marine Conservation Society "
" معدن   ","علب بخاخ","Jordan Royal Marine Conservation Society "
" معدن   ","علب ألومنيوم أو قصدير","Jordan Royal Marine Conservation Society "
" معدن   ","أغطية علب معدنية","Jordan Royal Marine Conservation Society "
"  زجاج   ","قارورة زجاجية ","Jordan Royal Marine Conservation Society "
"  زجاج   ","صحن زجاجي ","Jordan Royal Marine Conservation Society "
" مطاط   ","كفوف مطاطية ","Jordan Royal Marine Conservation Society "
" مطاط   ","أحذية بحر  ","Jordan Royal Marine Conservation Society "
" مطاط   ","إطارات","Jordan Royal Marine Conservation Society "
"ملابس","ملابس وأحذية ","Jordan Royal Marine Conservation Society "
"ملابس","قطع قماش","Jordan Royal Marine Conservation Society "
"ملابس","كفوف قماش أو صوف","Jordan Royal Marine Conservation Society "
"ملابس","مناشف أو بشاكير ","Jordan Royal Marine Conservation Society "
"ملابس","حبال أو قطع شباك صيد ليست نايلون","Jordan Royal Marine Conservation Society "
" ورق وكرتون ","حقائب ورقية ","Jordan Royal Marine Conservation Society "
" ورق وكرتون ","أغلفة أطعمة (ورق)","Jordan Royal Marine Conservation Society "
" ورق وكرتون ","ورق وكرتون ","Jordan Royal Marine Conservation Society "
" ورق وكرتون ","خشب / مواد بناء","Jordan Royal Marine Conservation Society "
" ورق وكرتون ","ألواح ","Jordan Royal Marine Conservation Society "
"أدوات صيد ","عوامات وطوافات","Jordan Royal Marine Conservation Society "
"أدوات صيد ","خيوط وطعم صيد أسماك","Jordan Royal Marine Conservation Society "
" أنواع أخرى ","أخرى ","Jordan Royal Marine Conservation Society "
" أنواع أخرى ","أدوات فحص ","Jordan Royal Marine Conservation Society "
