"materials","items","organization"
"COMMON LITTER","6-Pack Holders","Keep Tampa Bay Beautiful"
"COMMON LITTER","Aluminum Cans","Keep Tampa Bay Beautiful"
"COMMON LITTER","Bags (Paper)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Bags (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Balloons","Keep Tampa Bay Beautiful"
"COMMON LITTER","Batteries","Keep Tampa Bay Beautiful"
"COMMON LITTER","Bottle Caps (Metal)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Bottle Caps (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Bottle/Jars (Glass)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Bottles (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Cardboard","Keep Tampa Bay Beautiful"
"COMMON LITTER","Cigar Tips","Keep Tampa Bay Beautiful"
"COMMON LITTER","Cigarette Butts","Keep Tampa Bay Beautiful"
"COMMON LITTER","Lighters","Keep Tampa Bay Beautiful"
"COMMON LITTER","Containers (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Cups/Plates (Paper)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Cups/Plates (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Dental Flossers","Keep Tampa Bay Beautiful"
"COMMON LITTER","Fireworks","Keep Tampa Bay Beautiful"
"COMMON LITTER","Food Wrappers/Packaging","Keep Tampa Bay Beautiful"
"COMMON LITTER","Lids (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Pens/Pencils","Keep Tampa Bay Beautiful"
"COMMON LITTER","Utensils (Plastic)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Straws/Stirrers","Keep Tampa Bay Beautiful"
"COMMON LITTER","Styrofoam Cups/Plates/Packaging","Keep Tampa Bay Beautiful"
"FISHING GEAR","Buoys, Crab Pots & Traps","Keep Tampa Bay Beautiful"
"FISHING GEAR","Fishing Hooks","Keep Tampa Bay Beautiful"
"FISHING GEAR","Fishing Rubbertail Baits & Weights","Keep Tampa Bay Beautiful"
"FISHING GEAR","Fishing Line","Keep Tampa Bay Beautiful"
"FISHING GEAR","Fishing Nets","Keep Tampa Bay Beautiful"
"FISHING GEAR","Rope","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Appliances","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Clothes/Shoes","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Contraceptives","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Construction Materials","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Diapers","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Drug Paraphanalia/Syringes","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Feminine Hygene Items","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Furniture","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Small Electronic Items","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Tires","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Wood Fragments","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Toys","Keep Tampa Bay Beautiful"
"OTHER ITEMS","Miscellaneous Items","Keep Tampa Bay Beautiful"
"PREVENTION","Cigaerette Receptacle(s)","Keep Tampa Bay Beautiful"
"PREVENTION","Monofilament Tube(s)","Keep Tampa Bay Beautiful"
"PREVENTION","Recycle Receptacle(s)","Keep Tampa Bay Beautiful"
"PREVENTION","Trash Receptacle(s)","Keep Tampa Bay Beautiful"
"PREVENTION","Storm Drain Marker(s)","Keep Tampa Bay Beautiful"
"COMMON LITTER","Test Item","Keep Tampa Bay Beautiful"
"COMMON LITTER","Gasparilla Beads","Keep Tampa Bay Beautiful"
