"materials","items","organization"
"PLASTIC MATERIALS","Bags: Grocery/Retail (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Bags: Trash (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Bait Containers/Packaging","Let's Do It World"
"PLASTIC MATERIALS","Balloons","Let's Do It World"
"PLASTIC MATERIALS","Balls","Let's Do It World"
"PLASTIC MATERIALS","Baskets, Crates","Let's Do It World"
"PLASTIC MATERIALS","Beverage Bottles: Less than 2 litres","Let's Do It World"
"PLASTIC MATERIALS","Beverage Bottles: 2 Litres or more","Let's Do It World"
"PLASTIC MATERIALS","Bottles: Bleach, Cleaner","Let's Do It World"
"PLASTIC MATERIALS","Bottles: Oil/Lube","Let's Do It World"
"PLASTIC MATERIALS","Buckets, Drums, & Jerry Cans","Let's Do It World"
"PLASTIC MATERIALS","Buoys & Floats (plastic & foamed)","Let's Do It World"
"PLASTIC MATERIALS","Caps & Lids (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Carpet (synthetic)","Let's Do It World"
"PLASTIC MATERIALS","Cigarette Filters","Let's Do It World"
"PLASTIC MATERIALS","Cigarette Lighters","Let's Do It World"
"PLASTIC MATERIALS","Cigar Tips","Let's Do It World"
"PLASTIC MATERIALS","Containers: Fast Food, Lunch Boxes","Let's Do It World"
"PLASTIC MATERIALS","Cotton Bud Sticks","Let's Do It World"
"PLASTIC MATERIALS","Cups, Plastes, Forks, Knives, Spoons","Let's Do It World"
"PLASTIC MATERIALS","Diapers/Nappies","Let's Do It World"
"PLASTIC MATERIALS","Fishing: Line","Let's Do It World"
"PLASTIC MATERIALS","Fishing: Lures, Rods/Poles","Let's Do It World"
"PLASTIC MATERIALS","Fishing: Nets & Pieces of Nets","Let's Do It World"
"PLASTIC MATERIALS","Fishing: Traps & Pots","Let's Do It World"
"PLASTIC MATERIALS","Fishing: Nets & Pieces of Nets","Let's Do It World"
"PLASTIC MATERIALS","Fising: Traps & Pots","Let's Do It World"
"PLASTIC MATERIALS","Foam Insulation & Packaging","Let's Do It World"
"PLASTIC MATERIALS","Food Wrappers (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Furnishings (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Gloves (latex)","Let's Do It World"
"PLASTIC MATERIALS","Light Sticks/Cyalumes","Let's Do It World"
"PLASTIC MATERIALS","Mesh Bags","Let's Do It World"
"PLASTIC MATERIALS","Pipes (plastic/PVC)","Let's Do It World"
"PLASTIC MATERIALS","Rope (plastic/nylon)","Let's Do It World"
"PLASTIC MATERIALS","Scuba & Snorkel Gear","Let's Do It World"
"PLASTIC MATERIALS","Sheeting","Let's Do It World"
"PLASTIC MATERIALS","Six-Pack Rings, Ring Carriers","Let's Do It World"
"PLASTIC MATERIALS","Strapping Bands (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Straws, Stirrers","Let's Do It World"
"PLASTIC MATERIALS","Syringes (plastic)","Let's Do It World"
"PLASTIC MATERIALS","Tampon Applicators","Let's Do It World"
"PLASTIC MATERIALS","Tobacco Packaging & Wrappers","Let's Do It World"
"PLASTIC MATERIALS","Toothbrushes","Let's Do It World"
"PLASTIC MATERIALS","Plastic Fragments","Let's Do It World"
"PLASTIC MATERIALS","Other Plastic","Let's Do It World"
"GLASS & CERAMIC","Beverage Bottles (glass)","Let's Do It World"
"GLASS & CERAMIC","Buoys (glass)","Let's Do It World"
"GLASS & CERAMIC","Cups, Plates, Tableware, Dishes","Let's Do It World"
"GLASS & CERAMIC","Fluorescent Light Tubes","Let's Do It World"
"GLASS & CERAMIC","Jars: Food (glass)","Let's Do It World"
"GLASS & CERAMIC","Light Globes: Bulbs, etc.","Let's Do It World"
"GLASS & CERAMIC","Syringes (glass)","Let's Do It World"
"GLASS & CERAMIC","Glass & Ceramic Fragments","Let's Do It World"
"GLASS & CERAMIC","Other Glass","Let's Do It World"
