Items,Material
4/6 pack yokes,plastic
bags (including supermarket),plastic
"bottles, container and drums",plastic
drinks,plastic
"food (e.g. pots, tubs, sachets)",plastic
foreign,plastic
oil,plastic
toiletries,plastic
caps/lids,plastic
cigarette lighters/tobacco pouches,plastic
combs/hairbrushes/sunglasses,plastic
crisp/sweet/lolly/sandwich wrappers,plastic
cutlery/trays/straws/cups,plastic
fish boxes,plastic
fishing line (anglers),plastic
fishing net and net pieces <50 cm,plastic
fishing net and net pieces >50 cm,plastic
floats (fishing buoys)/reels,plastic
industrial packaging/crates/sheeting,plastic
lobster/crab pots & tops,plastic
mesh bags (e.g. vegetable),plastic
pens,plastic
rope diameter >1 cm,plastic
string and cord diameter <1cm,plastic
shoes/sandals,plastic
shotgun cartridges,plastic
strapping bands,plastic
toys/party poppers/ fireworks/dummies,plastic
traffic cones,plastic
plastic pieces <2.5 cm,plastic
plastic pieces >2.5 cm,plastic
other (specify),plastic
buoys,polystyrene
fast food containers/cups,polystyrene
foam/sponge/insulation,polystyrene
packaging,polystyrene
polystyrene pieces <50 cm,polystyrene
other (specify),polystyrene
balloons/balloon string,rubber
boots,rubber
gloves (heavy duty),rubber
gloves (light weight),rubber
rubber pieces <50 cm,rubber
tyres without holes/wheels,rubber
tyres with holes,rubber
other (specify),rubber
cloth pieces,cloth
clothing/shoes/beach towels,cloth
furnishings,cloth
sacking,cloth
other (specify),cloth
aerosol cans,metal
BBQ's (disposable),metal
bottle caps,metal
car parts/car batteries,metal
drink cans,metal
fishing weights/hooks/lures,metal
foil wrappers,metal
food cans,metal
lobster/crab pots &tops,metal
oil drums,metal
scrap/metal appliances/paint tins,metal
household batteries,metal
wire/wire mesh/metal pieces,metal
other (specify),metal
inhaler,medical
plasters,medical
syringes,medical
other (specify),medical
condoms,sanitary
cotton bud sticks,sanitary
nappies,sanitary
tampon applicators/tampons,sanitary
toilet fresheners,sanitary
towels/panty liners/backing strips,sanitary
wet wipes,sanitary
other (specify),sanitary
in bags,animal faeces
not in bags,animal faeces
bags,paper
cardboard,paper
carton/purepack (e.g. milk),paper
carton/tetrapack. (e.g. fruit juice),paper
cigarette packets,paper
cigarette stubs,paper
cups,paper
newspapers/magazines,paper
other (specify),paper
corks,wood
lobster/crab pots & tops,wood
pallets/crates,wood
ice lolly sticks/chip forks,wood
paint brushes,wood
wood pieces (not twigs etc.),wood
other (specify),wood
"bottles, container and drums",glass
light bulbs/tubes,glass
glass pieces,glass
any pottery or ceramic,pottery/ceramic
