"materials","items","organization"
"METAL","Aerosol cans","Marine Debris Items"
"METAL","Aluminum or tin cans","Marine Debris Items"
"PAPER & LUMBER","Paper Bags","Marine Debris Items"
"PLASTIC","Plastic Bags","Marine Debris Items"
"PLASTIC","Balloons - Mylar","Marine Debris Items"
"PLASTIC","Beverage Bottles","Marine Debris Items"
"GLASS","Glass Bottle","Marine Debris Items"
"PLASTIC","Bottle or Container Caps","Marine Debris Items"
"METAL","Metal Bottle Caps","Marine Debris Items"
"PAPER & LUMBER","Lumber/Building Materials","Marine Debris Items"
"FISHING GEAR","Buoys and floats","Marine Debris Items"
"PLASTIC","Disposable cigarette lighters","Marine Debris Items"
"PLASTIC","Cigarette or tobacco packaging","Marine Debris Items"
"PLASTIC","Cigarettes","Marine Debris Items"
"CLOTH","Clothing and Shoes","Marine Debris Items"
"PLASTIC","Foam or Plastic Cups","Marine Debris Items"
"PAPER & LUMBER","Paper Cups","Marine Debris Items"
"CLOTH","Fabric pieces","Marine Debris Items"
"FISHING GEAR","Fishing lures and lines","Marine Debris Items"
"RUBBER","Flip-flops","Marine Debris Items"
"PAPER & LUMBER","Food wrappers (paper)","Marine Debris Items"
"PLASTIC","Food Wrappers","Marine Debris Items"
"RUBBER","Rubber Gloves","Marine Debris Items"
"CLOTH","Gloves (non-rubber)","Marine Debris Items"
"GLASS","Glass Jars","Marine Debris Items"
"PLASTIC","Other Jugs or Containers","Marine Debris Items"
"PAPER & LUMBER","Paper and Cardboard","Marine Debris Items"
"PLASTIC","Personal care products","Marine Debris Items"
"PLASTIC","Plastic or Foam Fragments","Marine Debris Items"
"FISHING GEAR","Plastic rope / Small Net Pieces","Marine Debris Items"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Marine Debris Items"
"PLASTIC","Plastic Utensils","Marine Debris Items"
"PLASTIC","Six-pack rings","Marine Debris Items"
"PLASTIC","Straws","Marine Debris Items"
"PLASTIC","Styrofoam packaging","Marine Debris Items"
"RUBBER","Tires","Marine Debris Items"
"CLOTH","Towels or rags","Marine Debris Items"
"PLASTIC","Toys (plastic)","Marine Debris Items"
"OTHER ITEMS","Other","Marine Debris Items"
"METAL","Batteries (acidic and alkaline)","Marine Debris Items"
"PLASTIC","Chemicals and chemical containers","Marine Debris Items"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Marine Debris Items"
"PLASTIC","Fireworks","Marine Debris Items"
"FISHING GEAR","Fishing nets","Marine Debris Items"
"PLASTIC","Non-food related plastic packaging","Marine Debris Items"
"PAPER & LUMBER","Pallets","Marine Debris Items"
"OTHER ITEMS","Test Item","Marine Debris Items"
"PLASTIC","Cigar Tips","Marine Debris Items"
"PLASTIC","Hard plastic fragments","Marine Debris Items"
"PLASTIC","Foam fragments","Marine Debris Items"
"PLASTIC","Film fragments","Marine Debris Items"
"METAL","Metal fragments","Marine Debris Items"
"GLASS","Glass fragments","Marine Debris Items"
"RUBBER","Latex balloons","Marine Debris Items"
"RUBBER","Rubber fragments","Marine Debris Items"
