"materials","items","organization"
"GENERAL","Gloves (plastic)","Marine Debris List"
"GENERAL","Gloves (textile)","Marine Debris List"
"GENERAL","FloatsBuoys (plastic)","Marine Debris List"
"GENERAL","FloatsBuoys (styrofoam)","Marine Debris List"
"GENERAL","FloatsBuoys (metal)","Marine Debris List"
"GENERAL","Rope < 1 meter","Marine Debris List"
"GENERAL","Rope > 1 meter","Marine Debris List"
"GENERAL","Bait ContainersPackaging (plastic)","Marine Debris List"
"GENERAL","Bait ContainersPackaging (styrofoam)","Marine Debris List"
"GENERAL","CrabLobsterFish Traps(metal)","Marine Debris List"
"GENERAL","CrabLobsterFish Traps(plastic)","Marine Debris List"
"GENERAL","temp","Marine Debris List"
"GENERAL","temp","Marine Debris List"
"GENERAL","temp","Marine Debris List"
