"materials","items","organization"
"PLASTIC","0 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 100 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 1,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 5,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 10,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 20,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 50,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 100,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 150,000 Microplastic Pieces","Microplastics"
"PLASTIC","Less than 200,000 Microplastic Pieces","Microplastics"
"PLASTIC","200,000 or more Microplastic Pieces","Microplastics"
"PLASTIC","Unknown number of Microplastic Pieces","Microplastics"
"OTHER ITEMS","Test Item","Microplastics"
"OTHER ITEMS","Start Microplastic Sampling","Microplastics"
"OTHER ITEMS","Microplastic Sampling Track","Microplastics"
"OTHER ITEMS","End of Micoplastic Sampling","Microplastics"
