"materials","items","organization"
"FOOD PLASTIC","Retail Bag","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Take-Out Food Bag","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Plastic String","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Plastic Bottle","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Plastic Bottle Cap","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Plastic Food Wrapper","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Juicebox/Coated Paperboard","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Foam or Plastic Cups/Lids","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Styrofoam Container","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","To Go Ware (Multimaterial)","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Street Food Bowl","Nat Geo Source to Sea Expedition List"
"FOOD PLASTIC","Straws","Nat Geo Source to Sea Expedition List"
"PERSONAL CARE","Personal Care Product Sachets","Nat Geo Source to Sea Expedition List"
"PERSONAL CARE","Cotton Buds","Nat Geo Source to Sea Expedition List"
"PERSONAL CARE","Toothbrushes","Nat Geo Source to Sea Expedition List"
"PERSONAL CARE","Personal Care Product Tube","Nat Geo Source to Sea Expedition List"
"PERSONAL CARE","Blister pack","Nat Geo Source to Sea Expedition List"
"TOBACCO PRODUCTS","Cigarette Lighters & Packaging","Nat Geo Source to Sea Expedition List"
"TOBACCO PRODUCTS","Tobacco Sachets","Nat Geo Source to Sea Expedition List"
"TOBACCO PRODUCTS","Cigaerettes","Nat Geo Source to Sea Expedition List"
"OTHER PLASTIC","HDPE Container (Shampoo bottles, Milk Jugs, etc.)","Nat Geo Source to Sea Expedition List"
"OTHER PLASTIC","Plastic Shoes & Flip Flops","Nat Geo Source to Sea Expedition List"
"OTHER PLASTIC","Tires","Nat Geo Source to Sea Expedition List"
"OTHER PLASTIC","Bulk Bags","Nat Geo Source to Sea Expedition List"
"OTHER PLASTIC","Rubber Bands","Nat Geo Source to Sea Expedition List"
"OTHER PLASTIC","Other Plastic","Nat Geo Source to Sea Expedition List"
"PLASTIC FRAGMENTS","Industrial Plastic Pellets","Nat Geo Source to Sea Expedition List"
"PLASTIC FRAGMENTS","Sheetlike User Plastics","Nat Geo Source to Sea Expedition List"
"PLASTIC FRAGMENTS","Threadlike User Plastics","Nat Geo Source to Sea Expedition List"
"PLASTIC FRAGMENTS","Foamed User Plastics ","Nat Geo Source to Sea Expedition List"
"PLASTIC FRAGMENTS","Hard Plastic Fragments","Nat Geo Source to Sea Expedition List"
"PLASTIC FRAGMENTS","Other Fragments","Nat Geo Source to Sea Expedition List"
"METAL","Alumnium or Tin Cans","Nat Geo Source to Sea Expedition List"
"METAL","Metal Bottle Caps","Nat Geo Source to Sea Expedition List"
"METAL","Alumninum Foil","Nat Geo Source to Sea Expedition List"
"METAL","Other Metal","Nat Geo Source to Sea Expedition List"
"GLASS","Glass Bottle","Nat Geo Source to Sea Expedition List"
"GLASS","Glass Fragments","Nat Geo Source to Sea Expedition List"
"GLASS","Other Glass","Nat Geo Source to Sea Expedition List"
"CLOTH","Clothing","Nat Geo Source to Sea Expedition List"
"CLOTH","Fabric Pieces","Nat Geo Source to Sea Expedition List"
"CLOTH","Towels or Rags","Nat Geo Source to Sea Expedition List"
"CLOTH","Other Cloth","Nat Geo Source to Sea Expedition List"
"PAPER","Paper Bags","Nat Geo Source to Sea Expedition List"
"PAPER","Paper Food Box","Nat Geo Source to Sea Expedition List"
"PAPER","Corregated Cardboard","Nat Geo Source to Sea Expedition List"
"PAPER","Receipts","Nat Geo Source to Sea Expedition List"
"PAPER","Paper","Nat Geo Source to Sea Expedition List"
"PAPER","Other Paper","Nat Geo Source to Sea Expedition List"
"C&D MATERIALS","Lumber","Nat Geo Source to Sea Expedition List"
"C&D MATERIALS","Building Materials","Nat Geo Source to Sea Expedition List"
"C&D MATERIALS","Aggregate & Brick","Nat Geo Source to Sea Expedition List"
"C&D MATERIALS","Bolts, Nails, and Screws","Nat Geo Source to Sea Expedition List"
"C&D MATERIALS","Other C&D","Nat Geo Source to Sea Expedition List"
"FISHING GEAR","Buoys and Floats","Nat Geo Source to Sea Expedition List"
"FISHING GEAR","Plastic Rope","Nat Geo Source to Sea Expedition List"
"FISHING GEAR","Fishing Lures","Nat Geo Source to Sea Expedition List"
"FISHING GEAR","Fishing Line","Nat Geo Source to Sea Expedition List"
"FISHING GEAR","Plastic Net or Net Pieces","Nat Geo Source to Sea Expedition List"
"FISHING GEAR","Other Fishing Gear","Nat Geo Source to Sea Expedition List"
"E-WASTE","Batteries","Nat Geo Source to Sea Expedition List"
"E-WASTE","E-Waste Fragments","Nat Geo Source to Sea Expedition List"
"E-WASTE","Other E-Waste","Nat Geo Source to Sea Expedition List"
"ORGANICS","Food Waste","Nat Geo Source to Sea Expedition List"
"ORGANICS","Other Organic Waste","Nat Geo Source to Sea Expedition List"
"DUMP SITE","Waste Pile","Nat Geo Source to Sea Expedition List"
