"materials","items","organization"
"MOST LIKELY TO FIND","Cigarrette Butts","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Food Wrappers","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Take Out/Away Containers (Plastic)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Take Out/Away Containers (Foam)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Bottle Caps (Plastic)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Bottle Caps (Metal)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Lids (Plastic)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Straws/Stirrers","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Forks, Knives, Spoons","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Beverage Bottles (Plastic)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Beverage Bottles (Glass)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Beverage Cans","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Grocery Bags (Plastic)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Other Plastic Bags","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Paper Bags","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Cups & Plates (Paper)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Cups & Plates (Plastic)","Ocean Conservancy ICC List"
"MOST LIKELY TO FIND","Cups & Plates (Foam)","Ocean Conservancy ICC List"
"FISHING GEAR","Fishing Buoys, Pots & Traps","Ocean Conservancy ICC List"
"FISHING GEAR","Fishing Net & Pieces","Ocean Conservancy ICC List"
"FISHING GEAR","Fishing Line","Ocean Conservancy ICC List"
"FISHING GEAR","Rope","Ocean Conservancy ICC List"
"PACKAGING MATERIALS","6-Pack Holders","Ocean Conservancy ICC List"
"PACKAGING MATERIALS","Other Plastic/Foam Packaging","Ocean Conservancy ICC List"
"PACKAGING MATERIALS","Other Plastic Bottles","Ocean Conservancy ICC List"
"PACKAGING MATERIALS","Strapping Bands","Ocean Conservancy ICC List"
"PACKAGING MATERIALS","Tobacco Packaging/Wrap","Ocean Conservancy ICC List"
"PERSONAL HYGIENE","Condoms","Ocean Conservancy ICC List"
"PERSONAL HYGIENE","Diapers","Ocean Conservancy ICC List"
"PERSONAL HYGIENE","Syringes","Ocean Conservancy ICC List"
"PERSONAL HYGIENE","Tampons/Tampon Applicators","Ocean Conservancy ICC List"
"OTHER TRASH","Appliances","Ocean Conservancy ICC List"
"OTHER TRASH","Balloons","Ocean Conservancy ICC List"
"OTHER TRASH","Cigar Tips","Ocean Conservancy ICC List"
"OTHER TRASH","Cigarette Lighters","Ocean Conservancy ICC List"
"OTHER TRASH","Construction Materials","Ocean Conservancy ICC List"
"OTHER TRASH","Fireworks","Ocean Conservancy ICC List"
"OTHER TRASH","Tires","Ocean Conservancy ICC List"
"TINY TRASH < 2.5 CM","Foam Pieces","Ocean Conservancy ICC List"
"TINY TRASH < 2.5 CM","Glass Pieces","Ocean Conservancy ICC List"
"TINY TRASH < 2.5 CM","Plastic Pieces","Ocean Conservancy ICC List"
"OTHER ITEMS","Dead or Injured Animal","Ocean Conservancy ICC List"
"OTHER ITEMS","Other","Ocean Conservancy ICC List"
"OTHER ITEMS","Test Item","Ocean Conservancy ICC List"
"TINY TRASH < 2.5 CM","Foam Pieces","Ocean Conservancy ICC List"
"TINY TRASH < 2.5 CM","Glass Pieces","Ocean Conservancy ICC List"
"TINY TRASH < 2.5 CM","Plastic Pieces","Ocean Conservancy ICC List"
"OTHER ITEMS","Clothing","Ocean Conservancy ICC List"
"OTHER ITEMS","Shoes","Ocean Conservancy ICC List"
"OTHER ITEMS","Towels","Ocean Conservancy ICC List"
"OTHER ITEMS","Toys","Ocean Conservancy ICC List"
