Items,Materials,Unclassifiable
cigarette butts,,adidas
lighters,,amazon
cigarette box,,aldi
tobacco pouch,,apple
papers filters,,applegreen
plastic smoking pk,,asahi
filters,,avoca
filter box,,ballygowan
smoking other,,bewleys
sweet wrappers,,brambles
cardboard food packaging,,bulmers
paper food packaging,,budweiser
plastic food packaging,,burgerking
plastic cutlery,,butlers
crisp small,,cadburys
crisp large,,café nero
styrofoam plate,,camel
napkins,,carlsberg
sauce packet,,centra
glass jar,,coke
glass jar lid,,circle k
food other,,coles
coffee cups,,colgate
coffee lids,,corona
coffee other,,costa
beer can,,doritos
beer bottle,,drpepper
spirit bottle,,dunnes
wine bottle,,duracell
broken glass,,durex
paper card alcohol packaging,,esquires
paper alcohol packaging,,frank and honest
bottle tops,,fritolay
alcohol other,,gatorade
plastic water bottle,,gillette
fizzy drink bottle,,guinness
bottle lid,,haribo
bottle label,,heineken
tin can,,insomnia
sports drink,,kellogs
staws,,kfc
plastic cups,,lidl
plastic cup tops,,lindenvillage
milk bottle,,lolly and cookes
milk carton,,loreal
paper cups,,lucozade
juice cartons,,nero
juice bottles,,nescafe
juice packet,,nestle
ice tea bottles,,marlboro
ice tea can,,mars
energy can,,mcdonalds
soft drink other,,nike
condoms,,obriens
mental,,pepsi
deoderant,,powerade
ear swabs,,redbull
tooth pick,,ribena
tooth brush,,samsung
sanitary other,,sainsburys
dog shit,,spar
random dump,,subway
no id plastic,,supermacs
metal object,,supervalu
plastic bags,,starbucks
election posters,,tayto
forsale posters,,tesco
books,,thins
magazines,,volvic
paper,,waitrose
stationary,,walkers
washing up,,woolworths
hair tie,,wilde and greene
ear plugs,,wrigleys
batteries,,coastal other
elec small,,lego
elec large,,
other unknown,,
microplastic,,
medium plastics,,
macroplastics,,
rope small,,
rope medium,,
rope large,,
fishing gear nets,,
buoys,,
degraded plastic bottle,,
degraded plastic bag,,
degraded straws,,
degraded lighters,,
balloons,,
shotgun cartridges,,
