"materials","items","organization"
"OTHER ITEMS","Food and beverage packaging","Our Ocean Youth Summit"
"OTHER ITEMS","Smoking-related items","Our Ocean Youth Summit"
"OTHER ITEMS","Sewage related debris","Our Ocean Youth Summit"
"OTHER ITEMS","Fisheries and mariculture tackles","Our Ocean Youth Summit"
"OTHER ITEMS","common household items","Our Ocean Youth Summit"
"OTHER ITEMS","Recreational fishing and hunting","Our Ocean Youth Summit"
"OTHER ITEMS","Industrial packaging and construction debris","Our Ocean Youth Summit"
"OTHER ITEMS","Agricultural tarpaulin and packaging","Our Ocean Youth Summit"
"OTHER ITEMS","Other identifiable items ","Our Ocean Youth Summit"
"OTHER ITEMS","Unknown items","Our Ocean Youth Summit"
"OTHER ITEMS","Test item","Our Ocean Youth Summit"
