"materials","items","organization"
"PLASTIC","Plastic bags","Rozalia Project Long List"
"PAPER & LUMBER","Paper bags","Rozalia Project Long List"
"GLASS","Glass bottles","Rozalia Project Long List"
"METAL","Cans","Rozalia Project Long List"
"PLASTIC","Plastic drink bottles","Rozalia Project Long List"
"PLASTIC","Straws/stirrers","Rozalia Project Long List"
"PLASTIC","Utensils","Rozalia Project Long List"
"PLASTIC","Food wrappers","Rozalia Project Long List"
"PLASTIC","Plastic cups/plates","Rozalia Project Long List"
"PLASTIC","Foam cups/plates","Rozalia Project Long List"
"PLASTIC","Plastic take-away containers","Rozalia Project Long List"
"PLASTIC","Foam take-away containers","Rozalia Project Long List"
"PAPER & LUMBER","Paper cups/plates","Rozalia Project Long List"
"PLASTIC","Plastic bottle caps","Rozalia Project Long List"
"PLASTIC","Plastic lids: coffee, jars, etc.","Rozalia Project Long List"
"METAL","Metal caps/lids","Rozalia Project Long List"
"PLASTIC","Cigarrettes","Rozalia Project Long List"
"PLASTIC","Cigar tips","Rozalia Project Long List"
"PLASTIC","Shotgun shells/wadding","Rozalia Project Long List"
"PAPER & LUMBER","Paper/tissue/napkin","Rozalia Project Long List"
"PLASTIC","Personal hygiene","Rozalia Project Long List"
"PLASTIC","Lighters","Rozalia Project Long List"
"CLOTH","Shoes","Rozalia Project Long List"
"PLASTIC","Toys","Rozalia Project Long List"
"PLASTIC","Sunglasses","Rozalia Project Long List"
"METAL","Batteries","Rozalia Project Long List"
"PLASTIC","Condoms","Rozalia Project Long List"
"PLASTIC","Balloons","Rozalia Project Long List"
"PLASTIC","Diapers","Rozalia Project Long List"
"CLOTH","Clothing/towel/gloves","Rozalia Project Long List"
"PLASTIC","Tampons/applicators","Rozalia Project Long List"
"FISHING GEAR","Bait containers/crates","Rozalia Project Long List"
"FISHING GEAR","Fishing nets","Rozalia Project Long List"
"FISHING GEAR","Derelict traps/trap pieces","Rozalia Project Long List"
"FISHING GEAR","Monofilament net/fiber up to 5mm","Rozalia Project Long List"
"FISHING GEAR","Monofilament net/fiber 5-30mm","Rozalia Project Long List"
"FISHING GEAR","Monofilament net larger than 30mm","Rozalia Project Long List"
"FISHING GEAR","Fishing lures/light sticks","Rozalia Project Long List"
"FISHING GEAR","Buoys/floats","Rozalia Project Long List"
"FISHING GEAR","Rope","Rozalia Project Long List"
"FISHING GEAR","Lobster claw bands","Rozalia Project Long List"
"OTHER ITEMS","Home and garden items","Rozalia Project Long List"
"PAPER & LUMBER","Shipping/packaging","Rozalia Project Long List"
"PLASTIC","Bleach/cleaner bottles","Rozalia Project Long List"
"OTHER ITEMS","Car/boat parts","Rozalia Project Long List"
"PLASTIC","Oil/lube bottles","Rozalia Project Long List"
"PLASTIC","Shipping/packaging","Rozalia Project Long List"
"PLASTIC","Plastic sheeting/tape","Rozalia Project Long List"
"PLASTIC","Office supplies, pens, etc.","Rozalia Project Long List"
"PLASTIC","Strapping bands/zip ties","Rozalia Project Long List"
"PLASTIC","Wipes/oil sorbs","Rozalia Project Long List"
"PLASTIC","Microplastic up to 5mm","Rozalia Project Long List"
"PLASTIC","Micro-foam up to 5mm","Rozalia Project Long List"
"PLASTIC","Small plastic 5-30mm","Rozalia Project Long List"
"PLASTIC","Small foam 5-30mm","Rozalia Project Long List"
"PLASTIC","Large plastic larger than 30mm","Rozalia Project Long List"
"PLASTIC","Large foam larger than 30mm","Rozalia Project Long List"
"METAL","Metal pieces","Rozalia Project Long List"
"RUBBER","Tires","Rozalia Project Long List"
"CLOTH","Fabric pieces","Rozalia Project Long List"
"GLASS","Glass pieces","Rozalia Project Long List"
"PLASTIC","Microplastic: resin pellets","Rozalia Project Long List"
"PLASTIC","Microplastic: exfoliant beads","Rozalia Project Long List"
"OTHER ITEMS","Other","Rozalia Project Long List"
"OTHER ITEMS","Test item","Rozalia Project Long List"
"CLEANUP SITE DATA","Type of cleanup","Rozalia Project Long List"
"CLEANUP SITE DATA","Location cleaned","Rozalia Project Long List"
"CLEANUP SITE DATA","Type of shoreline","Rozalia Project Long List"
"CLEANUP SITE DATA","Distance cleaned","Rozalia Project Long List"
"CLEANUP SITE DATA","Weather","Rozalia Project Long List"
"CLEANUP SITE DATA","Start time","Rozalia Project Long List"
"CLEANUP SITE DATA","End time","Rozalia Project Long List"
"CLEANUP SITE DATA","Recent weather or human events","Rozalia Project Long List"
"CLEANUP SITE DATA","Most unusual item","Rozalia Project Long List"
"CLEANUP SITE DATA","Your name","Rozalia Project Long List"
"RUBBER","Rubber pieces","Rozalia Project Long List"
