"materials","items","organization"
"PLASTIC","Plastic bags","Rozalia Project Short List"
"PAPER & LUMBER","Paper bags","Rozalia Project Short List"
"GLASS","Glass bottles","Rozalia Project Short List"
"METAL","Cans","Rozalia Project Short List"
"PLASTIC","Plastic drink bottles","Rozalia Project Short List"
"PLASTIC","Straws/stirrers","Rozalia Project Short List"
"PLASTIC","Utensils","Rozalia Project Short List"
"PLASTIC","Food wrappers","Rozalia Project Short List"
"PLASTIC","Plastic cups/plastes/containers","Rozalia Project Short List"
"PLASTIC","Foam cups/plates/containers","Rozalia Project Short List"
"PLASTIC","Plastic bottle caps","Rozalia Project Short List"
"PLASTIC","Plastic lids (coffee, jars +)","Rozalia Project Short List"
"PAPER & LUMBER","Paper cups/plates/containers","Rozalia Project Short List"
"METAL","Metal caps/lids","Rozalia Project Short List"
"PLASTIC","Cigarettes/cigar tips","Rozalia Project Short List"
"PAPER & LUMBER","Paper/napkins/tissues","Rozalia Project Short List"
"PLASTIC","Shotgun shells/wadding","Rozalia Project Short List"
"CLOTH","Clothing/towels/gloves/shoes","Rozalia Project Short List"
"PLASTIC","Personal hygiene","Rozalia Project Short List"
"PLASTIC","Toys","Rozalia Project Short List"
"PLASTIC","Balloons","Rozalia Project Short List"
"FISHING GEAR","Bait containers/crates/lures","Rozalia Project Short List"
"FISHING GEAR","Fishing nets","Rozalia Project Short List"
"FISHING GEAR","Derelict traps/trap pieces","Rozalia Project Short List"
"FISHING GEAR","Monofilament/fishing line","Rozalia Project Short List"
"FISHING GEAR","Buoys/floats","Rozalia Project Short List"
"FISHING GEAR","Rope","Rozalia Project Short List"
"PAPER & LUMBER","Shipping/packaging","Rozalia Project Short List"
"OTHER ITEMS","Home and garden items","Rozalia Project Short List"
"PLASTIC","Bleach/cleaner/oil bottles","Rozalia Project Short List"
"PLASTIC","Shipping/packaging","Rozalia Project Short List"
"OTHER ITEMS","Car/boat parts","Rozalia Project Short List"
"PLASTIC","Plastic sheeting/tape","Rozalia Project Short List"
"PLASTIC","Office supplies, pens, etc.","Rozalia Project Short List"
"PLASTIC","Strapping bands/zip-ties","Rozalia Project Short List"
"PLASTIC","Wipes/oil sorbs","Rozalia Project Short List"
"PLASTIC","Plastic pieces","Rozalia Project Short List"
"PLASTIC","Foam pieces","Rozalia Project Short List"
"METAL","Metal pieces","Rozalia Project Short List"
"RUBBER","Rubber pieces","Rozalia Project Short List"
"CLOTH","Fabric pieces","Rozalia Project Short List"
"GLASS","Glass pieces","Rozalia Project Short List"
"OTHER ITEMS","Other","Rozalia Project Short List"
"OTHER ITEMS","Test item","Rozalia Project Short List"
"CLEANUP SITE DATA","Type of cleanup","Rozalia Project Short List"
"CLEANUP SITE DATA","Name of location cleaned","Rozalia Project Short List"
"CLEANUP SITE DATA","Type of shoreline","Rozalia Project Short List"
"CLEANUP SITE DATA","Distance cleaned","Rozalia Project Short List"
"CLEANUP SITE DATA","Weather","Rozalia Project Short List"
"CLEANUP SITE DATA","Start time","Rozalia Project Short List"
"CLEANUP SITE DATA","End time","Rozalia Project Short List"
"CLEANUP SITE DATA","State of the tide","Rozalia Project Short List"
"CLEANUP SITE DATA","Recent weather or human events","Rozalia Project Short List"
"CLEANUP SITE DATA","Most unusual item","Rozalia Project Short List"
"CLEANUP SITE DATA","Your name","Rozalia Project Short List"
"CLEANUP SITE DATA","Other notes","Rozalia Project Short List"
