"materials","items","organization"
"Пластик","Пластиковые пакеты","Russian Waste Hub"
"Пластик","Пластиковые бутылки от напитков","Russian Waste Hub"
"Пластик","Пластиковые крышки от бутылок или контейнеров","Russian Waste Hub"
"Пластик","Сигареты","Russian Waste Hub"
"Пластик","Упаковки от сигарет","Russian Waste Hub"
"Пластик","Воздушные шарики и/или лента от них","Russian Waste Hub"
"Пластик","Пластиковые стаканы","Russian Waste Hub"
"Пластик","Пластиковые крышки от стаканов","Russian Waste Hub"
"Пластик","Стаканы и посуда из вспененного пластика","Russian Waste Hub"
"Пластик","Прозрачная пищевая пленка ","Russian Waste Hub"
"Пластик","Пластиковая пищевая упаковка","Russian Waste Hub"
"Пластик","Пластиковые канистры и другая тара","Russian Waste Hub"
"Пластик","Средства личной гигиены и тара от них","Russian Waste Hub"
"Пластик","Нейлоновые веревки/Мелкие куски сетей (нейлон)","Russian Waste Hub"
"Пластик","Пластиковая посуда ","Russian Waste Hub"
"Пластик","Одноразовые пластиковые приборы","Russian Waste Hub"
"Пластик","Упаковки-кольца от блока банок","Russian Waste Hub"
"Пластик","Трубочки","Russian Waste Hub"
"Пластик","Куски пластика/вспененного пластика","Russian Waste Hub"
"Пластик","Зажигалки","Russian Waste Hub"
"Пластик","Упаковка из фольгированного пластика ","Russian Waste Hub"
"Металл","Аэрозольные баллончики","Russian Waste Hub"
"Металл","Алюминиевые или жестяные банки","Russian Waste Hub"
"Металл","Металлические крышки от бутылок","Russian Waste Hub"
"Стекло","Стеклянные бутылки","Russian Waste Hub"
"Стекло","Стеклянные банки","Russian Waste Hub"
"Резина","Резиновые перчатки","Russian Waste Hub"
"Резина","Шлепки","Russian Waste Hub"
"Резина","Шины","Russian Waste Hub"
"Ткань ","Одежда и обувь","Russian Waste Hub"
"Ткань ","Куски ткани ","Russian Waste Hub"
"Ткань ","Перчатки (нерезиновые/нетканые)","Russian Waste Hub"
"Ткань ","Полотенца или ветошь","Russian Waste Hub"
"Ткань ","Веревки или куски сетей (не нейлон)","Russian Waste Hub"
"Бумага и дерево","Бумажные пакеты с пластиковым слоем ","Russian Waste Hub"
"Бумага и дерево","Бумажные пакеты","Russian Waste Hub"
"Бумага и дерево","Бумажная пищевая упаковка","Russian Waste Hub"
"Бумага и дерево","Бумага и картон","Russian Waste Hub"
"Бумага и дерево","Древесина/Строительные материалы","Russian Waste Hub"
"Бумага и дерево","Паллеты","Russian Waste Hub"
"Рыболовные снасти","Буи и поплавки","Russian Waste Hub"
"Рыболовные снасти","Рыболовные приманки и лески","Russian Waste Hub"
"Другое","Другое","Russian Waste Hub"
