Materials,Items
plastic,bag
plastic,baloon(mylar/latex)/ribbon
plastic,bandaid
glass,beer bottle
misc. items/pieces,boat/ship/engine part
plastic,bottle
plastic,buoy
metal,can-other
plastic,cap/lid
plastic,cigarette box/wrapper
misc. items/pieces,clothing
misc. items/pieces,concrete/asphalt
plastic,cup
metal,drink can
misc. items/pieces,fibreglass
plastic,filmstrip (movie)
metal,fishing gear
plastic,fishing line/net
misc. items/pieces,food
plastic,foodbag/wrapper
glass,glass bottle/jar-other
glass,glass piece (unid.)
misc. items/pieces,leather
misc. items/pieces,lumber
metal,metal piece (unid.)
glass,other glass (comment req.)
misc. items/pieces,other misc. (comment req.)
plastic,other plastic (comment req.)
plastic,plastic piece (unid.)
misc. items/pieces,paper
plastic,polypropylene rope
misc. items/pieces,rag/cloth
misc. items/pieces,rubber
misc. items/pieces,shoe
plastic,single use food container
misc. items/pieces,tape
misc. items/pieces,tire
plastic,toy
plastic,utensil
metal,wire
