"materials","items","organization"
"METAL","Aerosol cans","Sarasota Dolphin Research Program Debris Team"
"METAL","Aluminum or tin cans","Sarasota Dolphin Research Program Debris Team"
"PAPER & LUMBER","Paper Bags","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Plastic Bags","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Balloons and/or string","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Plastic Bottle","Sarasota Dolphin Research Program Debris Team"
"GLASS","Glass Bottle","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Plastic Bottle or Container Caps","Sarasota Dolphin Research Program Debris Team"
"METAL","Metal Bottle Caps","Sarasota Dolphin Research Program Debris Team"
"PAPER & LUMBER","Lumber/Building Materials","Sarasota Dolphin Research Program Debris Team"
"FISHING GEAR","Buoys and floats","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Cigarette lighters/tobacco packaging","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Cigarette or tobacco packaging","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Cigarettes","Sarasota Dolphin Research Program Debris Team"
"CLOTH","Clothing and Shoes","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Foam or Plastic Cups","Sarasota Dolphin Research Program Debris Team"
"PAPER & LUMBER","Paper Cups","Sarasota Dolphin Research Program Debris Team"
"CLOTH","Fabric pieces","Sarasota Dolphin Research Program Debris Team"
"FISHING GEAR","Fishing lures and lines","Sarasota Dolphin Research Program Debris Team"
"RUBBER","Flip-flops","Sarasota Dolphin Research Program Debris Team"
"PAPER & LUMBER","Food wrappers (paper)","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Plastic Food Wrappers","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Rubber Gloves","Sarasota Dolphin Research Program Debris Team"
"CLOTH","Gloves (non-rubber)","Sarasota Dolphin Research Program Debris Team"
"GLASS","Glass Jars","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Other Plastic Jugs or Containers","Sarasota Dolphin Research Program Debris Team"
"PAPER & LUMBER","Paper and Cardboard","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Personal care products","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Plastic or Foam Fragments","Sarasota Dolphin Research Program Debris Team"
"FISHING GEAR","Plastic rope / Small Net Pieces","Sarasota Dolphin Research Program Debris Team"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Plastic Utensils","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Six-pack rings","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Straws","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Styrofoam packaging","Sarasota Dolphin Research Program Debris Team"
"RUBBER","Tires","Sarasota Dolphin Research Program Debris Team"
"CLOTH","Towels or rags","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Toys (plastic)","Sarasota Dolphin Research Program Debris Team"
"OTHER ITEMS","Other","Sarasota Dolphin Research Program Debris Team"
"METAL","Batteries (acidic and alkaline)","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Chemicals and chemical containers","Sarasota Dolphin Research Program Debris Team"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Fireworks","Sarasota Dolphin Research Program Debris Team"
"FISHING GEAR","Fishing nets","Sarasota Dolphin Research Program Debris Team"
"PLASTIC","Non-food related plastic packaging","Sarasota Dolphin Research Program Debris Team"
"PAPER & LUMBER","Pallets","Sarasota Dolphin Research Program Debris Team"
"OTHER ITEMS","Test Item","Sarasota Dolphin Research Program Debris Team"
