"materials","items","organization"
"METAL","Aerosol cans","Sea Education Association"
"METAL","Aluminum or tin cans","Sea Education Association"
"PAPER & LUMBER","Paper Bags","Sea Education Association"
"PLASTIC","Plastic Bags","Sea Education Association"
"PLASTIC","Balloons and/or string","Sea Education Association"
"PLASTIC","Plastic Bottle","Sea Education Association"
"GLASS","Glass Bottle","Sea Education Association"
"PLASTIC","Plastic Bottle or Container Caps","Sea Education Association"
"METAL","Metal Bottle Caps","Sea Education Association"
"PAPER & LUMBER","Lumber/Building Materials","Sea Education Association"
"FISHING GEAR","Buoys and floats","Sea Education Association"
"PLASTIC","Cigarette lighters/tobacco packaging","Sea Education Association"
"PLASTIC","Cigarette or tobacco packaging","Sea Education Association"
"PLASTIC","Cigarettes","Sea Education Association"
"CLOTH","Clothing and Shoes","Sea Education Association"
"PLASTIC","Foam or Plastic Cups","Sea Education Association"
"PAPER & LUMBER","Paper Cups","Sea Education Association"
"CLOTH","Fabric pieces","Sea Education Association"
"FISHING GEAR","Fishing lures and lines","Sea Education Association"
"RUBBER","Flip-flops","Sea Education Association"
"PAPER & LUMBER","Food wrappers (paper)","Sea Education Association"
"PLASTIC","Plastic Food Wrappers","Sea Education Association"
"PLASTIC","Rubber Gloves","Sea Education Association"
"CLOTH","Gloves (non-rubber)","Sea Education Association"
"GLASS","Glass Jars","Sea Education Association"
"PLASTIC","Other Plastic Jugs or Containers","Sea Education Association"
"PAPER & LUMBER","Paper and Cardboard","Sea Education Association"
"PLASTIC","Personal care products","Sea Education Association"
"PLASTIC","Plastic or Foam Fragments","Sea Education Association"
"FISHING GEAR","Plastic rope / Small Net Pieces","Sea Education Association"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Sea Education Association"
"PLASTIC","Plastic Utensils","Sea Education Association"
"PLASTIC","Six-pack rings","Sea Education Association"
"PLASTIC","Straws","Sea Education Association"
"PLASTIC","Styrofoam packaging","Sea Education Association"
"RUBBER","Tires","Sea Education Association"
"CLOTH","Towels or rags","Sea Education Association"
"PLASTIC","Toys (plastic)","Sea Education Association"
"OTHER ITEMS","Other","Sea Education Association"
"METAL","Batteries (acidic and alkaline)","Sea Education Association"
"PLASTIC","Chemicals and chemical containers","Sea Education Association"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Sea Education Association"
"PLASTIC","Fireworks","Sea Education Association"
"FISHING GEAR","Fishing nets","Sea Education Association"
"PLASTIC","Non-food related plastic packaging","Sea Education Association"
"PAPER & LUMBER","Pallets","Sea Education Association"
"OTHER ITEMS","Test Item","Sea Education Association"
