"materials","items","organization"
"OTHER ITEMS","SeaBin ID","SeaBin Data Collection"
"OTHER ITEMS","Operator Name","SeaBin Data Collection"
"OTHER ITEMS","Hours in Operation","SeaBin Data Collection"
"OTHER ITEMS","Rain (Yes or No)","SeaBin Data Collection"
"OTHER ITEMS","Wind (Yes or No)","SeaBin Data Collection"
"OTHER ITEMS","Currents (Yes or No)","SeaBin Data Collection"
"PLASTIC","Cigarette Butts","SeaBin Data Collection"
"PLASTIC","Plastic Pieces","SeaBin Data Collection"
"PLASTIC","Food Wrappers/Containers","SeaBin Data Collection"
"PLASTIC","Foam Pieces","SeaBin Data Collection"
"PLASTIC","Bottle Caps","SeaBin Data Collection"
"PLASTIC","Straws/Stirrers","SeaBin Data Collection"
"PLASTIC","Bottles","SeaBin Data Collection"
"PLASTIC","Bags","SeaBin Data Collection"
"METAL","Cans","SeaBin Data Collection"
"PLASTIC","Cutlery","SeaBin Data Collection"
