"materials","items","organization"
"GENERAL","Bags","Shoreline and Recreational Activities"
"GENERAL","Balloons","Shoreline and Recreational Activities"
"GENERAL","Beverage Bottles (plastic) 2 liters or less","Shoreline and Recreational Activities"
"GENERAL","Beverage Bottles (glass)","Shoreline and Recreational Activities"
"GENERAL","Beverage Cans","Shoreline and Recreational Activities"
"GENERAL","Caps Lids","Shoreline and Recreational Activities"
"GENERAL","Clothing shoes","Shoreline and Recreational Activities"
"GENERAL","Cups or Plates or Forks or Knives or Spoons","Shoreline and Recreational Activities"
"GENERAL","Food Wrappers or Containers","Shoreline and Recreational Activities"
"GENERAL","Pull Tabs","Shoreline and Recreational Activities"
"GENERAL","6-Pack Holders","Shoreline and Recreational Activities"
"GENERAL","Shotgun Shells or Wadding","Shoreline and Recreational Activities"
"GENERAL","Straws or Stirrers","Shoreline and Recreational Activities"
"GENERAL","Toys","Shoreline and Recreational Activities"
