"materials","items","organization"
"RESTAURANT","Sit-Down Restaurant","Site Assesment"
"RESTAURANT","Take-Away/Food Stand","Site Assesment"
"RESTAURANT","Coffee/Tea Shop","Site Assesment"
"RESTAURANT","Other","Site Assesment"
"STORES","Grocery","Site Assesment"
"STORES","Convenience","Site Assesment"
"STORES","Non-Food Retail","Site Assesment"
"STORES","Other","Site Assesment"
"WASTE BINS","Trash","Site Assesment"
"WASTE BINS","Trash Overflowing","Site Assesment"
"WASTE BINS","General Recycling","Site Assesment"
"WASTE BINS","General Recycling Overflowing","Site Assesment"
"WASTE BINS","Plastic Recycling","Site Assesment"
"WASTE BINS","Plastic Recycling Overflowing","Site Assesment"
"WASTE BINS","Paper Recycling","Site Assesment"
"WASTE BINS","Paper Recycling Overflowing","Site Assesment"
"WASTE BINS","Metal/Can Recycling","Site Assesment"
"WASTE BINS","Metal/Can Recycling Overflowing","Site Assesment"
"WASTE BINS","Glass Recycling","Site Assesment"
"WASTE BINS","Glass Recycling Overflowing","Site Assesment"
"WASTE BINS","Compost","Site Assesment"
"WASTE BINS","Compost Overflowing","Site Assesment"
"WASTE BINS","Cigarette Waste","Site Assesment"
"WASTE BINS","Cigarette Waste Overflowing","Site Assesment"
"WASTE BINS","Other","Site Assesment"
"WASTE BINS","Other Overflowing","Site Assesment"
"INFORMAL SECTOR","Junk Shop","Site Assesment"
"INFORMAL SECTOR","Recyclables Sorting Space","Site Assesment"
"INFORMAL SECTOR","Informal Collection Space","Site Assesment"
"INFORMAL SECTOR","Informal Sorting Space","Site Assesment"
"INFORMAL SECTOR","Other","Site Assesment"
