"materials","items","organization"
"METAL","Aerosol cans","Sustainable Seas Trust"
"METAL","Aluminum or tin cans","Sustainable Seas Trust"
"PAPER & LUMBER","Paper Bags","Sustainable Seas Trust"
"PLASTIC","Plastic Bags","Sustainable Seas Trust"
"PLASTIC","Balloons and/or string","Sustainable Seas Trust"
"PLASTIC","Plastic Bottle","Sustainable Seas Trust"
"GLASS","Glass Bottle","Sustainable Seas Trust"
"PLASTIC","Plastic Bottle or Container Caps","Sustainable Seas Trust"
"METAL","Metal Bottle Caps","Sustainable Seas Trust"
"PAPER & LUMBER","Lumber/Building Materials","Sustainable Seas Trust"
"FISHING GEAR","Buoys and floats","Sustainable Seas Trust"
"PLASTIC","Cigarette lighters/tobacco packaging","Sustainable Seas Trust"
"PLASTIC","Cigarette or tobacco packaging","Sustainable Seas Trust"
"PLASTIC","Cigarettes","Sustainable Seas Trust"
"CLOTH","Clothing and Shoes","Sustainable Seas Trust"
"PLASTIC","Foam or Plastic Cups","Sustainable Seas Trust"
"PAPER & LUMBER","Paper Cups","Sustainable Seas Trust"
"CLOTH","Fabric pieces","Sustainable Seas Trust"
"FISHING GEAR","Fishing lures and lines","Sustainable Seas Trust"
"RUBBER","Flip-flops","Sustainable Seas Trust"
"PAPER & LUMBER","Food wrappers (paper)","Sustainable Seas Trust"
"PLASTIC","Plastic Food Wrappers","Sustainable Seas Trust"
"PLASTIC","Rubber Gloves","Sustainable Seas Trust"
"CLOTH","Gloves (non-rubber)","Sustainable Seas Trust"
"GLASS","Glass Jars","Sustainable Seas Trust"
"PLASTIC","Other Plastic Jugs or Containers","Sustainable Seas Trust"
"PAPER & LUMBER","Paper and Cardboard","Sustainable Seas Trust"
"PLASTIC","Personal care products","Sustainable Seas Trust"
"PLASTIC","Plastic or Foam Fragments","Sustainable Seas Trust"
"FISHING GEAR","Plastic rope / Small Net Pieces","Sustainable Seas Trust"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Sustainable Seas Trust"
"PLASTIC","Plastic Utensils","Sustainable Seas Trust"
"PLASTIC","Six-pack rings","Sustainable Seas Trust"
"PLASTIC","Straws","Sustainable Seas Trust"
"PLASTIC","Styrofoam packaging","Sustainable Seas Trust"
"RUBBER","Tires","Sustainable Seas Trust"
"CLOTH","Towels or rags","Sustainable Seas Trust"
"PLASTIC","Toys (plastic)","Sustainable Seas Trust"
"OTHER ITEMS","Other","Sustainable Seas Trust"
"METAL","Batteries (acidic and alkaline)","Sustainable Seas Trust"
"PLASTIC","Chemicals and chemical containers","Sustainable Seas Trust"
"FISHING GEAR","Crab/Lobster/Fish trap parts","Sustainable Seas Trust"
"PLASTIC","Fireworks","Sustainable Seas Trust"
"FISHING GEAR","Fishing nets","Sustainable Seas Trust"
"PLASTIC","Non-food related plastic packaging","Sustainable Seas Trust"
"PAPER & LUMBER","Pallets","Sustainable Seas Trust"
"OTHER ITEMS","Test Item","Sustainable Seas Trust"
