"materials","items","organization"
"PLASTIC","Balloons - Mylar","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Baskets, crates & trays","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Bottle caps & lids","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Bottle neck rings","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Bottles < 2 L","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Bottles, etc. > 2 L","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Cable ties & zip ties","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Cigarette butts","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Cigarette lighters","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Drink package rings","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Fibreglass fragments","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Fishing gear (floats, lures, traps, pots)","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Fishing line","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Fishing net","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Food containers","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Fragments of hard plastic ","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Fragments of soft plastic","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Gardening & farming related","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Gloves (non-rubber)","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Lollipop sticks & cotton buds","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Medical waste (except syringes)","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Mesh bags","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic bags","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic buoys & floats","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic film","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic food wrappers","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic sheeting","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic utensils ","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Plastic vehicle parts","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Personal hygiene","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Pegs and clips","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Pens","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Resin pellets","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Rope","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Safety related","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Shotgun wadding & shells","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Strapping bands","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Syringes (Caution if picking up!)","Te Tai Tokerau Debris Monitoring Project"
"PLASTIC","Other (please specify or take a photo)","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Ear plugs","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Foam bottle seals & tabs","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Foam buoys","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Foam sponge","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Foamed plastic fragments","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Polystyrene cups or food packs","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Polystyrene insulation or packaging","Te Tai Tokerau Debris Monitoring Project"
"FOAMED PLASTIC","Other (please specify or take a photo)","Te Tai Tokerau Debris Monitoring Project"
"CLOTH","Backpacks & bags","Te Tai Tokerau Debris Monitoring Project"
