"materials","items","organization"
"PLASTIC","Plastic Food Wrapper","The Ocean Race"
"PLASTIC","Plastic Bottle","The Ocean Race"
"PLASTIC","Plastic Cap or Container Lid","The Ocean Race"
"PLASTIC","Juicebox/Coated Paperboard","The Ocean Race"
"PLASTIC","Plastic Bag","The Ocean Race"
"PLASTIC","Plastic Packaging","The Ocean Race"
"PLASTIC","Plastic Food Container","The Ocean Race"
"PLASTIC","Takeaway Cup","The Ocean Race"
"PLASTIC","Plastic/Styrofoam Takeaway Container","The Ocean Race"
"PLASTIC","Plastic Takeaway Cutlery or Stirrer","The Ocean Race"
"PLASTIC","Plastic Straw","The Ocean Race"
"PLASTIC","Balloon and/or String","The Ocean Race"
"PLASTIC","Cigarette Lighter","The Ocean Race"
"PLASTIC","Cigarette Butt","The Ocean Race"
"PLASTIC","Toothbrush","The Ocean Race"
"PLASTIC","Personal Care Product or Tube","The Ocean Race"
"PLASTIC","Sanitary Product","The Ocean Race"
"PLASTIC","Wet Wipe","The Ocean Race"
"PLASTIC","Cotton Bud","The Ocean Race"
"PLASTIC","Rubber Band","The Ocean Race"
"PLASTIC","Golf Ball ","The Ocean Race"
"PLASTIC","Football","The Ocean Race"
"PLASTIC","Plastic Toy","The Ocean Race"
"PLASTIC","Tyre or Tyre Pieces","The Ocean Race"
"PLASTIC","Plastic fragments","The Ocean Race"
"PLASTIC","Microplastics","The Ocean Race"
"PLASTIC","Plastic Nurdles","The Ocean Race"
"METAL","Beverage Can","The Ocean Race"
"METAL","Other Aluminum or Tin Can","The Ocean Race"
"METAL","Metal Bottle Cap","The Ocean Race"
"METAL","Other Metal","The Ocean Race"
"GLASS","Glass Beverage Bottle","The Ocean Race"
"GLASS","Glass Jar","The Ocean Race"
"GLASS","Glass Fragments","The Ocean Race"
"CLOTH","Clothing","The Ocean Race"
"CLOTH","Fabric Pieces","The Ocean Race"
"CLOTH","Towel","The Ocean Race"
"PAPER","Paper","The Ocean Race"
"PAPER","Cardboard","The Ocean Race"
"PAPER","Paper Receipt","The Ocean Race"
"PAPER","Plastic-Coated Receipt","The Ocean Race"
"FISHING GEAR","Buoy or Float ","The Ocean Race"
"FISHING GEAR","Plastic Rope","The Ocean Race"
"FISHING GEAR","Fishing Lure","The Ocean Race"
"FISHING GEAR","Fishing Line","The Ocean Race"
"FISHING GEAR","Net","The Ocean Race"
"FISHING GEAR","Net Pieces","The Ocean Race"
"FISHING GEAR","Other","The Ocean Race"
