"materials","items","organization"
"METAL","Aerosol cans","USVI Marine Debris for NOAA"
"METAL","Aluminum or tin cans","USVI Marine Debris for NOAA"
"PAPER & LUMBER","Paper Bags","USVI Marine Debris for NOAA"
"PLASTIC","Plastic Bags","USVI Marine Debris for NOAA"
"PLASTIC","Balloons and/or string","USVI Marine Debris for NOAA"
"PLASTIC","Plastic Bottle","USVI Marine Debris for NOAA"
"GLASS","Glass Bottle","USVI Marine Debris for NOAA"
"PLASTIC","Plastic Bottle or Container Caps","USVI Marine Debris for NOAA"
"METAL","Metal Bottle Caps","USVI Marine Debris for NOAA"
"PAPER & LUMBER","Lumber/Building Materials","USVI Marine Debris for NOAA"
"FISHING GEAR","Buoys and floats","USVI Marine Debris for NOAA"
"PLASTIC","Cigarette lighters/tobacco packaging","USVI Marine Debris for NOAA"
"PLASTIC","Cigarette or tobacco packaging","USVI Marine Debris for NOAA"
"PLASTIC","Cigarettes","USVI Marine Debris for NOAA"
"CLOTH","Clothing and Shoes","USVI Marine Debris for NOAA"
"PLASTIC","Foam or Plastic Cups","USVI Marine Debris for NOAA"
"PAPER & LUMBER","Paper Cups","USVI Marine Debris for NOAA"
"CLOTH","Fabric pieces","USVI Marine Debris for NOAA"
"FISHING GEAR","Fishing lures and lines","USVI Marine Debris for NOAA"
"RUBBER","Flip-flops","USVI Marine Debris for NOAA"
"PAPER & LUMBER","Food wrappers (paper)","USVI Marine Debris for NOAA"
"PLASTIC","Plastic Food Wrappers","USVI Marine Debris for NOAA"
"PLASTIC","Rubber Gloves","USVI Marine Debris for NOAA"
"CLOTH","Gloves (non-rubber)","USVI Marine Debris for NOAA"
"GLASS","Glass Jars","USVI Marine Debris for NOAA"
"PLASTIC","Other Plastic Jugs or Containers","USVI Marine Debris for NOAA"
"PAPER & LUMBER","Paper and Cardboard","USVI Marine Debris for NOAA"
"PLASTIC","Personal care products","USVI Marine Debris for NOAA"
"PLASTIC","Plastic or Foam Fragments","USVI Marine Debris for NOAA"
"FISHING GEAR","Plastic rope / Small Net Pieces","USVI Marine Debris for NOAA"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","USVI Marine Debris for NOAA"
"PLASTIC","Plastic Utensils","USVI Marine Debris for NOAA"
"PLASTIC","Six-pack rings","USVI Marine Debris for NOAA"
"PLASTIC","Straws","USVI Marine Debris for NOAA"
"PLASTIC","Styrofoam packaging","USVI Marine Debris for NOAA"
"RUBBER","Tires","USVI Marine Debris for NOAA"
"CLOTH","Towels or rags","USVI Marine Debris for NOAA"
"PLASTIC","Toys (plastic)","USVI Marine Debris for NOAA"
"OTHER ITEMS","Other","USVI Marine Debris for NOAA"
"METAL","Batteries (acidic and alkaline)","USVI Marine Debris for NOAA"
"PLASTIC","Chemicals and chemical containers","USVI Marine Debris for NOAA"
"FISHING GEAR","Crab/Lobster/Fish trap parts","USVI Marine Debris for NOAA"
"PLASTIC","Fireworks","USVI Marine Debris for NOAA"
"FISHING GEAR","Fishing nets","USVI Marine Debris for NOAA"
"PLASTIC","Non-food related plastic packaging","USVI Marine Debris for NOAA"
"PAPER & LUMBER","Pallets","USVI Marine Debris for NOAA"
"OTHER ITEMS","Test Item","USVI Marine Debris for NOAA"
