"materials","items","organization"
"METAL","Aerosol cans","Weisboydlund Expedition 2018"
"METAL","Aluminum or tin cans","Weisboydlund Expedition 2018"
"PAPER & LUMBER","Paper Bags","Weisboydlund Expedition 2018"
"PLASTIC","Plastic Bags","Weisboydlund Expedition 2018"
"PLASTIC","Balloons and/or string","Weisboydlund Expedition 2018"
"PLASTIC","Plastic Bottle","Weisboydlund Expedition 2018"
"GLASS","Glass Bottle","Weisboydlund Expedition 2018"
"PLASTIC","Plastic Bottle or Container Caps","Weisboydlund Expedition 2018"
"METAL","Metal Bottle Caps","Weisboydlund Expedition 2018"
"PAPER & LUMBER","Lumber/Building Materials","Weisboydlund Expedition 2018"
"FISHING GEAR","Buoys and floats","Weisboydlund Expedition 2018"
"PLASTIC","Cigarette lighters/tobacco packaging","Weisboydlund Expedition 2018"
"PLASTIC","Cigarettes","Weisboydlund Expedition 2018"
"CLOTH","Clothing and Shoes","Weisboydlund Expedition 2018"
"PLASTIC","Foam or Plastic Cups","Weisboydlund Expedition 2018"
"CLOTH","Fabric pieces","Weisboydlund Expedition 2018"
"FISHING GEAR","Fishing lures and lines","Weisboydlund Expedition 2018"
"RUBBER","Flip-flops","Weisboydlund Expedition 2018"
"PAPER & LUMBER","Food wrappers (paper)","Weisboydlund Expedition 2018"
"PLASTIC","Plastic Food Wrappers","Weisboydlund Expedition 2018"
"PLASTIC","Rubber Gloves","Weisboydlund Expedition 2018"
"CLOTH","Gloves (non-rubber)","Weisboydlund Expedition 2018"
"GLASS","Glass Jars","Weisboydlund Expedition 2018"
"PLASTIC","Other Plastic Jugs or Containers","Weisboydlund Expedition 2018"
"PAPER & LUMBER","Paper and Cardboard","Weisboydlund Expedition 2018"
"PLASTIC","Personal care products","Weisboydlund Expedition 2018"
"PLASTIC","Plastic or Foam Fragments","Weisboydlund Expedition 2018"
"OTHER ITEMS","Marine Mammal (please describe)","Weisboydlund Expedition 2018"
"FISHING GEAR","Plastic rope / Net Pieces","Weisboydlund Expedition 2018"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","Weisboydlund Expedition 2018"
"PLASTIC","Plastic Utensils","Weisboydlund Expedition 2018"
"PLASTIC","Six-pack rings","Weisboydlund Expedition 2018"
"PLASTIC","Straws","Weisboydlund Expedition 2018"
"RUBBER","Tires","Weisboydlund Expedition 2018"
"CLOTH","Towels or rags","Weisboydlund Expedition 2018"
"OTHER ITEMS","Other","Weisboydlund Expedition 2018"
"PAPER & LUMBER","Pallets","Weisboydlund Expedition 2018"
"OTHER ITEMS","Test Item","Weisboydlund Expedition 2018"
