"materials","items","organization"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","প্লাস্টিকের থলে","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","প্লাস্টিকের দড়ি","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","প্লাস্টিকের বোতল","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","প্লাস্টিকের বোতলের ঢাকনা","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","প্লাস্টিকের মোড়ক (খাবারের)","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","জুসের মোড়ক","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","ফোম/ প্লাস্টিকের পেয়ালা/ ঢাকনা","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","শোলার বাটি, থালা, পাত্র","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","নিয়ে যাওয়ার খাবারের প্যাকেট","WildTeam Bangladesh"
"প্লাস্টিকজাত খাদ্যদ্রব্যাদি","রাস্তার খাবারের বাটি","WildTeam Bangladesh"
"ধাতু","আ্যলুমিনামের/ টিনের কৌটা","WildTeam Bangladesh"
"ধাতু","বোতলের ধাতব ঢাকনা","WildTeam Bangladesh"
"ধাতু","আ্যলুমিনামের মোড়ক","WildTeam Bangladesh"
"কাঁচ","কাঁচের বোতল","WildTeam Bangladesh"
"কাঁচ","কাঁচের টুকরা","WildTeam Bangladesh"
"কাপড়","জামাকাপড়","WildTeam Bangladesh"
"কাপড়","কাপড়ের টুকরা","WildTeam Bangladesh"
"কাগজ","ঢেউতোলা পিচবোর্ড","WildTeam Bangladesh"
"কাগজ","কাগজ","WildTeam Bangladesh"
"কাগজ","কাগজের বাক্স","WildTeam Bangladesh"
"মাছ ধরার সরঞ্জামাদি","বয়া","WildTeam Bangladesh"
"মাছ ধরার সরঞ্জামাদি","প্লাস্টিকের দড়ি","WildTeam Bangladesh"
"মাছ ধরার সরঞ্জামাদি","প্লাস্টিকের জাল/ জালের টুকরা","WildTeam Bangladesh"
"ইলেকট্রিক ময়লা আবর্জনা","তার","WildTeam Bangladesh"
"ইলেকট্রিক ময়লা আবর্জনা","ব্যাটারি","WildTeam Bangladesh"
"ইলেকট্রিক ময়লা আবর্জনা","ই-বর্জ্য টুকরা","WildTeam Bangladesh"
"ব্যক্তিগত ব্যবহার্য পন্য","ব্যক্তিগত ব্যবহার্য পন্যের ছোট প্যাকেট","WildTeam Bangladesh"
"ব্যক্তিগত ব্যবহার্য পন্য","ঔষধের প্যাকেট","WildTeam Bangladesh"
"ব্যক্তিগত ব্যবহার্য পন্য","প্লাস্টিকের নল","WildTeam Bangladesh"
"তামাকজাত দ্রব্যাদি","সিগারেটের প্যকেট","WildTeam Bangladesh"
"তামাকজাত দ্রব্যাদি","তামাকের ছোট প্যাকেট","WildTeam Bangladesh"
"তামাকজাত দ্রব্যাদি","সিগারেট","WildTeam Bangladesh"
"টুকরা","প্লাস্টিক ব্যাগের টুকরা","WildTeam Bangladesh"
"টুকরা","ফোমের টুকরা","WildTeam Bangladesh"
"টুকরা","শক্ত প্লাস্টিকের টুকরা","WildTeam Bangladesh"
"অন্যান্য প্লাস্টিকের দ্রব্যাদি","প্লাস্টিকের জুতা এবং স্যান্ডেল","WildTeam Bangladesh"
"অন্যান্য প্লাস্টিকের দ্রব্যাদি","টায়ার","WildTeam Bangladesh"
"অন্যান্য প্লাস্টিকের দ্রব্যাদি","সিমেন্টের থলে","WildTeam Bangladesh"
"অন্যান্য প্লাস্টিকের দ্রব্যাদি","রাবার ব্যান্ড","WildTeam Bangladesh"
"অন্যান্য","পরীক্ষার দ্রব্যাদি","WildTeam Bangladesh"
"অন্যান্য","অন্যান্য","WildTeam Bangladesh"
