"materials","items","organization"
"METAL","Aerosol cans","eXXpedition"
"METAL","Aluminum or tin cans","eXXpedition"
"PAPER & LUMBER","Paper Bags","eXXpedition"
"PLASTIC","Plastic Bags","eXXpedition"
"PLASTIC","Balloons and/or string","eXXpedition"
"PLASTIC","Plastic Bottle","eXXpedition"
"GLASS","Glass Bottle","eXXpedition"
"PLASTIC","Plastic Bottle or Container Caps","eXXpedition"
"METAL","Metal Bottle Caps","eXXpedition"
"PAPER & LUMBER","Lumber/Building Materials","eXXpedition"
"FISHING GEAR","Buoys and floats","eXXpedition"
"PLASTIC","Cigarette lighters/tobacco packaging","eXXpedition"
"PLASTIC","Cigarettes","eXXpedition"
"CLOTH","Clothing and Shoes","eXXpedition"
"PLASTIC","Foam or Plastic Cups","eXXpedition"
"CLOTH","Fabric pieces","eXXpedition"
"FISHING GEAR","Fishing lures and lines","eXXpedition"
"RUBBER","Flip-flops","eXXpedition"
"PAPER & LUMBER","Food wrappers (paper)","eXXpedition"
"PLASTIC","Plastic Food Wrappers","eXXpedition"
"PLASTIC","Rubber Gloves","eXXpedition"
"CLOTH","Gloves (non-rubber)","eXXpedition"
"GLASS","Glass Jars","eXXpedition"
"PLASTIC","Other Plastic Jugs or Containers","eXXpedition"
"PAPER & LUMBER","Paper and Cardboard","eXXpedition"
"PLASTIC","Personal care products","eXXpedition"
"PLASTIC","Plastic or Foam Fragments","eXXpedition"
"OTHER ITEMS","Marine Mammal (please describe)","eXXpedition"
"FISHING GEAR","Plastic rope / Net Pieces","eXXpedition"
"FISHING GEAR","Rope or Net Pieces (non-nylon)","eXXpedition"
"PLASTIC","Plastic Utensils","eXXpedition"
"PLASTIC","Six-pack rings","eXXpedition"
"PLASTIC","Straws","eXXpedition"
"RUBBER","Tires","eXXpedition"
"CLOTH","Towels or rags","eXXpedition"
"OTHER ITEMS","Other","eXXpedition"
"PAPER & LUMBER","Pallets","eXXpedition"
"OTHER ITEMS","Test Item","eXXpedition"
