Items,Materials
hard plastic,plastic
plasric bags,plastic
film-like plastics (glad wrap and chip bags),plastic
other soft plastics,plastic
plastic packaging straps,plastic
net (estimate size),plastic
fishing line,plastic
"plastic (string, twine, rope)",plastic
"non-plastic (string, twine, rope)",cloth
glass,glass
fish hook,metal
metal (hard),metal
"metal (soft, tinfoil)",metal
balloon,rubber
other rubber items,rubber
"polystyrene (foam, from esky's. buoys etc.)",foam
other foam,foam
"wood (posts, beams, ship hulls)",timber
cigarette butts,paper
paper,paper
