from,to
Trash,potteryorceramic
potteryorceramic,flowerpots
Trash,autoproducts
autoproducts,batteries:carorboat
autoproducts,carorboatparts
carORboatparts,carparts
carparts,fenders
carparts,tyresandbelts
tyresandbelts,tires
tires,tyreswithoutholesorwheels
tires,tyreswithholes
carparts,wheels
carORboatparts,boatparts
autoproducts,motorbikesorparts
autoproducts,"vehicledebris,large"
autoproducts,"vehicledebris,small"
Trash,bags
bags,backpacks&bags
bags,bag(grocery)
bag(grocery),shoppingbagsincl.pieces
shoppingbagsincl.pieces,bagends
bags,bag(trash)
bags,"bag(zip-lock,produce,other)"
"bag(zip-lock,produce,other)","smallplasticbags,e.g.,freezerbags"
bags,bulkbags
bags,degradedbag
bags,dogwastebags
bags,meshvegetablebags
bags,sacking
take-outfoodbags,singleuseplasticcarryoutbags
bags,take-outfoodbags
Trash,batteries
batteries,batteries(acidicandalkaline)
Trash,"bolts,nails,andscrews"
Trash,cableties
Trash,clothingortowelsorglovesorshoes
clothingORtowelsORglovesORshoes,"clothing,hats,gloves&towels"
"clothing,hats,gloves&towels",clothingortowelorgloves
clothingORtowelORgloves,clothingorrags
clothingORrags,clothing
clothing,thongs
clothingORrags,towelsorrags
clothingORtowelORgloves,gloves
"clothing,hats,gloves&towels",hardhats
clothingORshoesORbeachtowels,clothing&shoes
clothing&shoes,shoesorsandals
shoesORsandals,boots
shoesORsandals,flip-flops
shoesORsandals,shoe
clothing&shoes,clothingORshoesORbeachtowels
clothingORshoesORbeachtowels,clothfragments
Trash,computerequiptment&otherelectronicdevices
computerequiptment&otherelectronicdevices,"cd,cd-box"
computerequiptment&otherelectronicdevices,smallelectronicitems
smallelectronicitems,e-wastefragments
smallelectronicitems,telephone(incl.parts)
Trash,corks
Trash,"cups,foodtrays,foodwrappers,drinkcontainers"
"cups,foodtrays,foodwrappers,drinkcontainers",beverageconatiners
beverageconatiners,bottles&jars
bottles&jars,beveragebottles
beveragebottles,drinkbottles>0.5l
beveragebottles,waterbottles
beveragebottles,sportdrinkbottles
beveragebottles,winebottle
beveragebottles,softdrinkbottles
beveragebottles,juicebottles
beveragebottles,"bottles,etc.>2l"
beveragebottles,bottles<2l
beveragebottles,liquorbottles
beveragebottles,fizzydrinkbottle
beveragebottles,iceteabottles
beveragebottles,beerbottle
beveragebottles,degradedbottle
beveragebottles,drinkbottles<=0.5l
beveragebottles,milkbottle
bottles&jars,foodjars
foodjars,jarsincl.pieces
beverageconatiners,cansortins
cansORtins,cans
cans,beveragecans
beveragecans,beercans
beveragecans,juicescans
beveragecans,iceteacan
beveragecans,energycan
beverageconatiners,cups
cups,"cups,lids,straws"
"cups,lids,straws",cupsandcuplids
"cups,lids,straws","straws,stirrers"
cups,takeawaycup
"cups,foodtrays,foodwrappers,drinkcontainers","bottlecaps,lids&pulltabs"
"bottlecaps,lids&pulltabs",pulltabs:beverages
"bottlecaps,lids&pulltabs",bottlecaps
"bottlecaps,lids&pulltabs",capsorlids
capsORlids,lids
"cups,foodtrays,foodwrappers,drinkcontainers",bottlelabel
"cups,foodtrays,foodwrappers,drinkcontainers",bottleneckrings
"cups,foodtrays,foodwrappers,drinkcontainers",cardboardcartons
cardboardcartons,juicecarton
cardboardcartons,milkcarton
"cups,foodtrays,foodwrappers,drinkcontainers",cups&plates
cups&plates,plates
"cups,foodtrays,foodwrappers,drinkcontainers",fastfoodcontainersorcups
"cups,foodtrays,foodwrappers,drinkcontainers",foodcans
"cups,foodtrays,foodwrappers,drinkcontainers",foodwrappersorcontainers
foodwrappersorcontainers,"ice-creamsticks,chipforks,chopsticks,toothpicks"
"ice-creamsticks,chipforks,chopsticks,toothpicks",icelollysticksorchipforks
icelollysticksORchipforks,lollysticks
icelollysticksORchipforks,lollipopsticks&cottonbuds
icelollysticksORchipforks,popsiclestick
foodwrappersorcontainers,otherfoodcansorwrappers
foodwrappersorcontainers,wrappers
wrappers,sweetpapers
wrappers,foodwrappers
foodwrappersorcontainers,crisporsweetorlollyorsandwichwrappers
crispORsweetORlollyORsandwichwrappers,crisppacketsorsweetswrappers
crisppacketsORsweetswrappers,crisppackets
crisppackets,crisplarge
crisppackets,crispsmall
foodwrappersorcontainers,coverorpackaging
"cups,foodtrays,foodwrappers,drinkcontainers",foodorbeverageware
foodORbeverageware,disposablefood&beverageware
disposablefood&beverageware,disposablebbq's
disposablefood&beverageware,rigidplasticdisposablefoodandbegerageware
"cups,foodtrays,foodwrappers,drinkcontainers",homefoodpackaging
"cups,foodtrays,foodwrappers,drinkcontainers",juicepacket
"cups,foodtrays,foodwrappers,drinkcontainers",saltpackaging
"cups,foodtrays,foodwrappers,drinkcontainers",saucepacket
"cups,foodtrays,foodwrappers,drinkcontainers",singlueusefoodcontainer
"cups,foodtrays,foodwrappers,drinkcontainers",straws
straws,degradedstraws
Trash,"cups,plates,tableware,dishes"
"cups,plates,tableware,dishes",4or6packyokes
4OR6packyokes,"six-packrings,ringcarriers"
"cups,plates,tableware,dishes","cups,plastes,forks,knives,spoons"
"cups,plastes,forks,knives,spoons","cups,plates,utensils"
"cups,plates,utensils",utensil
"cups,plates,utensils",coffeecup
coffeecup,coffeecuplid
"cups,plates,tableware,dishes",cutleryortraysorstrawsorcups
cutleryORtraysORstrawsORcups,cutleryortraysorstraws
cutleryORtraysORstraws,cutleryortrays
"cups,plates,tableware,dishes",streetfoodbowl
"cups,plates,tableware,dishes",tableware
tableware,napkins
Trash,film(thinkorflexiblee.g.strawwrapper)
film(thinkORflexiblee.g.strawwrapper),thinfilm
thinfilm,filmfragments
thinfilm,tape
tape,maskingtape
Trash,filmstrip
Trash,fishingrelated
fishingrelated,baitcontainersorcratesorlures
baitcontainersORcratesORlures,baitcontainersorcrates
baitcontainersORcrates,baitcontainersorpackaging
baitcontainersORpackaging,baitcontainers
Trash,fishingrelated
fishingrelated,bobbins(fishing)
fishingrelated,fishaggregatingdevices
fishingrelated,fishboxes
fishingrelated,fishhook
fishingrelated,fishingline
fishingline,fishingline(entangled)
fishingline,fishingline(anglers)
fishingrelated,fishinglineornet
fishinglineORnet,filament<5mm
fishinglineORnet,monofilamentnetorfiberupto5mm
fishinglineORnet,monofilamentnetorfiber5-30mm
fishinglineORnet,monofilamentnetorfiberlargerthan30mm
fishinglineORnet,netsandpiecesofnet
netsandpiecesofnet,fishingnets
netsandpiecesofnet,netsandpiecesofnet<50cm
netsandpiecesofnet,netsandpiecesofnet>50cm
netsandpiecesofnet,fishingnetandnetpieces>50cm
fishingrelated,fishinglures&line
fishinglures&line,fishingluresorlightsticks
fishingluresorlightsticks,fishinglures
fishingrelated,fishingrubbertailbaits&weights
fishingrubbertailbaits&weights,fishingweights
fishingweights,scubaweights
fishingrelated,fishingtrapsandpots
fishingtrapsandpots,fishpot
fishingtrapsandpots,fishpot(eel)
fishingtrapsandpots,octopuspots
fishingtrapsandpots,traporpotpieces
fishingtrapsandpots,craborlobsterorfishtraps
craborlobsterorfishtraps,crabtrapinneedofremoval
craborlobsterorfishtraps,crabtrapthathasbeenremoved
fishingtrapsandpots,derelicttrapsortrappieces
