material,items,organization
soft plastics,,Cordeiro
styrofoam,,Cordeiro
hard plastics,,Cordeiro
wood,wood shreds,Cordeiro
plastic,,Fernandino
foam,,Fernandino
fabric,,Fernandino
glass/ceramic,,Fernandino
metal,,Fernandino
paper,,Fernandino
rubber,,Fernandino
wood,,Fernandino
others,,Fernandino
woody debris,,Gracia
plastic,,Gracia
polystyrene,,Gracia
rubber,,Gracia
glass,,Gracia
processed wood,,Gracia
organic items,,Gracia
paper,,Gracia
textiles,,Gracia
fish apparel,,Gracia
metal,metal pieces,Gracia
biohazard,,Gracia
plastic,bottle,JRC
plastic,sheet,JRC
plastic,bag,JRC
plastic,caps/lids,JRC
plastic,fishing line (monofilament),JRC
plastic,fishing line (entangled),JRC
plastic,synthetic rope,JRC
plastic,fishing net,JRC
plastic,cable ties,JRC
plastic,strapping band,JRC
plastic,crates and containers,JRC
plastic,plastic diapers,JRC
plastic,sanitary towel/tampon,JRC
plastic,other,JRC
metals,cans (food),JRC
metals,cans (beverage),JRC
metals,fishing related,JRC
metals,drums,JRC
metals,appliances ,JRC
metals,car parts,JRC
metals,cables,JRC
metals,other,JRC
rubber,boots,JRC
rubber,balloons,JRC
rubber,bobbins (fishing),JRC
rubber,tyre,JRC
rubber,other,JRC
glass/ceramics,jar,JRC
glass/ceramics,bottle,JRC
glass/ceramics,piece,JRC
glass/ceramics,other,JRC
natural products/clothes,clothing/rags,JRC
natural products/clothes,shoes,JRC
natural products/clothes,other,JRC
miscellaneous,wood (processed),JRC
miscellaneous,rope,JRC
miscellaneous,paper/cardboard,JRC
miscellaneous,pallets,JRC
miscellaneous,other,JRC
plastic,bags,JRC
plastic,bottles,JRC
plastic,food wrappers,JRC
plastic,sheets,JRC
plastic,other plastic objects,JRC
plastic,fishing nets,JRC
plastic,fishing lines,JRC
plastic,other fishing related,JRC
plastic,ropes/strapping bands,JRC
plastic,"sanitaries (diapers, etc)",JRC
rubber,tyres,JRC
rubber,"other (gloves, shoes, etc.)",JRC
metals,beverage cans,JRC
metals,other food cans/wrappers,JRC
metals,middle size containers,JRC
metals,large metallic objects ,JRC
metals,cables,JRC
metals,fishing related,JRC
glass/ceramics,bottles,JRC
glass/ceramics,pieces of glass,JRC
glass/ceramics,ceramic jars,JRC
glass/ceramics,large objects (specify),JRC
textiles/natural fibers,"clothing (clothes, shoes)",JRC
textiles/natural fibers,"large pieces (carpets, etc)",JRC
textiles/natural fibers,natural ropes,JRC
artificial polymer materials,"4/6-pack yokes, six-pack rings",JRC
artificial polymer materials,shopping bags incl. pieces,JRC
artificial polymer materials,"small plastic bags, e.g. freezer bags incl. pieces",JRC
artificial polymer materials,plastic bag collective role; what remains from rip-off plastic bags,JRC
artificial polymer materials,drink bottles <=0.5l,JRC
artificial polymer materials,drink bottles >0.5l,JRC
artificial polymer materials,cleaner bottles & containers,JRC
artificial polymer materials,food containers incl. fast food containers,JRC
artificial polymer materials,"beach use related cosmetic bottles and. Containers, e.g. sunblock",JRC
artificial polymer materials,other cosmetic bottles & containers ,JRC
artificial polymer materials,other bottles & containers (drums),JRC
artificial polymer materials,engine oil bottles & containers <50 cm,JRC
artificial polymer materials,engine oil bottles & containers >50 cm,JRC
artificial polymer materials,jerry cans (square plastic containers with handle),JRC
artificial polymer materials,injection gun containers,JRC
artificial polymer materials,crates and containers/baskets,JRC
artificial polymer materials,car parts,JRC
artificial polymer materials,plastic caps and lids,JRC
artificial polymer materials,plastic caps/lids drinks,JRC
artificial polymer materials,"plastic caps/lids chemicals, detergents",JRC
artificial polymer materials,plastic caps/lids unidentified,JRC
artificial polymer materials,plastic rings from bottle caps/lids,JRC
artificial polymer materials,tobacco pouches/plastic cigarette box packaging,JRC
artificial polymer materials,cigarette lighters,JRC
artificial polymer materials,cigarette butts and filters,JRC
artificial polymer materials,pens and pen lids,JRC
artificial polymer materials,combs/hair brushes/sunglasses,JRC
artificial polymer materials,crisp packets/sweets wrappers,JRC
artificial polymer materials,lolly sticks,JRC
artificial polymer materials,toys and party poppers,JRC
artificial polymer materials,cups and cup lids,JRC
artificial polymer materials,cutlery and trays,JRC
artificial polymer materials,straws and stirrers,JRC
artificial polymer materials,fertiliser/animal feed bags,JRC
artificial polymer materials,mesh vegetable bags,JRC
artificial polymer materials,cover/packaging,JRC
artificial polymer materials,gloves,JRC
artificial polymer materials,gloves (washing up),JRC
artificial polymer materials,gloves (industrial/professional rubber gloves),JRC
artificial polymer materials,crab/lobster pots and tops,JRC
artificial polymer materials,tags (fishing and industry),JRC
artificial polymer materials,octopus tops,JRC
artificial polymer materials,"nussels nets, oyster nets",JRC
artificial polymer materials,oyster trays (round from oyster cultures),JRC
artificial polymer materials,plastic sheeting from mussel culture (Tahitians),JRC
artificial polymer materials,synthetic rope,JRC
artificial polymer materials,rope (diameter more than 1cm),JRC
artificial polymer materials,string and cord (diameter less than 1cm),JRC
artificial polymer materials,fishing net,JRC
artificial polymer materials,nets and pieces of net,JRC
artificial polymer materials,nets and pieces of net < 50 cm,JRC
artificial polymer materials,nets and pieces of net > 50 cm,JRC
artificial polymer materials,fishing line (entangled),JRC
artificial polymer materials,tangled nets/cord,JRC
artificial polymer materials,fish boxes - plastic,JRC
artificial polymer materials,fish boxes - expanded polystyrene,JRC
artificial polymer materials,fishing line/monofilament (angling),JRC
artificial polymer materials,light sticks (tubes with fluid) incl. packaging,JRC
artificial polymer materials,other fishing related,JRC
artificial polymer materials,floats for fishing nets,JRC
artificial polymer materials,buoys,JRC
artificial polymer materials,fenders,JRC
artificial polymer materials,buckets,JRC
artificial polymer materials,strapping bands,JRC
artificial polymer materials,"sheets, industrial packaging, plastic sheeting",JRC
artificial polymer materials,fibre glass/fragments,JRC
artificial polymer materials,hard hats/helmets,JRC
artificial polymer materials,shotgun cartridges,JRC
artificial polymer materials,shoes/sandals,JRC
artificial polymer materials,traffic cones,JRC
artificial polymer materials,foam sponge,JRC
artificial polymer materials,foam packaging/insulation/polyurethane,JRC
artificial polymer materials,plastic/polystyrene pieces 0 - 2.5 cm,JRC
artificial polymer materials,plastic/polystyrene pieces 2.5 cm > < 50cm,JRC
artificial polymer materials,plastic/polystyrene pieces > 50 cm,JRC
artificial polymer materials,plastic pieces 0 - 2.5 cm,JRC
artificial polymer materials,plastic pieces 2.5 cm > < 50cm,JRC
artificial polymer materials,plastic pieces > 50 cm,JRC
artificial polymer materials,"CD, CD-box",JRC
artificial polymer materials,salt packaging,JRC
artificial polymer materials,fin trees (from fins for scuba diving),JRC
artificial polymer materials,masking tape,JRC
artificial polymer materials,telephone (incl. parts),JRC
artificial polymer materials,plastic construction waste,JRC
artificial polymer materials,plastic flower pots,JRC
artificial polymer materials,biomass holder from sewage tratment plants,JRC
artificial polymer materials,bait containers/packaging,JRC
artificial polymer materials,cotton bud sticks,JRC
artificial polymer materials,sanitary towels/panty liners/backing strips,JRC
artificial polymer materials,toilet fresheners,JRC
artificial polymer materials,diapers/nappies,JRC
artificial polymer materials,syringes/needles,JRC
artificial polymer materials,medical/pharmeciducal containers/tubes,JRC
artificial polymer materials,dog faeces bag,JRC
artificial polymer materials,flip-flops,JRC
artificial polymer materials,plastic fragments rounded <5mm,JRC
artificial polymer materials,plastic fragments subrounded <5mm,JRC
artificial polymer materials,plastic fragments subangular <5mm,JRC
artificial polymer materials,plastic fragments angular <5mm,JRC
artificial polymer materials,cylindrical pellets <5mm,JRC
artificial polymer materials,disks pellets <5mm,JRC
artificial polymer materials,flat pellets <5mm,JRC
artificial polymer materials,ovoid pellets <5mm,JRC
artificial polymer materials,spheruloids pellets <5mm,JRC
artificial polymer materials,industrial pellets,JRC
artificial polymer materials,filament <5mm,JRC
artificial polymer materials,films <5mm,JRC
artificial polymer materials,foamed plastic <5mm,JRC
artificial polymer materials,granules <5mm,JRC
artificial polymer materials,styrofoam <5mm,JRC
artificial polymer materials,small industrial spheres (<5mm),JRC
artificial polymer materials,sheet like user plastic (>1mm),JRC
artificial polymer materials,threadlike user plastic (>1mm),JRC
artificial polymer materials,foamed user plastic (>1mm),JRC
artificial polymer materials,plastic fragments (>1mm),JRC
artificial polymer materials,polyurethane granules <5mm,JRC
artificial polymer materials,other plastic/polystyrene items (identifiable),JRC
rubber,balloons and balloon sticks,JRC
rubber,balls,JRC
rubber,rubber boots,JRC
rubber,tyres and belts,JRC
rubber,inner-tubes and rubber sheet,JRC
rubber,wheels,JRC
rubber,"rubber bands (small, for kitchen/household/pot use)",JRC
rubber,condoms (incl. packaging),JRC
rubber,other rubber pieces,JRC
cloth/textile,"clothing/rags (clothing, hats, towels)",JRC
cloth/textile,"shoes and sandals (e.g. leather, cloth)",JRC
cloth/textile,backpacks & bags,JRC
cloth/textile,sacking (hessian),JRC
cloth/textile,carpet & furnishing,JRC
cloth/textile,"rope, string and nets",JRC
cloth/textile,"sails, canvas",JRC
cloth/textile,tampons and tampon applicators,JRC
cloth/textile,othe textiles (incl. rags),JRC
paper/cardboard,paper/cardboard,JRC
paper/cardboard,paper bags,JRC
paper/cardboard,cardboard (boxes & fragments),JRC
paper/cardboard,paper packaging,JRC
paper/cardboard,cartons/tetrapack (others),JRC
paper/cardboard,cigarette packets,JRC
paper/cardboard,"cups, food trays, wrappers, drink containers",JRC
paper/cardboard,newspapers & magazines,JRC
paper/cardboard,tubes for fireworks,JRC
paper/cardboard,paper fragments,JRC
paper/cardboard,paper,JRC
paper/cardboard,other paper items,JRC
processed/worked wood,corks,JRC
processed/worked wood,processed timber,JRC
processed/worked wood,crates,JRC
processed/worked wood,crab/lobster pots,JRC
processed/worked wood,fish boxes,JRC
processed/worked wood,"ice-cream sticks, chip forks, chopsticks, toothpicks",JRC
processed/worked wood,paint brushes,JRC
processed/worked wood,matches & fireworks,JRC
processed/worked wood,wood boards,JRC
processed/worked wood,beams/dunnage,JRC
processed/worked wood,wood (processed),JRC
processed/worked wood,other wood < 50cm,JRC
processed/worked wood,other wood > 50cm,JRC
processed/worked wood,other (specify),JRC
metal,aerosol/speay cans industry,JRC
metal,"foil wrapper, aluminium foil",JRC
metal,"bottle caps, lids & pull tabs",JRC
metal,disposable BBQ's,JRC
metal,"appliances (refrigerators, washers, etc.)",JRC
metal,"tableware (plates, cups & cutlery)",JRC
metal,"fishing related (weights, sinkers, lures,hooks) ",JRC
metal,fish hook remains,JRC
metal,lobster/crab pots,JRC
metal,industrial scrap,JRC
metal,"drums, e.g. oil",JRC
metal,other cans (<4L),JRC
metal,"gas bottles, drums & buckets",JRC
metal,paint tins,JRC
metal,"wire, wire mesh, barbed wire",JRC
metal,barrels,JRC
metal,car parts/batteries,JRC
metal,household batteries,JRC
metal,other (metal),JRC
metal,other metal pieces < 50 cm,JRC
metal,other metal pieces > 50 cm,JRC
glass/ceramics,bottles incl. pieces,JRC
glass/ceramics,jars incl. pieces,JRC
glass/ceramics,light bulbs,JRC
glass/ceramics,tableware (plates & cups),JRC
glass/ceramics,"construction material (brick, cement, pipes)",JRC
glass/ceramics,fluorescent light tubes,JRC
glass/ceramics,glass buoys,JRC
glass/ceramics,octopus pots,JRC
