from,to
trash,glassORceramic
glassORceramic,glass
glass,fibreglass
glassORceramic,ceramic
trash,plastic
plastic,foam
plastic,rubber
plastic,softplastics
plastic,hardplastics
plastic,vinyl
trash,biohazard
biohazard,sanitarywaste
biohazard,faeces
trash,organic
organic,leather
organic,food
organic,woodandpaper
woodandpaper,wood
wood,processedwood
woodandpaper,paperORcardboard
paperORcardboard,paper
organic,cloth
cloth,wool
cloth,cotton
trash,metal
trash,other
trash,concreteORasphalt
trash,nonpolymeric
trash,mineral
plastic,CelluloseDerivatives(EtherCellulose)
CelluloseDerivatives(EtherCellulose),CA
CelluloseDerivatives(EtherCellulose),Rayon
CelluloseDerivatives(EtherCellulose),CelluloseNitrate
CelluloseDerivatives(EtherCellulose),MethylCellulose
CelluloseDerivatives(EtherCellulose),EthylCellulose
plastic,OtherPlastic
OtherPlastic,PE+PS
OtherPlastic,Plasticadditive
OtherPlastic,PET-PEST
OtherPlastic,Vinyon
OtherPlastic,PA;ER
OtherPlastic,PE+PP
OtherPlastic,PPS
OtherPlastic,PI
OtherPlastic,Styrene-butadiene
OtherPlastic,PBA
OtherPlastic,Cellophane
OtherPlastic,SAN
OtherPlastic,PLA
OtherPlastic,SBR
OtherPlastic,PET+olefin
OtherPlastic,PES
OtherPlastic,ABS
OtherPlastic,LDPE
OtherPlastic,PEVA
OtherPlastic,AR
OtherPlastic,semi-syntheticcellulose
OtherPlastic,PAI
OtherPlastic,neoprene
OtherPlastic,polyhydroxyalkanoate(PHA)
OtherPlastic,Phenolformaldehyde
OtherPlastic,Urea-formaldehyde
OtherPlastic,Melamine-formaldehyde
OtherPlastic,Isobutylene-isoprene
OtherPlastic,Ethylene-propylene
OtherPlastic,Styrene-maleic
OtherPlastic,Styrene-isoprene
OtherPlastic,EPDMrubber(ethylenepropylenedienemonomerrubber)
plastic,Poly(Ether)ketones(POLYKETONES)
Poly(Ether)ketones(POLYKETONES),PEK-Poly(etherketone)
Poly(Ether)ketones(POLYKETONES),PEKK-Poly(etherketoneketone)
Poly(Ether)ketones(POLYKETONES),PEEK-Poly(etheretherketone)
Poly(Ether)ketones(POLYKETONES),Poly(ethyleneketone)
Poly(Ether)ketones(POLYKETONES),Poly(propyleneketone)
plastic,Polyacrylamides
Polyacrylamides,PAM
Polyacrylamides,Poly(N-isopropylacrylamide)
Polyacrylamides,Poly(N-octylacrylamide)
Polyacrylamides,Poly(N-tert-butylacrylamide)
Polyacrylamides,Poly(N-phenylacrylamide)
Polyacrylamides,Poly(N-sec-butylacrylamide)
plastic,Polyacrylates(Propenoates)
Polyacrylates(Propenoates),Acrylic
Polyacrylates(Propenoates),PAA
Polyacrylates(Propenoates),Poly(benzylacrylate)
Polyacrylates(Propenoates),Poly(butylacrylate)
Polyacrylates(Propenoates),Poly(4-chlorophenylacrylate)
Polyacrylates(Propenoates),Poly(2-cyanoethylacrylate)
Polyacrylates(Propenoates),Poly(cyanomethylacrylate)
Polyacrylates(Propenoates),Poly(cyclohexylacrylate)
Polyacrylates(Propenoates),Poly(ethylacrylate)
Polyacrylates(Propenoates),Poly(2-ethylhexylacrylate)
Polyacrylates(Propenoates),Poly(hexylacrylate)
Polyacrylates(Propenoates),Poly(isobutylacrylate)
Polyacrylates(Propenoates),Poly(isopropylacrylate)
Polyacrylates(Propenoates),Poly(methylacrylate)
Polyacrylates(Propenoates),Poly(octylacrylate)
Polyacrylates(Propenoates),Poly(propylacrylate)
Polyacrylates(Propenoates),Poly(sec-butylacrylate)
Polyacrylates(Propenoates),Poly(stearylacrylate)
Polyacrylates(Propenoates),Poly(tert-butylacrylate)
Polyacrylates(Propenoates),"Poly(2,2,3,3-Tetrafluoropropylacrylate)"
plastic,Polyacrylonitriles(Nitriles)
Polyacrylonitriles(Nitriles),PAN
Polyacrylonitriles(Nitriles),Poly(methacrylonitrile)
Polyacrylonitriles(Nitriles),Poly(butyleneadipate)
Polyacrylonitriles(Nitriles),Poly(ethyleneadipate)
Polyacrylonitriles(Nitriles),Poly(propyleneadipate)
plastic,Polyamides(POLYLACTAMS)
Polyamides(POLYLACTAMS),PA
Polyamides(POLYLACTAMS),Nylon3-Poly(propiolactam)
Polyamides(POLYLACTAMS),Nylon6-Poly(caprolactam)
Polyamides(POLYLACTAMS),Nylon8-Polycapryllactam
Polyamides(POLYLACTAMS),Nylon10-Poly(decano-10-lactam)
Polyamides(POLYLACTAMS),Nylon11-Poly(undecano-11-lactam)
Polyamides(POLYLACTAMS),Nylon12-Poly(dodecano-12-lactam)
Polyamides(POLYLACTAMS),"Nylon4,6-Poly(tetramethyleneadipamide)"
Polyamides(POLYLACTAMS),"Nylon6,6-Poly(hexamethyleneadipamide)"
Polyamides(POLYLACTAMS),"Nylon6,9-Poly(hexamethyleneazelamide)"
Polyamides(POLYLACTAMS),"Nylon6,10-Poly(hexamethylenesebacamide)"
Polyamides(POLYLACTAMS),"Nylon6,12-Poly(hexamethylenedodecanediamide)"
Polyamides(POLYLACTAMS),"Nylon10,10-Poly(decamethylenesebacamide)"
Polyamides(POLYLACTAMS),"Poly(hexamethyleneisophthalamide),PA6I"
Polyamides(POLYLACTAMS),"Poly(hexamethyleneteraphthalamide),PA6T"
Polyamides(POLYLACTAMS),Kevlar-Polyaramide
Polyamides(POLYLACTAMS),Nomex-Poly(m-phenyleneterephthalamide)
Polyamides(POLYLACTAMS),"Poly(nonanmethyleneteraphthalamide),PA9T"
plastic,Polyanhydrides
Polyanhydrides,Poly(p-pentamethylenedibenzoicanhydride)
Polyanhydrides,Poly(p-tetramethylenedibenzoicanhydride)
Polyanhydrides,Poly(sebacicanhydride)
Polyanhydrides,Poly(azelaicanhydride)
plastic,Polycarbontes
Polycarbontes,PC
Polycarbonates,Poly(bisphenolAcarbonate)
Polycarbonates,"Poly(4,4'-thiodiphenylenecarbonate)"
Polycarbonates,Poly(bisphenolBcarbonate)
Polycarbonates,Poly(bisphenolFcarbonate)
Polycarbonates,Poly(ethylenecarbonate)
Polycarbonates,Poly(propylenecarbonate)
Polycarbonates,"Poly(2,6,3',5'-tetrachlorobisphenolAcarbonate)"
Polycarbonates,Poly(tetramethylbisphenolAcarbonate)
plastic,Polycarbonates
plastic,Polycyanoacrylates
Polycyanoacrylates,Poly(methylcyanoacrylate)
Polycyanoacrylates,Poly(ethylcyanoacrylate)
Polycyanoacrylates,Poly(butylcyanoacrylate)
Polycyanoacrylates,Poly(hexylcyanoacrylate)
Polycyanoacrylates,Poly(octylcyanoacrylate)
plastic,"Polydienes(Butadienes,Isoprenes)"
"Polydienes(Butadienes,Isoprenes)","Poly(1,2-butadiene)"
"Polydienes(Butadienes,Isoprenes)","Poly(1,4-butadiene)"
"Polydienes(Butadienes,Isoprenes)","Poly(1-ethyl-1,4-butadiene)"
"Polydienes(Butadienes,Isoprenes)","1,4-Polyisoprene(cisandtrans)(Latex)"
"Polydienes(Butadienes,Isoprenes)","Poly(1,4-pentadiene)"
"Polydienes(Butadienes,Isoprenes)",Poly(1-pentenylene)
plastic,"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)"
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",ER
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Bisphenol-Adiglycidyletherepoxyresin
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Bisphenol-Fdiglycidyletherepoxyresin
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Poly(bis-Adiglycidylether-alt-ethylenediamine)
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Poly(bis-Adiglycidylether-alt-hexamethylenediamine)
"PolyDiglycidylEthers(POLYEPOXIDES,POLYHYDROXYETHERS,Phenoxy)",Poly(bis-Adiglycidylether-alt-octamethylenediamine)
plastic,Polyesters
Polyesters,PEST
Polyesters,Poly(caprolactone)
Polyesters,Poly(ethylenenaphthalate)
Polyesters,Poly(ethylenephthalate)
Polyesters,Polyglycolide
Polyesters,Poly(3-hydroxybutyrate)
Polyesters,Poly(4-hydroxybutyrate)
Polyesters,Polylacticacid
plastic,"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)"
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Polyacetal-Polyoxymethylene
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(3-butoxypropyleneoxide)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(epichlorohydrin)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(ethyleneglycol)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(hexamethyleneoxide)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly(3-methoxypropyleneoxide)
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)",Poly[oxy(hexyloxymethyl)ethylene]
