materials,pathString
glassORceramic,Trash/glassORceramic
glass,Trash/glassORceramic/glass
fibreglass,Trash/glassORceramic/glass/fibreglass
ceramic,Trash/glassORceramic/ceramic
plastic,Trash/plastic
foam,Trash/plastic/foam
rubber,Trash/plastic/rubber
softplastics,Trash/plastic/softplastics
hardplastics,Trash/plastic/hardplastics
vinyl,Trash/plastic/vinyl
biohazard,Trash/biohazard
sanitarywaste,Trash/biohazard/sanitarywaste
faeces,Trash/biohazard/faeces
organic,Trash/organic
leather,Trash/organic/leather
food,Trash/organic/food
woodandpaper,Trash/organic/woodandpaper
wood,Trash/organic/woodandpaper/wood
processedwood,Trash/organic/woodandpaper/wood/processedwood
paperORcardboard,Trash/organic/woodandpaper/paperORcardboard
paper,Trash/organic/woodandpaper/paperORcardboard/paper
cloth,Trash/organic/cloth
wool,Trash/organic/cloth/wool
cotton,Trash/organic/cloth/cotton
metal,Trash/metal
other,Trash/other
concreteORasphalt,Trash/concreteORasphalt
nonpolymeric,Trash/nonpolymeric
mineral,Trash/mineral
CelluloseDerivatives(EtherCellulose),Trash/plastic/CelluloseDerivatives(EtherCellulose)
CA,Trash/plastic/CelluloseDerivatives(EtherCellulose)/CA
Rayon,Trash/plastic/CelluloseDerivatives(EtherCellulose)/Rayon
Rayon,Trash/plastic/CelluloseDerivatives(EtherCellulose)/Rayon
CelluloseNitrate,Trash/plastic/CelluloseDerivatives(EtherCellulose)/CelluloseNitrate
MethylCellulose,Trash/plastic/CelluloseDerivatives(EtherCellulose)/MethylCellulose
EthylCellulose,Trash/plastic/CelluloseDerivatives(EtherCellulose)/EthylCellulose
OtherPlastic,Trash/plastic/OtherPlastic
PE+PS,Trash/plastic/OtherPlastic/PE+PS
Plasticadditive,Trash/plastic/OtherPlastic/Plasticadditive
PET-PEST,Trash/plastic/OtherPlastic/PET-PEST
Vinyl,Trash/plastic/OtherPlastic/Vinyl
Vinyon,Trash/plastic/OtherPlastic/Vinyon
Other,Trash/plastic/OtherPlastic/Other
PA;ER,Trash/plastic/OtherPlastic/PA;ER
PE+PP,Trash/plastic/OtherPlastic/PE+PP
PPS,Trash/plastic/OtherPlastic/PPS
PI,Trash/plastic/OtherPlastic/PI
Styrene-butadiene,Trash/plastic/OtherPlastic/Styrene-butadiene
PBA,Trash/plastic/OtherPlastic/PBA
Cellophane,Trash/plastic/OtherPlastic/Cellophane
SAN,Trash/plastic/OtherPlastic/SAN
PLA,Trash/plastic/OtherPlastic/PLA
SBR,Trash/plastic/OtherPlastic/SBR
PET+olefin,Trash/plastic/OtherPlastic/PET+olefin
PES,Trash/plastic/OtherPlastic/PES
ABS,Trash/plastic/OtherPlastic/ABS
LDPE,Trash/plastic/OtherPlastic/LDPE
PEVA,Trash/plastic/OtherPlastic/PEVA
AR,Trash/plastic/OtherPlastic/AR
Otherplastic,Trash/plastic/OtherPlastic/Otherplastic
semi-syntheticcellulose,Trash/plastic/OtherPlastic/semi-syntheticcellulose
PAI,Trash/plastic/OtherPlastic/PAI
neoprene,Trash/plastic/OtherPlastic/neoprene
polyhydroxyalkanoate(PHA),Trash/plastic/OtherPlastic/polyhydroxyalkanoate(PHA)
Phenolformaldehyde,Trash/plastic/OtherPlastic/Phenolformaldehyde
Urea-formaldehyde,Trash/plastic/OtherPlastic/Urea-formaldehyde
Melamine-formaldehyde,Trash/plastic/OtherPlastic/Melamine-formaldehyde
Isobutylene-isoprene,Trash/plastic/OtherPlastic/Isobutylene-isoprene
Ethylene-propylene,Trash/plastic/OtherPlastic/Ethylene-propylene
Styrene-maleic,Trash/plastic/OtherPlastic/Styrene-maleic
Styrene-isoprene,Trash/plastic/OtherPlastic/Styrene-isoprene
EPDMrubber(ethylenepropylenedienemonomerrubber),Trash/plastic/OtherPlastic/EPDMrubber(ethylenepropylenedienemonomerrubber)
Poly(Ether)ketones(POLYKETONES),Trash/plastic/Poly(Ether)ketones(POLYKETONES)
PEK-Poly(etherketone),Trash/plastic/Poly(Ether)ketones(POLYKETONES)/PEK-Poly(etherketone)
PEKK-Poly(etherketoneketone),Trash/plastic/Poly(Ether)ketones(POLYKETONES)/PEKK-Poly(etherketoneketone)
PEEK-Poly(etheretherketone),Trash/plastic/Poly(Ether)ketones(POLYKETONES)/PEEK-Poly(etheretherketone)
Poly(ethyleneketone),Trash/plastic/Poly(Ether)ketones(POLYKETONES)/Poly(ethyleneketone)
Poly(propyleneketone),Trash/plastic/Poly(Ether)ketones(POLYKETONES)/Poly(propyleneketone)
Polyacrylamides,Trash/plastic/Polyacrylamides
PAM,Trash/plastic/Polyacrylamides/PAM
Poly(N-isopropylacrylamide),Trash/plastic/Polyacrylamides/Poly(N-isopropylacrylamide)
Poly(N-octylacrylamide),Trash/plastic/Polyacrylamides/Poly(N-octylacrylamide)
Poly(N-tert-butylacrylamide),Trash/plastic/Polyacrylamides/Poly(N-tert-butylacrylamide)
Poly(N-phenylacrylamide),Trash/plastic/Polyacrylamides/Poly(N-phenylacrylamide)
Poly(N-sec-butylacrylamide),Trash/plastic/Polyacrylamides/Poly(N-sec-butylacrylamide)
Polyacrylates(Propenoates),Trash/plastic/Polyacrylates(Propenoates)
