X1,X2
Polyesters,PEST
Polyolefins (POLYALKENES) ,PE
Polyolefins (POLYALKENES) ,PP
Polyamides (POLYLACTAMS),PA
Other Plastic,PE+PS
Polystyrenes (POLYPHENYLETHYLENES),PS
Cellulose Derivatives (Ether Cellulose),CA
Polyhaloolefins (Vinylhalides),PVC
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",ER
Polyacrylamides,PAM
Polyterephthalates,PET
Other Plastic,Plastic additive
Polyterephthalates,PBT
Polyurethanes (isocyanates),PU
Other Plastic,PET-PEST
Polyacrylonitriles (Nitriles),PAN
Polysiloxanes,Silicone
Polyacrylates (Propenoates),Acrylic
Other Plastic,Vinyl
Other Plastic,Vinyon
Other Plastic,Other
Other Plastic,PA;ER
Polyterephthalates,PTT
Other Plastic,PE+PP
Other Plastic,PPS
Cellulose Derivatives (Ether Cellulose),Rayon
Polyacrylates (Propenoates),PAA
Polysiloxanes,PMPS
Other Plastic,PI
Polyolefins,Olefin
Other Plastic,Styrene-butadiene
Other Plastic,PBA
Polymethacrylates,PMMA
Other Plastic,Cellophane
Other Plastic,SAN
Polycarbonates,PC
Polysiloxanes,PDMS
Other Plastic,PLA
Polyhaloolefins (Vinylhalides),PTFE
Other Plastic,SBR
Other Plastic,PET+olefin
Other Plastic,PES
Other Plastic,ABS
Other Plastic,LDPE
Other Plastic,PEVA
Other Plastic,AR
Polyvinylalcohols,PVA
Not Plastic,Organic matter
Not Plastic,Mineral
Other Plastic,Other plastic
Not Plastic,nonpolymeric
Other Plastic,semi-synthetic cellulose
Polyhaloolefins (Vinylhalides),PVDF
Other Plastic,PAI
Other Plastic,neoprene
Not Plastic,cotton
Not Plastic,wool
Polyacrylamides,Poly(N-isopropyl acrylamide)
Polyacrylamides,Poly(N-octyl acrylamide)
Polyacrylamides,Poly(N-tert-butyl acrylamide)
Polyacrylamides,Poly(N-phenyl acrylamide)
Polyacrylamides,Poly(N-sec-butyl acrylamide)
Polyacrylates (Propenoates),Poly(benzyl acrylate)
Polyacrylates (Propenoates),Poly(butyl acrylate)
Polyacrylates (Propenoates),Poly(4-chlorophenyl acrylate)
Polyacrylates (Propenoates),Poly(2-cyanoethyl acrylate)
Polyacrylates (Propenoates),Poly(cyanomethyl acrylate)
Polyacrylates (Propenoates),Poly(cyclohexyl acrylate)
Polyacrylates (Propenoates),Poly(ethyl acrylate)
Polyacrylates (Propenoates),Poly(2-ethylhexyl acrylate)
Polyacrylates (Propenoates),Poly(hexyl acrylate)
Polyacrylates (Propenoates),Poly(isobutyl acrylate)
Polyacrylates (Propenoates),Poly(isopropyl acrylate)
Polyacrylates (Propenoates),Poly(methyl acrylate)
Polyacrylates (Propenoates),Poly(octyl acrylate)
Polyacrylates (Propenoates),Poly(propyl acrylate)
Polyacrylates (Propenoates),Poly(sec-butyl acrylate)
Polyacrylates (Propenoates),Poly(stearyl acrylate)
Polyacrylates (Propenoates),Poly(tert-butyl acrylate)
Polyacrylates (Propenoates),"Poly(2,2,3,3-Tetrafluoropropyl acrylate)"
Polyacrylonitriles (Nitriles),Poly(methacrylonitrile)
Polyacrylonitriles (Nitriles),Poly(butylene adipate)
Polyacrylonitriles (Nitriles),Poly(ethylene adipate)
Polyacrylonitriles (Nitriles),Poly(propylene adipate)
Polyolefins (POLYALKENES),Poly(butylene)
Polyolefins (POLYALKENES),Poly(butyl ethylene)
Polyolefins (POLYALKENES),Poly(cyclohexylethylene)
Polyolefins (POLYALKENES),Poly(heptylethylene)
Polyolefins (POLYALKENES),Poly(hexylethylene)
Polyolefins (POLYALKENES),Poly(isobutene)
Polyolefins (POLYALKENES),Poly(isobutylethylene)
Polyolefins (POLYALKENES),Poly(isopropylethylene)
Polyolefins (POLYALKENES),Poly(2-methylbutene)
Polyolefins (POLYALKENES),Poly(octylethylene)
Polyolefins (POLYALKENES),Poly(pentylethylene)
Polyolefins (POLYALKENES),Poly(propylethylene)
Polyolefins (POLYALKENES),Poly(tert-butylethylene)
Polyamides (POLYLACTAMS),Nylon 3 - Poly(propiolactam)
Polyamides (POLYLACTAMS),Nylon 6 - Poly(caprolactam)
Polyamides (POLYLACTAMS),Nylon 8 - Polycapryllactam
Polyamides (POLYLACTAMS),Nylon 10 - Poly(decano-10-lactam)
Polyamides (POLYLACTAMS),Nylon 11 - Poly(undecano-11-lactam)
Polyamides (POLYLACTAMS),Nylon 12 - Poly(dodecano-12-lactam)
Polyamides (POLYLACTAMS),"Nylon 4,6 - Poly(tetramethylene adipamide)"
Polyamides (POLYLACTAMS),"Nylon 6,6 - Poly(hexamethylene adipamide)"
Polyamides (POLYLACTAMS),"Nylon 6,9 - Poly(hexamethylene azelamide)"
Polyamides (POLYLACTAMS),"Nylon 6,10 - Poly(hexamethylene sebacamide)"
Polyamides (POLYLACTAMS),"Nylon 6,12 - Poly(hexamethylene dodecanediamide)"
Polyamides (POLYLACTAMS),"Nylon 10,10 - Poly(decamethylene sebacamide)"
Polyamides (POLYLACTAMS),"Poly(hexamethylene isophthalamide), PA 6I"
Polyamides (POLYLACTAMS),"Poly(hexamethylene teraphthalamide), PA 6T"
Polyamides (POLYLACTAMS),Kevlar - Polyaramide
Polyamides (POLYLACTAMS),Nomex - Poly(m-phenylene terephthalamide)
Polyamides (POLYLACTAMS),"Poly(nonanmethylene teraphthalamide), PA 9T"
Polyanhydrides,Poly(p-pentamethylenedibenzoic anhydride)
Polyanhydrides,Poly(p-tetramethylenedibenzoic anhydride)
Polyanhydrides,Poly(sebacic anhydride)
Polyanhydrides,Poly(azelaic anhydride)
"Polydienes (Butadienes, Isoprenes)","Poly(1,2-butadiene)"
"Polydienes (Butadienes, Isoprenes)","Poly(1,4-butadiene)"
"Polydienes (Butadienes, Isoprenes)","Poly(1-ethyl-1,4-butadiene)"
"Polydienes (Butadienes, Isoprenes)","1,4-Polyisoprene (cis and trans)(Latex)"
"Polydienes (Butadienes, Isoprenes)","Poly(1,4-pentadiene)"
"Polydienes (Butadienes, Isoprenes)",Poly(1-pentenylene)
Polyfumarates (POLYBUTENEDIOATES),Poly(dimethyl fumarate)
Polyfumarates (POLYBUTENEDIOATES),Poly(dibutyl fumarate)
Polyfumarates (POLYBUTENEDIOATES),Poly(diethyl fumarate)
Polyfumarates (POLYBUTENEDIOATES),Poly(dipropyl fumarate)
Polycarbonates,Poly(bisphenol A carbonate)
Polycarbonates,"Poly(4,4'-thiodiphenylene carbonate)"
Polycarbonates,Poly(bisphenol B carbonate)
Polycarbonates,Poly(bisphenol F carbonate)
Polycarbonates,Poly(ethylene carbonate)
Polycarbonates,Poly(propylene carbonate)
Polycarbonates,"Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)"
Polycarbonates,Poly(tetramethyl bisphenol A carbonate)
Cellulose Derivatives (Ether Cellulose),Rayon
Cellulose Derivatives (Ether Cellulose),Cellulose Nitrate
Cellulose Derivatives (Ether Cellulose),Methyl Cellulose
Cellulose Derivatives (Ether Cellulose),Ethyl Cellulose
Polyhaloolefins (Vinylhalides),Poly(chlorotrifluoroethylene)
Polyhaloolefins (Vinylhalides),Poly(vinyl bromide)
Polyhaloolefins (Vinylhalides),Poly(vinyl fluoride)
Polyhaloolefins (Vinylhalides),Poly(vinylidene chloride)
Polycyanoacrylates,Poly(methyl cyanoacrylate)
Polycyanoacrylates,Poly(ethyl cyanoacrylate)
Polycyanoacrylates,Poly(butyl cyanoacrylate)
Polycyanoacrylates,Poly(hexyl cyanoacrylate)
Polycyanoacrylates,Poly(octyl cyanoacrylate)
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Bisphenol-A diglycidyl ether epoxy resin
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Bisphenol-F diglycidyl ether epoxy resin
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Poly(bis-A diglycidyl ether- alt - ethylenediamine)
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Poly(bis-A diglycidyl ether- alt - hexamethylenediamine)
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Poly(bis-A diglycidyl ether- alt - octamethylenediamine)
Polyesters,Poly(caprolactone)
Polyesters,Poly(ethylene naphthalate)
Polyesters,Poly(ethylene phthalate)
Polyesters,Polyglycolide
Polyesters,Poly(3-hydroxybutyrate)
Polyesters,Poly(4-hydroxybutyrate)
Polyesters,Polylactic acid
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Polyacetal - Polyoxymethylene
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(3-butoxypropylene oxide)
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(epichlorohydrin)
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(ethylene glycol)
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(hexamethylene oxide)
