Morphology,Alias
Fragment,Fragment
Fragment,Fragments
Fiber,Fiber
Fiber,Fibres
Fiber,Fibers
Nurdle,Nurdle
Nurdle,Pellets
Nurdle,Pellet
Film,Film
Film,Films
Foam,Foam
Foam,Foams
Foam,Styrofoam
Foam,Polystyrene
Foam,Extruded polystyrene
Sphere,Sphere
Sphere,Sphericals
Sphere,Spherical
Sphere,Spheres
Line,Line
Bead,Bead
Bead,Beads
Sheet,Sheet
Sheet,Flake
Sheet,Sheets
Film;Fragment,Film;Fragment
Film;Fragment,Films/fragments
Film;Fragment,Films;fragments
Rubbery fragment,Rubbery fragment
Fiber bundle,Fiber bundle
Other,Other
