item,material,count
paper,woodandpaper,
paper,paper/cardboard,
paper,paper,
sheeting,plastic,
batteries,metal,
batteries,other,
packaging,plastic,
packaging,paper/cardboard,
packaging,foam,
bags,woodandpaper,
bags,plastic,
bags,paper,
bags,paper/cardboard,
bags,processedwood,
fragments,woodandpaper,
fragments,metal,
fragments,glass,
fragments,plastic,
fragments,paper,
fragments,glass/ceramic,
fragments,other,
fragments,paper/cardboard,
fragments,processedwood,
fragments,cloth,
fragments,concrete/asphalt,
fragments,fibreglass,
fragments,food,
fragments,leather,
fragments,rubber,
fragments,foam,
corks,processedwood,
corks,wood,
foil,metal,
trap,NA,
sponge,plastic,
sponge,foam,
macroplastics,NA,
microplastic,plastic,
