item,material,count
batteries,metal,
batteries,other,
paper,woodandpaper,
paper,paper/cardboard,
paper,paper,
sheeting,plastic,
fragments,woodandpaper,
fragments,metal,
fragments,glass,
fragments,plastic,
fragments,paper,
fragments,glass/ceramic,
fragments,other,
fragments,paper/cardboard,
fragments,processedwood,
fragments,cloth,
fragments,concrete/asphalt,
fragments,fibreglass,
fragments,food,
fragments,leather,
fragments,rubber,
fragments,foam,
bags,woodandpaper,
bags,plastic,
bags,paper,
bags,paper/cardboard,
bags,processedwood,
corks,processedwood,
corks,wood,
wire,metal,
trap,NA,
sponge,plastic,
sponge,foam,
foil,metal,
macroplastics,plastic,
microplastic,plastic,
packaging,plastic,
packaging,paper/cardboard,
packaging,foam,
