material,items,count
Polyesters,Fiber,
Polyolefins (POLYALKENES) ,Nurdle,
Polyamides (POLYLACTAMS),Foam,
Other Plastic,Sphere,
Polystyrenes (POLYPHENYLETHYLENES),Line,
Cellulose Derivatives (Ether Cellulose),Bead,
Polyhaloolefins (Vinylhalides),Sheet,
"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Film;Fragment,
Polyacrylamides,Film;Fragment,
Polyterephthalates,Rubbery fragment,
Polyurethanes (isocya tes),Fiber bundle,
Polyacrylonitriles (Nitriles),Other,
Polysiloxanes,,
Polyacrylates (Propenoates),,
Polyolefins,,
Polymethacrylates,,
Polycarbo tes,,
Polyvinylalcohols,,
Polyolefins (POLYALKENES),,
Polyanhydrides,,
"Polydienes (Butadienes, Isoprenes)",,
Polyfumarates (POLYBUTENEDIOATES),,
Polycarbonates,,
Polycyanoacrylates,,
"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",,
Poly(Ether)ketones (POLYKETONES),,
Polyethersulfones (POLYSULFONE),,
Polyhalodienes,,
Polyhalostyrenes,,
Polyhydroxy(meth)acrylates,,
Polyurethanes (isocyanates),,
Polyisophthalates,,
POLYITACONATES (POLYMETHYLENE SUCCINATES),,
Polymethacrylamides,,
"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",,
Polyphenylenes (POLYAROMATICS),,
Polyphenylethers (POLYPHENYLENEOXIDE),,
Polysebacates,,
Polysuccinates,,
Polythioethers (Sulfides),,
Polyvinylesters,,
Polyvinylethers,,
Polyvinylketones,,
Polyvinylsulfides,,
