item,material,count
paper,woodandpaper,
paper,paper/cardboard,
paper,paper,
batteries,metal,
batteries,other,
bags,woodandpaper,
bags,plastic,
bags,paper,
bags,paper/cardboard,
bags,processedwood,
sheeting,plastic,
wire,metal,
corks,processedwood,
corks,wood,
fragments,woodandpaper,
fragments,metal,
fragments,glass,
fragments,plastic,
fragments,paper,
fragments,glass/ceramic,
fragments,other,
fragments,paper/cardboard,
fragments,processedwood,
fragments,cloth,
fragments,concrete/asphalt,
fragments,fibreglass,
fragments,food,
fragments,leather,
fragments,rubber,
fragments,foam,
trap,NA,
pellet,plastic,
sponge,plastic,
sponge,foam,
foil,metal,
packaging,plastic,
packaging,paper/cardboard,
packaging,foam,
microplastic,plastic,
