item,material,count
paper,woodandpaper,
paper,paper/cardboard,
paper,paper,
fragments,woodandpaper,
fragments,metal,
fragments,glass,
fragments,plastic,
fragments,paper,
fragments,glass/ceramic,
fragments,other,
fragments,paper/cardboard,
fragments,processedwood,
fragments,cloth,
fragments,concrete/asphalt,
fragments,fibreglass,
fragments,food,
fragments,leather,
fragments,rubber,
fragments,foam,
batteries,metal,
batteries,other,
trap,NA,
sheeting,plastic,
foil,metal,
pellet,plastic,
bags,woodandpaper,
bags,plastic,
bags,paper,
bags,paper/cardboard,
bags,processedwood,
corks,processedwood,
corks,wood,
wire,metal,
packaging,plastic,
packaging,paper/cardboard,
packaging,foam,
macroplastics,NA,
microplastic,plastic,
