use,material,items,count
gardening&farmingrelated,ceramic,flower pots,
clothingandtextiles,cloth,backpacks & bags,
commonhouseholditems,cloth,mesh vegetable bags,
gardening&farmingrelated,cloth,sacking,
clothingandtextiles,cloth,towels OR rags,
clothingandtextiles,cloth,gloves,
clothingandtextiles,cloth,boots,
clothingandtextiles,cloth,shoe,
clothingandtextiles,cloth,cloth fragments,
ocean/waterwayactivities,cloth,"sails, canvas",
large,cloth,carpet (synthetic),
large,cloth,furniture,
large,cloth,mattress OR foam,
clothingandtextiles,cloth,hair tie,
nonfoodrelatedpackaging,cloth,rope large,
nonfoodrelatedpackaging,cloth,rope medium,
nonfoodrelatedpackaging,cloth,rope small,
commonhouseholditems,cloth,string,
constructionmaterials,concrete/asphalt,"bricks, cinderblocks, chunks of cement",
constructionmaterials,fibreglass,fibre glass OR fragments,
food-related,glass,wine bottle,
food-related,glass,liquor bottles,
food-related,glass,beer bottle,
nonfoodrelatedpackaging,glass,jars incl. pieces,
electronicandelectricwaste,glass,"light globes: bulbs, etc",
electronicandelectricwaste,glass,light sticks (tubes with fluid),
safetyrelated,hardplastic,hard hats,
food-related,hardplastic,drink bottles>0.5l,
food-related,hardplastic,water bottles,
food-related,hardplastic,sport drink bottles,
food-related,hardplastic,soft drink bottles,
food-related,hardplastic,juice bottles,
nonfoodrelatedpackaging,hardplastic,degraded bottle,
food-related,hardplastic,milk bottle,
food-related,hardplastic,rigid plastic disposable food and begerage ware,
vehicledebris,metal,batteries: car or boat,
vehicledebris,metal,wheels,
vehicledebris,metal,boat parts,
vehicledebris,metal,motorbikes OR parts,
vehicledebris,metal,"vehicle debris, large",
vehicledebris,metal,"vehicle debris, small",
electronicandelectricwaste,metal,batteries (acidic and alkaline),
constructionmaterials,metal,"bolts, nails, and screws",
electronicandelectricwaste,metal,e-waste fragments,
food-related,metal,beer cans,
food-related,metal,juices cans,
food-related,metal,pull tabs: beverages,
food-related,metal,bottle caps,
food-related,metal,food cans,
food-related,metal,disposablebbq's,
food-related,metal,utensil,
fishinggear,metal,fish hook,
"scuba&snorkelgear,masks,snorkels,fins",metal,scuba weights,
fishinggear,metal,derelicttraps OR trappieces,
fishinggear,metal,"fishing: lures, rods OR poles",
food-related,metal,foil,
vehicledebris,metal,anchor,
electronicandelectricwaste,metal,appliances,
constructionmaterials,metal,beams OR dunnage,
constructionmaterials,metal,piping,
large,metal,fencing,
constructionmaterials,metal,scrap OR metal appliances OR paint tins,
large,metal,shopping trolleys,
constructionmaterials,metal,"wire, wire mesh, barbed wire",
commonhouseholditems,metal,aerosol cans,
nonfoodrelatedpackaging,metal,barrels,
clothingandtextiles,metal,sunglasses,
constructionmaterials,metal,cables,
commonhouseholditems,organic,sponge,
nonfoodrelatedpackaging,other,bag ends,
electronicandelectricwaste,other,"cd, cd-box",
food-related,other,cups and cup lids,
fishinggear,other,fish pot,
constructionmaterials,other,industrialpackaging OR crates OR sheeting,
constructionmaterials,other,plasters,
other,other,other identifiable items,
vehicledebris,other,oil,
other,other,slack OR coal,
constructionmaterials,other,insulation & packaging,
commonhouseholditems,other,paraffin OR wax,
commonhouseholditems,other,pegs and chips,
entertainmentandtoys,other,toys,
nonfoodrelatedpackaging,paper,bags,
food-related,paper,takeaway cup,
food-related,paper,juice carton,
food-related,paper,milk carton,
food-related,paper,plates,
food-related,paper,napkins,
officesupplies,paper,masking tape,
entertainmentandtoys,paper,books,
entertainmentandtoys,paper,magazines,
commonhouseholditems,paper,paper OR napkins OR tissues,
commonhouseholditems,paper,reciepts,
smoking-related,paper,cigar tips,
smoking-related,paper,cigarette butts,
smoking-related,paper,cigarette packets,
large,paper/cardboard,forsale posters,
large,paper/cardboard,election posters,
nonfoodrelatedpackaging,paper/cardboard,cardboard,
vehicledebris,plastic,fenders,
vehicledebris,plastic,boat parts,
vehicledebris,plastic,"vehicle debris, large",
vehicledebris,plastic,"vehicle debris, small",
nonfoodrelatedpackaging,plastic,bag (trash),
nonfoodrelatedpackaging,plastic,"small plastic bags, e.g., freezer bags",
nonfoodrelatedpackaging,plastic,bulk bags,
nonfoodrelatedpackaging,plastic,degraded bag,
medical/hygiene,plastic,dog waste bags,
food-related,plastic,single use plastic carryout bags,
nonfoodrelatedpackaging,plastic,cable ties,
