item,material,count
buoys,plastic,
buoys,glass/ceramic,
buoys,foam,
"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock",plastic,
fishpot(eel),NA,
oil,plastic,
plates,NA,
barrels,metal,
lids,plastic,
furniture,other,
furniture,plastic,
furniture,processedwood,
furniture,cloth,
shoe,rubber,
shoe,cloth,
shoe,other,
boots,rubber,
sheetlikeuserplastic(>1mm),plastic,
books,NA,
anchor,metal,
corks,processedwood,
corks,wood,
cardboard,woodandpaper,
cardboard,paper/cardboard,
cardboard,paper,
plasters,sanitarywaste,
fencing,NA,
foil,metal,
flip-flops,rubber,
flip-flops,plastic,
flip-flops,cloth,
utensil,plastic,
utensil,metal,
utensil,wood,
magazines,NA,
string,plastic,
"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)",plastic,
fenders,plastic,
balloons,plastic,
balloons,other,
balloons,rubber,
sponge,plastic,
sponge,foam,
toys,plastic,
toys,other,
inhaler,sanitarywaste,
fishingnetandnetpieces>50cm,plastic,
napkins,paper,
napkins,sanitarywaste,
sunglasses,plastic,
pens,plastic,
drugs,NA,
gloves,plastic,
gloves,cloth,
gloves,rubber,
football,plastic,
piping,metal,
deoderant,NA,
appliances,metal,
appliances,other,
macroplastics,NA,
"cleaner(bottles,containersanddrums)",plastic,
telephone(incl.parts),plastic,
femininehygeneitems,other,
tampons,sanitarywaste,
tampons,other,
filmfragments,plastic,
sacking,cloth,
pallets,woodandpaper,
pallets,paper,
pallets,other,
pallets,processedwood,
pallets,wood,
cables,metal,
diapers,sanitarywaste,
diapers,plastic,
diapers,other,
crates,processedwood,
crates,plastic,
toothbrushes,plastic,
Fiber,plastic,
Nurdle,plastic,
Foam,plastic,
Sphere,plastic,
Line,plastic,
Bead,plastic,
Sheet,plastic,
Film,plastic,
Fragment,plastic,
Rubbery fragment,plastic,
Fiber bundle,plastic,
Other,plastic,
