item,material,count
flower pots,NA,
batteries: car or boat,NA,
fenders,plastic,
tyres without holes OR wheels,NA,
tyres with holes,NA,
wheels,rubber,
boat parts,NA,
motorbikes OR parts,NA,
"vehicle debris, large",NA,
"vehicle debris, small",NA,
backpacks & bags,NA,
bag ends,NA,
bag (trash),NA,
"small plastic bags, e.g., freezer bags",NA,
bulk bags,NA,
degraded bag,NA,
dog waste bags,NA,
mesh vegetable bags,NA,
sacking,cloth,
single use plastic carryout bags,NA,
batteries (acidic and alkaline),NA,
"bolts, nails, and screws",NA,
cable ties,NA,
thongs,rubber,
towels OR rags,NA,
gloves,plastic,
gloves,cloth,
gloves,rubber,
hard hats,NA,
boots,rubber,
flip-flops,rubber,
flip-flops,plastic,
flip-flops,cloth,
shoe,rubber,
shoe,cloth,
shoe,other,
cloth fragments,NA,
"cd, cd-box",NA,
e-waste fragments,NA,
telephone(incl.parts),plastic,
corks,processedwood,
corks,wood,
drink bottles>0.5l,NA,
water bottles,NA,
sport drink bottles,NA,
wine bottle,NA,
soft drink bottles,NA,
juice bottles,NA,
"bottles, etc. >2L",NA,
bottles <2L,NA,
liquor bottles,NA,
fizzy drink bottle,NA,
ice tea bottles,NA,
beer bottle,NA,
degraded bottle,NA,
drink bottles<=0.5l,NA,
milk bottle,NA,
jars incl. pieces,NA,
beer cans,NA,
juices cans,NA,
ice tea can,NA,
energy can,NA,
cups and cup lids,NA,
"straws, stirrers",NA,
takeaway cup,NA,
pull tabs: beverages,NA,
bottle caps,NA,
lids,plastic,
bottle label,NA,
bottle neck rings,NA,
juice carton,NA,
milk carton,NA,
plates,NA,
fastfoodcontainers OR cups,NA,
food cans,NA,
lolly sticks,NA,
lollipop sticks & cotton buds,NA,
popsicle stick,NA,
other food cans OR wrappers,NA,
sweet papers,NA,
food wrappers,NA,
crisp large,NA,
crisp small,NA,
cover OR packaging,NA,
disposablebbq's,metal,
rigid plastic disposable food and begerage ware,NA,
home food packaging,NA,
juice packet,NA,
salt packaging,NA,
sauce packet,NA,
singlue use food container,NA,
degraded straws,NA,
"six-pack rings, ring carriers",NA,
utensil,plastic,
utensil,metal,
utensil,wood,
coffee cup lid,NA,
cutlery OR trays,NA,
street food bowl,NA,
napkins,paper,
napkins,sanitarywaste,
filmfragments,plastic,
masking tape,NA,
filmstrip,plastic,
bait containers,NA,
bobbins (fishing),NA,
fish aggregating devices,NA,
fish boxes,NA,
fish hook,NA,
fishing line (entangled),NA,
fishing line (anglers),NA,
filament <5mm,NA,
monofilament net OR fiber up to 5mm,NA,
monofilament net OR fiber 5-30mm,NA,
monofilament net OR fiber larger than 30mm,NA,
fishing nets,NA,
nets and pieces of net <50 cm,NA,
nets and pieces of net >50cm,NA,
fishingnetandnetpieces>50cm,plastic,
fishing lures,NA,
scuba weights,NA,
fish pot,NA,
fishpot(eel),NA,
octopus pots,NA,
trap OR pot pieces,NA,
crab trap in need of removal,NA,
crab trap that has been removed,NA,
derelicttraps OR trappieces,NA,
lobster OR crab pots & tops,NA,
"fishing: lures, rods OR poles",NA,
"fishing: sinkers, lures, hooks",NA,
fishingweights OR hooks OR lures,NA,
buoys,plastic,
buoys,glass/ceramic,
buoys,foam,
floats for fishing nets,NA,
lobster and fish tags,NA,
lobster claw bands,NA,
oyster nets or mussel bags including plastic stoppers,NA,
oyster trays (round from oyster cultures),NA,
"sails, canvas",NA,
fin trees (from fins for scuba diving),NA,
foil,metal,
fibre glass OR fragments,NA,
hooksett disks,NA,
industrialpackaging OR crates OR sheeting,NA,
forsale posters,NA,
election posters,NA,
anchor,metal,
appliances,metal,
appliances,other,
beams OR dunnage,NA,
carpet (synthetic),NA,
floor cover,NA,
furniture,other,
furniture,plastic,
furniture,processedwood,
furniture,cloth,
carts OR parts,NA,
piping,metal,
"bricks, cinderblocks, chunks of cement",NA,
fencing,NA,
fertilizer OR animal feed bags,NA,
filter box,NA,
inner-tubes & rubber sheets,NA,
mattress OR foam,NA,
plasters,sanitarywaste,
scrap OR metal appliances OR paint tins,NA,
shopping trolleys,NA,
traffic cones,NA,
"wire, wire mesh, barbed wire",NA,
"light globes: bulbs, etc",NA,
light sticks (tubes with fluid),NA,
pallets,woodandpaper,
pallets,paper,
pallets,other,
pallets,processedwood,
pallets,wood,
macroplastics,NA,
medium plastics,NA,
other identifiable items,NA,
other mixed,NA,
toilet fresheners,NA,
non-food related plastic packaging,NA,
aerosol cans,NA,
chemicals and chemical containers,NA,
"baskets, crates",NA,
barrels,metal,
"buckets, drums & jerry cans: 2 litres or more",NA,
"cleaner(bottles,containersanddrums)",plastic,
drums: 55 gallon,NA,
