item,material,count
buoys,plastic,
buoys,glass/ceramic,
buoys,foam,
anchor,metal,
oil,plastic,
toys,plastic,
toys,other,
fishpot(eel),NA,
football,plastic,
books,NA,
balloons,plastic,
balloons,other,
balloons,rubber,
shoe,rubber,
shoe,cloth,
shoe,other,
furniture,other,
furniture,plastic,
furniture,processedwood,
furniture,cloth,
corks,processedwood,
corks,wood,
"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock",plastic,
flip-flops,rubber,
flip-flops,plastic,
flip-flops,cloth,
barrels,metal,
fencing,NA,
cardboard,woodandpaper,
cardboard,paper/cardboard,
cardboard,paper,
appliances,metal,
appliances,other,
fishingnetandnetpieces>50cm,plastic,
boots,rubber,
fenders,plastic,
magazines,NA,
cables,metal,
drugs,NA,
sponge,plastic,
sponge,foam,
string,plastic,
plasters,sanitarywaste,
napkins,paper,
napkins,sanitarywaste,
wheels,rubber,
utensil,plastic,
utensil,metal,
utensil,wood,
buckets,plastic,
foil,metal,
filmfragments,plastic,
crates,processedwood,
crates,plastic,
lids,plastic,
pens,plastic,
macroplastics,NA,
bandages,other,
bandages,plastic,
piping,metal,
sheetlikeuserplastic(>1mm),plastic,
sunglasses,plastic,
gloves,plastic,
gloves,cloth,
gloves,rubber,
plates,NA,
toothbrushes,plastic,
"cleaner(bottles,containersanddrums)",plastic,
telephone(incl.parts),plastic,
pallets,woodandpaper,
pallets,paper,
pallets,other,
pallets,processedwood,
pallets,wood,
"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)",plastic,
diapers,sanitarywaste,
diapers,plastic,
diapers,other,
sacking,cloth,
deoderant,NA,
thongs,rubber,
pellet,plastic,
Fiber,plastic,
Nurdle,plastic,
Foam,plastic,
Sphere,plastic,
Line,plastic,
Bead,plastic,
Sheet,plastic,
Film,plastic,
Fragment,plastic,
Rubbery fragment,plastic,
Fiber bundle,plastic,
