item,material,count
shoe,rubber,
shoe,cloth,
shoe,other,
buoys,plastic,
buoys,glass/ceramic,
buoys,foam,
oil,plastic,
boots,rubber,
furniture,other,
furniture,plastic,
furniture,processedwood,
furniture,cloth,
fencing,NA,
barrels,metal,
balloons,plastic,
balloons,other,
balloons,rubber,
books,NA,
utensil,plastic,
utensil,metal,
utensil,wood,
piping,metal,
gloves,plastic,
gloves,cloth,
gloves,rubber,
anchor,metal,
fenders,plastic,
napkins,paper,
napkins,sanitarywaste,
flip-flops,rubber,
flip-flops,plastic,
flip-flops,cloth,
cables,metal,
magazines,NA,
string,plastic,
wheels,rubber,
toys,plastic,
toys,other,
corks,processedwood,
corks,wood,
fishpot(eel),NA,
appliances,metal,
appliances,other,
drugs,NA,
fishingnetandnetpieces>50cm,plastic,
sacking,cloth,
pens,plastic,
bandages,other,
bandages,plastic,
sheetlikeuserplastic(>1mm),plastic,
telephone(incl.parts),plastic,
football,plastic,
inhaler,sanitarywaste,
toothbrushes,plastic,
sponge,plastic,
sponge,foam,
buckets,plastic,
tampons,sanitarywaste,
tampons,other,
reciepts,paper,
cardboard,woodandpaper,
cardboard,paper/cardboard,
cardboard,paper,
plasters,sanitarywaste,
foil,metal,
lids,plastic,
sunglasses,plastic,
filmfragments,plastic,
plates,NA,
diapers,sanitarywaste,
diapers,plastic,
diapers,other,
femininehygeneitems,other,
"cleaner(bottles,containersanddrums)",plastic,
pallets,woodandpaper,
pallets,paper,
pallets,other,
pallets,processedwood,
pallets,wood,
thongs,rubber,
Fiber,plastic,
Nurdle,plastic,
Foam,plastic,
Sphere,plastic,
Line,plastic,
Bead,plastic,
Sheet,plastic,
Film,plastic,
Fragment,plastic,
Rubbery fragment,plastic,
Fiber bundle,plastic,
Other,plastic,
