item,material,count
fishpot(eel),NA,
toys,plastic,
toys,other,
oil,plastic,
anchor,metal,
balloons,plastic,
balloons,other,
balloons,rubber,
cardboard,woodandpaper,
cardboard,paper/cardboard,
cardboard,paper,
boots,rubber,
books,NA,
barrels,metal,
furniture,other,
furniture,plastic,
furniture,processedwood,
furniture,cloth,
plates,NA,
football,plastic,
filmfragments,plastic,
shoe,rubber,
shoe,cloth,
shoe,other,
foil,metal,
magazines,NA,
wheels,rubber,
drugs,NA,
plasters,sanitarywaste,
utensil,plastic,
utensil,metal,
utensil,wood,
appliances,metal,
appliances,other,
cables,metal,
flip-flops,rubber,
flip-flops,plastic,
flip-flops,cloth,
toothbrushes,plastic,
buckets,plastic,
thongs,rubber,
telephone(incl.parts),plastic,
fenders,plastic,
lids,plastic,
buoys,plastic,
buoys,glass/ceramic,
buoys,foam,
corks,processedwood,
corks,wood,
crates,processedwood,
crates,plastic,
string,plastic,
fencing,NA,
pallets,woodandpaper,
pallets,paper,
pallets,other,
pallets,processedwood,
pallets,wood,
gloves,plastic,
gloves,cloth,
gloves,rubber,
deoderant,NA,
diapers,sanitarywaste,
diapers,plastic,
diapers,other,
pens,plastic,
piping,metal,
inhaler,sanitarywaste,
tampons,sanitarywaste,
tampons,other,
sunglasses,plastic,
"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)",plastic,
bandages,other,
bandages,plastic,
napkins,paper,
napkins,sanitarywaste,
macroplastics,NA,
disposablebbq's,metal,
sheetlikeuserplastic(>1mm),plastic,
sacking,cloth,
"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock",plastic,
reciepts,paper,
